,locs0,locs1,locs2,locs3,subject
0,0.7823335,-0.5103467,0.46882325,-0.10547006,0
1,-1.5803863,-0.13158005,-0.4884686,1.4027297,1
2,-0.15819842,0.5682264,-0.469252,0.604667,2
3,1.058398,-0.14305328,-0.65695345,0.9013617,3
4,0.45406002,1.0212915,-0.18672891,0.98098195,4
5,1.6263077,-3.4054236,0.5093255,1.2108781,5
6,1.0265315,1.4567744,-1.1578754,1.1988883,6
7,-0.23278803,-0.48942977,-1.0943271,-0.7778426,7
8,-1.5467415,0.9480342,-1.3829657,2.1560302,8
9,-3.6472325,0.7188143,-0.887957,0.45577717,9
10,-0.4724921,0.23832607,0.2885901,0.28564364,10
11,1.3987851,0.88235956,-1.5547806,0.1529134,11
12,-1.6707196,0.37864172,-0.76157665,0.78862345,12
13,-0.3880357,0.7089648,0.1674918,0.7523208,13
14,-2.7648785,-3.7430754,0.040581346,0.20699626,14
15,-0.16365328,0.90317774,-1.1082845,1.5386312,15
16,1.7548916,0.020490408,-0.12783045,-1.0993905,16
17,0.2520416,-0.1646539,-1.2504346,0.87517166,17
18,1.2565753,0.26048034,1.3260357,0.6335553,18
19,-0.08871108,0.076231845,-0.78355396,0.58088934,19
20,-1.7705023,0.98056054,1.0939671,1.0241494,20
21,-1.8252597,-1.0052156,0.65127426,-0.3211785,21
22,0.28686613,0.07401919,1.1456251,0.2222027,22
23,-1.29655,0.8218565,-1.292726,0.9949606,23
24,1.061697,0.18612278,-0.12686357,1.940347,0
25,-0.3366248,0.6658172,-0.58914757,0.12830561,1
26,-1.125993,1.2778082,1.5091958,1.3677156,2
27,0.7878034,-0.9618312,-1.7209134,-0.6050338,3
28,-0.5554557,0.45475954,-0.47296616,0.56955403,4
29,-1.940151,-1.4245468,-0.7274556,-0.028208196,5
30,0.8525923,-0.21995494,-0.49089634,0.8961146,6
31,-0.4547876,0.9104682,-0.35812074,1.9799113,7
32,-2.813035,1.2781191,-0.8962425,1.6690166,8
33,-2.9638438,0.40639406,-1.0221077,1.5758927,9
34,0.11752072,1.9600662,0.33809635,0.20533055,10
35,0.8690069,0.6806326,-1.1702511,0.114417404,11
36,-1.3355135,1.2112625,-0.3226046,0.86948955,12
37,-0.70408547,0.07855207,-0.573772,1.322484,13
38,0.9320156,0.5258552,-1.4654126,1.6213967,14
39,-0.17450753,0.49747172,-1.5766222,1.039676,15
40,1.5426352,0.46670157,-0.43605348,0.701591,16
41,0.5815196,0.45393208,-1.7607276,-0.06716347,17
42,0.32430226,-0.24454252,0.7770128,-0.1870895,18
43,0.3940501,-0.07974163,-0.97355723,1.2535131,19
44,0.026370645,0.16276073,1.0137323,-0.047427297,20
45,-0.13887548,-0.5881618,0.16223323,2.2827342,21
46,0.72323835,-0.5256703,0.36555284,-1.112924,22
47,-0.39169168,0.6174837,-1.1845994,0.62498945,23
48,-0.12068625,-1.0914793,-0.35248482,-0.65881664,0
49,0.79236305,-0.56709814,-0.9633091,-0.24809337,1
50,-0.46084937,1.7928748,0.95798445,-1.1684561,2
51,0.845079,-0.32377607,-0.95986813,1.5991809,3
52,-0.056608234,0.077568114,-0.17855433,0.25800171,4
53,-1.9334722,-3.36579,-0.6740141,0.31434244,5
54,0.7290683,-0.2859111,-1.2628889,0.15090403,6
55,0.12161684,0.6214394,-0.28069222,1.8075945,7
56,-2.8426614,1.1279731,-0.47700483,1.2051173,8
57,-0.41917062,-1.0732964,-1.0779564,0.4775678,9
58,-0.7075751,1.0172366,-0.41713366,1.1203476,10
59,1.5808337,0.241656,-0.99200976,0.6547928,11
60,0.37446278,0.9803174,-0.96642596,1.5834262,12
61,1.0745378,1.4524059,-0.6466925,2.4948845,13
62,-3.3937838,-1.3794565,-1.2446845,1.0347227,14
63,-0.19851816,-0.4105144,-1.8430073,1.5937049,15
64,0.7487074,1.4940233,-0.46696356,0.6574528,16
65,0.04797417,0.0031949282,-1.3128998,-0.34867436,17
66,0.24664387,-1.0366207,1.2412952,-0.7879054,18
67,0.95222247,0.15299624,-0.10895312,-0.05445528,19
68,0.932331,1.1282495,1.0181885,0.18655849,20
69,-0.19168246,-0.6939124,0.7464189,1.6270525,21
70,1.429923,-1.5515976,0.65635467,1.3805346,22
71,-0.6326709,0.17026728,-1.4811466,1.150034,23
72,1.2434695,-0.7397901,-0.7290732,0.053873837,0
73,-0.6583545,-0.12386358,-0.35262528,0.47765416,1
74,-0.78799856,0.83028626,1.0876287,0.5120448,2
75,0.70834106,0.5622258,-1.525938,-0.15461546,3
76,-0.6838724,0.39856857,-0.5138671,0.33206275,4
77,1.306746,-2.9438605,-0.45829782,0.50788814,5
78,0.9647471,0.7535511,0.45209193,2.194234,6
79,-2.100481,1.3872843,-0.08360091,1.1999403,7
80,-1.0901562,1.399461,-0.3636214,1.3619647,8
81,-0.09633678,-1.219187,0.035654873,0.7271357,9
82,1.1053779,1.2838528,-0.97469413,0.99187136,10
83,2.0384994,1.9557619,-0.5686877,0.9490804,11
84,-0.5747141,0.637443,-1.7990123,0.8226252,12
85,-1.2536135,1.7363462,-0.47348344,1.630084,13
86,0.20730895,-0.8803568,-1.2403487,0.9560913,14
87,0.08454405,0.4977333,-1.2276173,1.7953802,15
88,-1.1702209,0.47277218,-0.7031767,-0.33374402,16
89,0.7038574,0.7596742,-0.9366836,-0.13844836,17
90,0.5595741,0.057481803,0.7003749,-0.07904822,18
91,1.2499022,0.52389854,-0.9065363,1.6372088,19
92,-2.0860846,0.3561685,0.1566163,1.6925542,20
93,0.35296386,-1.1139586,1.3387403,1.2069848,21
94,0.49420455,-0.020791352,1.6836056,1.1456339,22
95,-1.2049327,0.66859776,0.06908023,1.1707816,23
96,-0.7185174,-0.53708476,1.2075474,0.18008468,0
97,0.71122634,0.83442,0.2822516,1.09464,1
98,-0.6640905,0.35024107,0.14188439,1.2106686,2
99,0.010669172,0.81740654,-0.54538333,0.1723001,3
100,-0.31098154,-0.35839224,-0.98562866,0.3645367,4
101,0.96689284,-0.088085294,-1.2999605,1.5679054,5
102,0.7195991,1.2200718,-0.8171969,1.4759967,6
103,-0.9829173,0.893795,-0.8369621,1.0805228,7
104,-3.1639173,1.5002428,-0.7418157,1.0734761,8
105,-4.3524737,-0.35339546,-0.4441132,0.56579494,9
106,0.44161987,0.44673756,-0.6736179,0.089784145,10
107,1.1292241,1.3480675,-1.7818379,0.16480704,11
108,-1.5034658,0.8658982,-1.2846628,-0.19004047,12
109,-0.4801092,0.53489673,-0.2775584,-0.10981339,13
110,-1.1801847,1.8125156,-1.3830311,-0.03986293,14
111,0.22019267,0.5563893,-0.37181714,0.11064726,15
112,0.26721272,0.07562795,-0.7819986,1.0077634,16
113,0.4818434,0.34726214,-1.4722345,1.1075599,17
114,2.1844263,-0.6193335,0.7922823,0.9495987,18
115,-0.41858166,0.30071148,-0.5915128,-0.27685,19
116,-1.1437782,0.9145163,0.63548106,1.0257033,20
117,-1.7635458,-0.65701294,0.87173367,-0.17679238,21
118,0.48058072,-1.0822864,0.47140864,0.20621018,22
119,0.04340118,0.4456789,-0.18866533,1.2537696,23
120,0.95203793,-1.0034482,0.11634435,-0.7908947,0
121,-0.89027965,0.78112435,-1.2946761,1.4295628,1
122,-0.5388948,0.32338408,0.4023621,1.1892099,2
123,0.9312782,-0.23406737,-1.5346732,0.4305293,3
124,-0.97418994,1.4610144,0.057796597,0.6908393,4
125,-2.5915613,-1.7817049,-0.28894556,0.86889076,5
126,0.39887005,0.049140006,-1.2532088,1.0502934,6
127,-0.44497082,1.284302,-0.043726474,1.0769192,7
128,-2.773375,-0.23705316,-1.432543,0.6441994,8
129,0.5110392,-0.7817583,-0.09294829,0.44997585,9
130,-0.14439629,0.277747,-0.26282808,1.4556012,10
131,1.7620238,0.7598573,-0.59679484,1.2606392,11
132,-1.6081209,0.42895523,-0.6856768,1.5061489,12
133,-0.08160985,0.2814612,-0.56472206,1.9340858,13
134,-3.5188868,4.5900803,-1.7353837,0.18575674,14
135,0.5077566,1.6057956,-1.1208434,0.8521724,15
136,0.4632515,0.27434367,-0.56051344,1.1614965,16
137,-0.5458829,0.87833476,-1.0675962,-0.11989069,17
138,0.6805253,0.31873947,0.7127273,0.7373191,18
139,-0.20687354,0.23449749,-0.5624391,1.0776458,19
140,-1.0459815,1.4596131,0.93290925,3.0509415,20
141,-1.1990769,-0.45530564,0.4355278,1.4717586,21
142,1.4608059,-1.0521102,0.20998348,-0.9360749,22
143,-0.42728573,-0.031725943,-1.2646847,0.37066382,23
144,0.27892914,0.42029363,0.085665554,2.4490812,0
145,-0.6053902,0.42097783,-0.450547,0.77459854,1
146,-0.029865086,1.218438,1.3630321,-0.29522568,2
147,0.8226789,-0.76258564,-1.0192393,1.3876979,3
