,policy rate,reward rate,dec temp,habitual tendency,subject
0,0.66984594,0.3307523,4.420399,0.8130058,0
1,0.36946955,0.54096055,2.603521,0.81443703,1
2,0.42765152,0.87983495,8.228164,0.71548635,2
3,0.8747044,0.3288919,1.4120888,0.8549013,3
4,0.3714736,0.5621832,2.7105606,0.47666273,4
5,0.039754793,0.043339994,3.117343,0.66920686,5
6,0.6113625,0.48911512,2.71462,0.5843775,6
7,0.33352053,0.65234005,2.9588056,0.5251826,7
8,0.1581947,0.7995736,1.7159312,0.85446507,8
9,0.07108621,0.09073777,5.8160343,0.90899354,9
10,0.7527588,0.90363157,3.3699224,0.75799143,10
11,0.76911515,0.89405924,1.8348231,0.68971705,11
12,0.14604166,0.75224066,2.0491168,0.8473922,12
13,0.4672708,0.7116059,4.101552,0.8300463,13
14,0.055821635,0.054491375,2.353158,0.7977424,14
15,0.5645538,0.49515793,2.2205205,0.80504715,15
16,0.5041489,0.6486575,3.0448713,0.82950664,16
17,0.7958826,0.6438452,1.8849272,0.88707286,17
18,0.7806707,0.32918313,6.516718,0.9209896,18
19,0.50650924,0.5313804,2.5432131,0.8304012,19
20,0.07524808,0.77949417,6.382503,0.8620009,20
21,0.60108227,0.12408123,7.495203,0.79388535,21
22,0.36513212,0.35681564,4.724157,0.71274257,22
23,0.14422004,0.89098436,1.7166152,0.89962846,23
24,0.6565943,0.4352248,5.603667,0.7966268,0
25,0.42716074,0.67902464,2.6030324,0.87682265,1
26,0.3628398,0.8813211,7.777012,0.9220532,2
27,0.9360644,0.17427824,0.6759641,0.7609985,3
28,0.6826237,0.504315,3.487468,0.91546357,4
29,0.098309115,0.023390919,2.577229,0.819583,5
30,0.69235444,0.721233,3.4776604,0.8062897,6
31,0.46294338,0.67993605,3.219984,0.8845743,7
32,0.04688183,0.8746275,1.9326329,0.8726492,8
33,0.119550556,0.19979244,3.3206263,0.8576495,9
34,0.5810934,0.84265333,5.167286,0.79187304,10
35,0.8512856,0.3868153,1.7574137,0.9411995,11
36,0.1431611,0.319613,2.1352522,0.81244266,12
37,0.43702376,0.80912715,3.1373084,0.75245076,13
38,0.066045865,0.42348656,2.4372268,0.91183126,14
39,0.51793486,0.74851775,2.9092395,0.8789881,15
40,0.5483929,0.8489212,2.649712,0.88830227,16
41,0.18938746,0.70698553,1.7457042,0.51243645,17
42,0.3559988,0.49198467,6.4623327,0.59643614,18
43,0.82711893,0.32657832,2.773323,0.520538,19
44,0.06862749,0.79557234,6.3377514,0.69811726,20
45,0.340193,0.19027233,7.905838,0.83489805,21
46,0.8845783,0.23958816,4.729671,0.48574027,22
47,0.07313656,0.6834553,1.62598,0.7595576,23
48,0.78009295,0.29922268,5.6923532,0.6304443,0
49,0.5048149,0.78659445,2.0011208,0.75892377,1
50,0.46694046,0.82792366,7.0578327,0.751013,2
51,0.84339076,0.3742996,1.0878978,0.778282,3
52,0.44774508,0.6281121,5.608163,0.90354234,4
53,0.024915487,0.2996795,2.0880642,0.7309921,5
54,0.62146163,0.6397493,2.5983617,0.74550307,6
55,0.32318524,0.71818763,3.7769141,0.80059713,7
56,0.11384998,0.86732626,1.9790068,0.82573116,8
57,0.09265747,0.18547791,4.385413,0.7100523,9
58,0.6501045,0.90336746,5.105443,0.89472836,10
59,0.74905306,0.74972737,1.6738011,0.6368905,11
60,0.14704925,0.84593534,1.5523208,0.9395961,12
61,0.54464865,0.8437532,4.5015907,0.82935065,13
62,0.056842323,0.3567562,1.6462241,0.6546593,14
63,0.735355,0.67955923,2.313986,0.89384955,15
