,discount,learning rate,mf weight,mb weight,subject
0,0.37546134,0.7000745,1.0505002,0.93922395,0
1,0.264489,0.71708435,0.99253446,0.56499153,1
2,0.39661908,0.8332674,1.4116092,1.649825,2
3,0.17055522,0.6224507,0.6483542,0.36091766,3
4,0.41897053,0.77747977,1.021335,0.7699315,4
5,0.099135965,0.18666962,1.0905932,0.8412693,5
6,0.37473813,0.8576602,1.2389343,0.4873913,6
7,0.47041038,0.50039583,0.44111544,0.61681145,7
8,0.19500391,0.68171203,0.6353947,0.2882963,8
9,0.39426026,0.47695652,1.1066346,0.9389317,9
10,0.28134316,0.52136797,0.5840471,0.9074855,10
11,0.1622531,0.91874826,0.72264254,0.47593254,11
12,0.3599024,0.7841896,0.8063582,0.6220318,12
13,0.14465019,0.76241356,0.76204145,0.8129375,13
14,0.31634605,0.171721,0.776271,0.31973124,14
15,0.6218262,0.33444276,0.35046113,0.6954516,15
16,0.26635668,0.74012554,1.2948157,0.31555474,16
17,0.44493553,0.679046,0.5230355,0.9272938,17
18,0.31400457,0.60696584,0.7019927,1.8489356,18
19,0.14697205,0.62752414,1.7489552,0.30524182,19
20,0.22705676,0.739923,1.272906,0.9202779,20
21,0.34270802,0.16813271,0.25783888,1.4582379,21
22,0.16301428,0.41222495,1.0020609,0.7079657,22
23,0.21278574,0.41235676,0.80456364,0.3932441,23
24,0.10913797,0.6714631,1.3756523,1.5367897,0
25,0.19653805,0.4998661,0.6206913,0.7208829,1
26,0.353898,0.79343677,1.319577,2.2702847,2
27,0.13197264,0.892904,0.73469496,0.37365746,3
28,0.2987518,0.68674016,0.46063596,1.6341174,4
29,0.14521237,0.11937284,0.5804814,0.6845213,5
30,0.28719267,0.73047954,0.90906143,0.5899262,6
31,0.13529262,0.784119,0.95218474,0.72709066,7
32,0.33923587,0.50302774,0.71461356,0.21682236,8
33,0.33618298,0.4484466,0.8354559,0.9287907,9
34,0.32359874,0.8002778,0.43458572,1.2936425,10
35,0.13777232,0.65377134,0.42939815,0.5997678,11
36,0.2840091,0.5053356,0.6875552,0.54912657,12
37,0.2562957,0.49628228,0.5515596,0.7616266,13
38,0.31599557,0.1871792,0.80040467,0.3190111,14
39,0.36187676,0.570277,0.7743484,0.3156658,15
40,0.16415682,0.48987776,0.83214724,0.45059866,16
41,0.116386384,0.5891891,0.55517244,0.68105197,17
42,0.08981869,0.81873804,2.099448,1.5851736,18
43,0.26419818,0.808688,0.8483503,0.80496407,19
44,0.5546526,0.54934627,0.8260998,1.1286324,20
45,0.3173698,0.19802195,0.48064157,1.0183265,21
46,0.43013677,0.68654364,1.2035679,0.58103836,22
47,0.5829814,0.424944,0.2607743,0.4275601,23
48,0.17514424,0.54226947,0.7159913,0.6498891,0
49,0.32750067,0.63712394,0.72545815,0.7969072,1
50,0.43807212,0.6269406,0.76599777,1.6573944,2
51,0.24316041,0.8741477,0.9109156,1.1561371,3
52,0.1829716,0.8177263,1.2025181,1.1567621,4
53,0.20297088,0.11656117,0.3496673,0.7455537,5
54,0.29674405,0.7513868,0.765999,0.7600106,6
55,0.24565278,0.7043111,1.9347113,0.4656809,7
56,0.15500219,0.86044747,0.4998992,0.46473157,8
57,0.22048037,0.5604559,1.1209745,0.80215806,9
58,0.36480647,0.60612136,1.5545733,0.4620012,10
59,0.36597908,0.66736466,0.41897178,0.76498157,11
60,0.285186,0.6429,1.0801024,0.33263823,12
61,0.35000426,0.75399965,0.56808907,1.1592257,13
62,0.3239346,0.17200002,0.6351215,0.46010482,14
63,0.3163558,0.7308182,0.9213904,0.431669,15
64,0.26382136,0.5903938,0.7570858,0.50073105,16
65,0.31099802,0.7322829,0.40541026,0.5013484,17
66,0.11670542,0.71610004,0.9509266,2.0339785,18
67,0.33868724,0.4706258,0.5356922,0.76970947,19
68,0.25693068,0.6934056,1.2110022,0.6083719,20
69,0.16725451,0.47785407,1.9205711,1.4977261,21
70,0.27051625,0.5033212,1.2908505,0.89936566,22
71,0.2942264,0.5658165,0.47137004,0.4844986,23
72,0.15771276,0.6042985,1.341013,0.39059427,0
73,0.17021324,0.51099694,0.41947293,0.47488916,1
74,0.33250326,0.656583,1.2560523,0.5500121,2
75,0.26682618,0.51781476,1.1554167,0.66891617,3
76,0.11755991,0.67440575,0.9329728,1.0309807,4
77,0.3236653,0.21843426,0.862672,1.417247,5
78,0.23678218,0.64544123,0.8706352,0.5388745,6
79,0.3419685,0.5328779,0.74267614,0.7567848,7
80,0.3541021,0.77610266,0.7260194,0.68512404,8
81,0.13168994,0.39365017,1.0086209,0.6262567,9
82,0.36653572,0.7992805,0.60950834,0.7531137,10
83,0.25680417,0.6112856,0.49236006,0.39200675,11
84,0.38468757,0.6843184,0.798143,0.5885184,12
85,0.43985978,0.61537397,0.66639924,0.6261112,13
86,0.39156052,0.2250239,1.3969806,0.6256965,14
87,0.24229574,0.5697463,0.6361387,0.45750743,15
88,0.38818106,0.68935597,1.2306716,0.39198905,16
89,0.35821038,0.67234904,0.94753754,0.41710505,17
90,0.49658883,0.7633912,0.69746417,1.7690086,18
91,0.35009032,0.71393996,0.55028445,0.7089918,19
92,0.25412697,0.51361126,1.1567345,0.5031514,20
93,0.22805463,0.39647174,1.4688861,1.7703338,21
94,0.16706273,0.64313835,0.9585407,1.0909326,22
95,0.29862067,0.44016063,0.731777,0.7829653,23
96,0.2855737,0.56328267,0.5633794,1.0545192,0
97,0.19157487,0.6187039,0.959002,0.43023533,1
98,0.3880272,0.49757105,0.5330688,1.5628927,2
99,0.31611323,0.8229544,1.1851623,0.52911276,3
100,0.17529939,0.5192668,1.1072814,0.8652731,4
101,0.17842852,0.14846663,0.8206912,0.8724166,5
102,0.31485477,0.46064612,0.93929684,0.3989843,6
103,0.44947445,0.76109123,1.0600574,0.68597144,7
104,0.29440165,0.7455386,0.4590553,0.27659348,8
105,0.36250344,0.522369,1.1944681,0.7984092,9
106,0.21323934,0.6627501,1.0030942,0.45968083,10
107,0.13402148,0.6692273,1.2789345,0.5152526,11
108,0.41297677,0.6308018,0.5849422,0.7482316,12
109,0.35857567,0.55485594,0.5313431,0.8880509,13
110,0.50389296,0.17046307,0.44306034,0.560217,14
111,0.66191846,0.6909851,0.41533834,0.65531087,15
112,0.4379167,0.7931498,1.0744152,0.9352693,16
113,0.0794621,0.5575011,0.50490093,0.26928174,17
114,0.4147396,0.69056326,0.93982923,1.8266313,18
115,0.5254286,0.74079573,0.76263165,0.41565058,19
116,0.24429248,0.71026456,0.6808907,1.0424674,20
117,0.3969911,0.20752412,0.59134424,1.548317,21
118,0.20345649,0.64167035,1.2051508,0.75455165,22
119,0.40047064,0.70725715,0.37726867,0.6357537,23
120,0.48405883,0.7101439,0.7422821,1.3786919,0
121,0.18870892,0.56787676,0.97435653,0.21914956,1
122,0.39116433,0.4714709,0.5844669,1.3557112,2
123,0.1446925,0.67165875,1.0648537,0.4674806,3
124,0.21801358,0.79860306,0.78363454,0.8232123,4
125,0.061137836,0.13392,1.3330612,0.55089366,5
126,0.35081246,0.86337364,1.3204315,0.5623199,6
127,0.22802113,0.57276714,0.7252598,0.5959625,7
128,0.20592393,0.77938646,0.9867238,0.276703,8
129,0.5212216,0.39420152,0.38573286,0.8673185,9
130,0.29866454,0.63424474,0.8203547,0.40492406,10
131,0.37732542,0.73819107,0.5003351,0.36289653,11
132,0.17915805,0.606073,1.0197273,0.7807876,12
133,0.21236557,0.66100425,0.7446733,1.208462,13
134,0.27562606,0.14189865,0.57634974,0.4621609,14
135,0.5161315,0.38763413,0.5941642,0.22624758,15
136,0.36761537,0.60548997,0.38120538,0.74429524,16
137,0.46727142,0.60627687,0.67381805,0.6262106,17
138,0.12583098,0.8094809,2.7607245,1.6130154,18
139,0.3178743,0.6159224,0.5433508,1.7786412,19
140,0.21024379,0.7895553,1.8370318,0.4919321,20
141,0.27111912,0.3922445,1.2787827,1.5219986,21
142,0.2709395,0.63006306,1.0264618,0.72358435,22
143,0.1348499,0.5332488,0.4857072,0.4809187,23
144,0.16520478,0.53127515,1.325234,0.5887124,0
145,0.38227838,0.5585406,0.3940586,0.37080598,1
146,0.26113853,0.52603406,1.0247968,0.8626461,2
147,0.38668883,0.8167931,0.7635956,0.549505,3
148,0.38563195,0.82689345,1.1965995,0.6827272,4
149,0.19028154,0.10261095,0.42285293,0.5699756,5
150,0.3058894,0.68448293,1.5079526,0.4579433,6
151,0.24955787,0.8736027,1.4640657,0.59201276,7
152,0.117955945,0.8595187,0.8828718,0.5543346,8
153,0.1738852,0.430488,0.70322144,1.3286515,9
154,0.3349698,0.8667198,0.94631857,0.7955219,10
155,0.10431045,0.87978387,0.84703004,0.6911922,11
156,0.19862936,0.53856826,0.52092123,0.79511595,12
157,0.35262597,0.7797402,0.54979837,1.2294604,13
158,0.49102712,0.23311844,0.7041903,0.95838886,14
159,0.3368059,0.69558716,0.8643055,0.37758267,15
160,0.34982693,0.6239559,0.9912014,0.6151441,16
161,0.1775673,0.4825533,0.86208093,0.6478226,17
162,0.2236004,0.7877122,1.3680584,1.3785758,18
163,0.16466315,0.8121124,1.4303907,0.65237916,19
164,0.42230988,0.5338567,0.8947495,0.6703658,20
165,0.28185955,0.5760029,1.9142344,2.3338256,21
166,0.25031975,0.73552585,1.2221165,0.73654354,22
167,0.33681774,0.5128961,0.71392834,0.3794433,23
168,0.10585172,0.37584946,0.8008763,0.9608773,0
169,0.08883062,0.6829156,0.84784794,0.40540472,1
170,0.6967508,0.50542533,0.967242,1.1470833,2
171,0.24163881,0.6968884,1.0749308,0.36770895,3
172,0.34985214,0.6557668,1.3097194,0.5917959,4
173,0.119977325,0.15833569,0.959762,0.8043257,5
174,0.057481717,0.6255924,1.1079177,0.53759843,6
175,0.36653596,0.61195153,0.98462903,0.48427755,7
176,0.43471727,0.45941302,0.67544013,0.22539617,8
177,0.22467405,0.35774922,0.8374808,0.6218815,9
178,0.59179884,0.68250155,0.49666142,0.3906409,10
179,0.15526675,0.6634407,0.8186239,0.59638935,11
180,0.41437247,0.68927455,0.52270913,0.8574544,12
181,0.29612905,0.70253927,0.9303194,0.7048551,13
182,0.41302577,0.18570867,0.74624836,0.46967983,14
183,0.13035463,0.8276457,0.55464923,0.63763607,15
184,0.106550656,0.5245885,1.9299599,0.37206373,16
185,0.19914763,0.7181507,0.63785124,0.5572889,17
186,0.11599707,0.7304487,1.0704594,2.0814254,18
187,0.15525866,0.8330862,1.5507882,0.9101023,19
188,0.14143105,0.8134381,1.2930642,1.0019054,20
189,0.42265892,0.35222322,0.4202906,2.6231427,21
190,0.26112068,0.58704215,0.7094209,0.7505386,22
191,0.3574565,0.42980936,0.31894997,0.62149525,23
192,0.33189946,0.66025287,1.7886261,0.56821793,0
193,0.23161766,0.5405213,0.7133772,0.75039715,1
194,0.4503321,0.68761986,0.97335184,0.75406873,2
195,0.1692399,0.6192728,0.631074,0.36171988,3
196,0.18501903,0.6967296,0.85872656,1.2138109,4
197,0.14723912,0.21383424,1.498544,1.0637465,5
198,0.3577603,0.59587973,1.0406959,0.87425745,6
199,0.18603244,0.6537419,1.0446336,0.9799001,7
200,0.26036653,0.5861599,0.6063404,0.7418915,8
201,0.22294576,0.2407071,0.5018783,1.2986338,9
202,0.37729114,0.5483831,1.2152659,0.36430493,10
203,0.13730283,0.7207985,0.69234216,0.70391655,11
204,0.19252726,0.1718866,0.7692536,0.7708574,12
205,0.46053782,0.74129486,1.1210513,1.0868355,13
206,0.41730282,0.12507936,0.33220118,0.46231753,14
207,0.49096993,0.5844341,0.46075398,0.45713094,15
208,0.3274859,0.81544536,0.7195976,0.84788907,16
209,0.37717354,0.75931746,0.9270905,0.24764822,17
210,0.1626981,0.8402501,1.3561884,2.0800903,18
211,0.12618257,0.6243545,0.6577993,0.6207478,19
212,0.59263736,0.6591455,0.35457048,1.0869195,20
213,0.46627873,0.493925,1.4116579,1.9303658,21
214,0.09009096,0.5532496,1.6145236,0.3012132,22
215,0.4241149,0.36934096,0.595073,0.43562245,23
