,discount,learning rate,mf weight,mb weight,repetition,subject
0,0.09272135,0.58532596,1.3889065,0.8212167,0.23112147,0
1,0.16322204,0.8029048,0.708388,0.64090174,0.35495073,1
2,0.37574226,0.6834482,0.9155923,0.7473676,0.18961544,2
3,0.32706285,0.5490931,0.8805136,0.45976162,0.23084538,3
4,0.19125752,0.38725644,0.8617603,0.63992923,0.170153,4
5,0.11057674,0.281281,2.2424967,0.7823603,0.18865046,5
6,0.3900333,0.5067745,0.71440554,0.7384358,0.06567743,6
7,0.28010085,0.6230187,0.7994354,0.7262509,0.23355818,7
8,0.18045305,0.74096507,0.40140623,0.5895654,0.24705473,8
9,0.1256196,0.46752664,0.7304964,1.0126883,0.0909422,9
10,0.12529294,0.764353,0.6305931,0.9841392,0.2121734,10
11,0.21367128,0.853988,0.8686614,0.8470384,0.07627371,11
12,0.13144316,0.86926115,0.9150764,1.1164936,0.248396,12
13,0.11807546,0.7820871,1.3013061,1.221621,0.16273955,13
14,0.6667814,0.33561844,0.9179676,0.8592168,0.352118,14
15,0.17979744,0.39204848,0.54467666,0.609359,0.15062338,15
16,0.31947064,0.45243198,0.35837978,1.3424268,0.10286558,16
17,0.3405368,0.45217004,0.79922354,0.4630284,0.10449548,17
18,0.07313832,0.6201236,2.2500684,0.99670887,0.06584671,18
19,0.25271165,0.6295919,0.8395387,1.0100567,0.09919257,19
20,0.23165545,0.5244857,1.1116438,0.66622883,0.07860599,20
21,0.48721376,0.2452654,0.20030192,2.9413202,0.054781146,21
22,0.12087462,0.44085136,0.59801614,0.79123217,0.3058632,22
23,0.31876034,0.69885486,0.8672128,0.586644,0.26183093,23
24,0.29327756,0.65503824,1.1676812,0.747193,0.13732347,0
25,0.4373429,0.5250549,0.44822,0.54171664,0.058534753,1
26,0.5511215,0.7970774,2.263523,0.7449368,0.17880271,2
27,0.15833874,0.6567454,1.1289399,0.7701266,0.21255344,3
28,0.30720752,0.5614242,1.0659516,0.64811426,0.041666884,4
29,0.20548753,0.28470454,1.6837718,1.4066768,0.09281084,5
30,0.32043123,0.6073984,0.34388697,0.8635608,0.4597025,6
31,0.15530814,0.6894539,1.354137,0.7270107,0.24557772,7
32,0.24370736,0.745922,0.57270306,0.50238436,0.1704613,8
33,0.24076213,0.31896755,0.9370048,0.80271924,0.106452785,9
34,0.18316542,0.82367986,1.0895238,0.87610936,0.108125776,10
35,0.13654825,0.6534049,0.5894078,0.7021148,0.10316276,11
36,0.29472974,0.64985347,1.0804406,0.6383573,0.2671102,12
37,0.2761715,0.73763305,1.7041578,0.86755824,0.08504516,13
38,0.5360189,0.21186149,0.6281085,0.6678685,0.25295296,14
39,0.46733123,0.7104474,0.73448586,0.5768012,0.09199409,15
40,0.17687146,0.7320376,1.5468748,1.1124053,0.17571983,16
41,0.18847373,0.781535,0.60050416,0.7416717,0.21395856,17
42,0.22636552,0.8644681,2.222086,1.3646703,0.1357788,18
43,0.75951076,0.75202566,0.678193,1.1291841,0.13327153,19
44,0.194711,0.75566727,1.4673104,0.36750352,0.28814584,20
45,0.18898869,0.43628323,1.963927,1.2082295,0.21616799,21
46,0.16762064,0.71993685,1.2453122,0.4591828,0.1793875,22
47,0.4846905,0.753286,0.77677417,0.46525663,0.08686799,23
48,0.35076845,0.6293952,0.6774057,0.896693,0.09065692,0
49,0.20684622,0.7271581,0.60111684,0.69968647,0.09471736,1
