,inferred policy rate,subject,inferred reward rate,inferred dec temp
0,0.5024036,0,0.65828484,3.1267164
1,0.35490015,1,0.5472438,4.1070313
2,0.45056218,2,0.30863345,3.0033457
3,0.41454005,3,0.65605384,3.7116292
4,0.34466454,4,0.5802659,4.6975117
5,0.2981871,5,0.6792987,4.6907616
6,0.6536427,6,0.36695033,6.7504873
7,0.47215578,7,0.6323522,6.609485
8,0.29421642,8,0.38384053,3.2633154
9,0.30310598,9,0.36690757,3.5394232
10,0.3050769,10,0.55947775,2.9027774
11,0.51109254,11,0.6308833,5.073966
12,0.44000617,12,0.6394753,3.109442
13,0.58956194,13,0.65936697,3.7085073
14,0.440363,14,0.32390812,3.2833786
15,0.34372634,15,0.3849253,3.0710971
16,0.6182399,16,0.31447712,6.502347
17,0.6983492,17,0.63462454,3.165198
18,0.6748086,18,0.61977243,4.357876
19,0.32442895,19,0.6429129,3.2022111
20,0.69025326,20,0.67786187,3.5018945
21,0.61671007,21,0.52024466,4.4746075
22,0.38467225,22,0.34176496,3.6819544
23,0.66276276,23,0.67618936,5.2386036
