,policy rate,reward rate,dec temp,subject
0,0.30116147,0.88548344,2.0110335,0
1,0.48718208,0.66405374,5.0259285,1
2,0.2448858,0.072658345,1.9146837,2
3,0.23355912,0.77600414,4.0589733,3
4,0.16673252,0.7322574,3.4504805,4
5,0.10361099,0.7924057,4.033824,5
6,0.83958656,0.4105674,7.6017976,6
7,0.39195204,0.6754579,7.5154343,7
8,0.14479442,0.47234845,2.443388,8
9,0.13816147,0.2128192,4.225536,9
10,0.11196685,0.49920666,1.8045278,10
11,0.6795202,0.6296203,5.2544603,11
12,0.39964706,0.5999374,1.5171074,12
13,0.63833946,0.696166,3.555499,13
14,0.64264834,0.14637928,4.0794187,14
15,0.017391393,0.9832833,0.5938978,15
16,0.58039117,0.17939739,6.6798015,16
17,0.6466307,0.58819586,1.1591829,17
18,0.4300277,0.499758,5.041025,18
19,0.25383624,0.52502984,1.723583,19
20,0.8103235,0.8693222,4.464567,20
21,0.7164631,0.39393643,4.9990644,21
22,0.2233216,0.032640386,4.99135,22
23,0.8757207,0.72129446,4.1892242,23
24,0.6861883,0.84248924,2.7271914,0
25,0.16712762,0.5444403,5.5019073,1
26,0.5851822,0.077054754,3.2782803,2
27,0.21874353,0.8505318,4.403063,3
28,0.046167664,0.66419894,3.5959396,4
29,0.23423491,0.8809837,5.95892,5
30,0.71383554,0.3943916,6.7774625,6
31,0.42235005,0.66131204,7.279092,7
32,0.19828773,0.34528923,2.7176447,8
33,0.17785236,0.062487397,6.070974,9
34,0.18234675,0.50283736,1.895009,10
35,0.3866246,0.5993165,3.6328073,11
36,0.3913073,0.7043062,2.904482,12
37,0.14414738,0.7231267,3.8662295,13
38,0.6837485,0.15891743,4.301564,14
39,0.10054729,0.2606718,1.867718,15
40,0.5097229,0.27431118,6.842862,16
41,0.7963206,0.860258,2.1241853,17
42,0.6959677,0.58341485,3.3467717,18
43,0.24515374,0.6639565,2.6248078,19
44,0.8749145,0.85613143,4.2538514,20
45,0.66476256,0.29063383,5.6045856,21
46,0.27574128,0.08331366,4.5709662,22
47,0.82913923,0.7950318,5.5877404,23
48,0.53841275,0.8335312,1.681545,0
49,0.70235145,0.66703975,4.037953,1
50,0.48189753,0.060737453,2.5852087,2
51,0.53365576,0.7864792,6.112912,3
52,0.94142973,0.6805711,5.6038837,4
53,0.13218692,0.8389213,7.1605263,5
54,0.86642134,0.37402976,7.2314806,6
55,0.3326536,0.579862,6.9781237,7
56,0.21439116,0.19663489,2.3878717,8
