,locs0,locs1,locs2,locs3,subject
0,0.5709037,0.31520486,-1.6982222,-1.5328587,0
1,-1.2411883,0.37262815,-0.5309074,-1.2113357,1
2,-0.08730441,1.0337169,-0.8335533,-1.3747026,2
3,-0.72260475,0.57525927,-0.40174857,-0.6666529,3
4,-0.93242913,0.87470883,-0.5644599,-0.39326054,4
5,-0.25563017,0.54704124,-2.8484416,-0.47432852,5
6,-0.055697262,-1.1122179,-1.9483103,-1.2679613,6
7,-1.2835492,0.6062182,-0.045646787,-0.8478713,7
8,0.4304157,1.5073303,-0.7542505,-0.3294627,8
9,0.34936494,1.1907021,-2.3679595,0.026368618,9
10,0.33813268,0.1521028,-1.5271723,-0.9468799,10
11,-0.7027123,0.84432626,-0.4914927,-0.3392504,11
12,-1.3409863,0.407876,0.19507724,-1.5509803,12
13,0.26673234,0.59097636,-2.0979166,-0.46375653,13
14,-0.7037409,0.5933311,-0.4544352,-1.5193844,14
15,-1.6895117,-0.11509034,0.23871887,-1.5981236,15
16,0.58135056,0.7588087,-1.7418098,0.32427496,16
17,-0.40622163,0.39080194,-0.79258054,-0.5966732,17
18,-0.89110243,0.61443055,-1.4564207,-0.7436986,18
19,-0.34132323,0.3765264,-1.9385035,-1.0677547,19
20,-0.3476931,0.8407407,-0.6589973,0.17724895,20
21,-0.70034087,-0.20929646,-1.0284169,-1.0506196,21
22,-1.1109992,-0.50664926,-0.47263074,-2.2887185,22
23,-0.5924186,-0.33426064,-1.691426,-0.97505546,23
24,-1.63521,0.6407416,0.1771555,-0.68371177,0
25,-1.505791,1.2829069,-0.53004146,0.50388443,1
26,-0.051611423,-0.38765752,-1.7565436,-0.35393256,2
27,-1.969028,0.65323985,-0.0027208924,-1.0659723,3
28,-1.2066175,0.24776909,-0.217713,-1.7440445,4
29,-0.64447445,1.5105553,0.05335015,-0.59984434,5
30,-0.29641116,0.15075797,-1.1086739,-0.7085811,6
31,-1.3571093,1.0084902,0.8298005,-0.23495388,7
32,0.42274827,0.41626656,-1.1467249,-1.3502254,8
33,-0.87328076,0.3225292,0.5485319,-1.520166,9
34,-1.3243179,1.6646949,-0.30556822,-0.52415776,10
35,0.47651523,0.771186,-1.0866181,-0.55144703,11
36,-0.35670295,0.25637877,-1.4122328,-1.0515242,12
37,0.16029274,1.2249558,0.26364362,-0.04787582,13
38,-0.27553838,0.87663513,-2.078267,-0.65355587,14
39,-0.7030298,-0.54956543,-1.4028559,-1.5255077,15
40,-0.857044,0.7149229,-0.8532622,-0.8199899,16
