,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight
0,0.31712016,0,0.6796606,1.4095426,1.1012839
1,0.3060117,1,0.6769218,1.4073111,1.1439593
2,0.3169801,2,0.63796777,1.3545092,1.091005
3,0.27357948,3,0.6921572,1.4859759,1.2404157
4,0.2657088,4,0.6635619,1.4491314,1.2433218
5,0.29294288,5,0.6812256,1.586539,1.3169441
6,0.3074361,6,0.63881874,1.6308621,1.3964304
7,0.37902245,7,0.66646475,1.7431507,1.4646064
8,0.3133224,8,0.57780397,1.5136269,1.1695325
9,0.28651586,9,0.5801373,1.4959211,1.1545756
10,0.3568673,10,0.56319594,1.1716257,1.0593193
11,0.30418882,11,0.685434,1.485743,1.2811098
12,0.29432568,12,0.6718564,1.2362015,1.0537822
13,0.27824712,13,0.7093872,1.344417,1.1402625
14,0.32107666,14,0.6253536,1.6632873,1.3217664
15,0.28887528,15,0.5096569,1.4382893,1.1890898
16,0.32455626,16,0.6411278,2.0103688,1.8744878
17,0.3272761,17,0.6803982,1.5366527,1.2090214
18,0.31851476,18,0.6743059,1.5052494,1.2806255
19,0.3075593,19,0.68504936,1.4275346,1.1793358
20,0.37200895,20,0.70008105,1.4516371,1.1782656
21,0.28779736,21,0.6785326,1.5351276,1.1694397
22,0.3112132,22,0.6243701,1.6122775,1.1424698
23,0.30598724,23,0.70866925,1.5402864,1.3183695
