,locs0,locs1,locs2,locs3,locs4,subject
0,-0.07107276,1.1441839,-1.7813376,-2.197252,-2.7303362,0
1,-1.859545,-0.047851443,-2.314932,-2.1050088,-1.7619922,1
2,-1.5209571,-0.10007501,-1.9184929,-2.2038584,0.041035533,2
3,-1.7798204,0.8999399,-1.0541961,-2.1776156,-2.3780088,3
4,-1.1101484,1.9916716,-1.5453423,-1.3044418,-1.5594063,4
5,-2.2878208,1.6616604,-0.5455675,-1.6548764,-1.396976,5
6,-0.29147047,1.2538675,-1.3656893,-1.1803565,-3.0566223,6
7,-1.230032,1.6712275,-0.49790806,-1.4841918,-0.6952481,7
8,0.30895835,-0.06312773,-2.669865,-1.0896621,-1.6904008,8
9,-0.52632916,0.13197342,-2.009006,-0.56124485,-1.4139351,9
10,-0.087848246,-1.0207832,-1.678591,-2.5696754,-1.8169708,10
11,-0.76524127,0.5323216,-2.1362143,-1.4757247,-1.9595813,11
12,-0.77300954,1.8692038,-1.3521616,-1.5208671,-1.6552035,12
13,-0.7982137,1.4954147,-1.4109089,-2.4194403,-2.1688623,13
14,-0.8105398,0.20151892,-1.5152428,-1.690367,-0.81215656,14
15,-0.8102337,0.07001963,-1.9043939,-1.6573598,-2.0163355,15
16,-1.2044933,-0.72816104,-1.960973,-1.7030956,-0.8510835,16
17,-1.3415338,1.0373702,-1.1208037,-1.7494489,-1.3401214,17
18,-0.5270469,2.020296,-1.5248687,-1.2780502,-0.88769037,18
19,0.56645346,1.2540486,-2.4472957,-1.935046,-2.3303173,19
20,-0.48274586,1.370507,-1.2339848,-1.9291055,-0.613131,20
21,-0.4714051,1.8010185,-1.8100462,-1.3380988,-1.2510538,21
22,-1.0382953,0.6535607,-1.2849684,-2.2368264,-1.5402555,22
23,-0.8112825,1.1911155,-1.0817844,-2.154628,-2.9042373,23
24,-1.8794934,0.19521672,-1.746675,-2.5091708,-1.4080981,0
25,-1.6577235,0.18135637,-2.1628494,-1.9959109,-1.00405,1
26,-1.4164144,0.8756329,-1.4891031,-2.1064117,-0.38973475,2
27,-0.53544873,0.91832167,-2.2763531,-1.4432217,-0.92426467,3
28,-0.50915504,0.54209495,-1.3844097,-2.0874748,-1.72446,4
29,-0.25931156,0.05329603,-1.6088061,-2.0222328,-1.2127371,5
30,-2.2552361,1.0471762,-0.8291396,-1.8805171,-0.68451726,6
31,-0.890225,1.3084525,-1.3062291,-1.3496346,-0.5853388,7
32,-1.0702133,0.6344268,-1.3907595,-1.466181,-1.7718381,8
33,-1.6775649,0.08568276,-1.076674,-1.9819838,-2.4506478,9
34,-0.46412414,-0.3108036,-1.7810338,-2.4616444,-2.8151345,10
35,-1.4820579,0.6855505,-1.7417045,-1.813844,-2.5997212,11
36,-0.52882963,-0.03956127,-2.1838694,-2.1321204,-1.7458265,12
37,-0.6716259,0.23943502,-2.6983714,-2.0677195,-1.9999162,13
38,-1.1511761,1.6655205,-1.0043526,-0.45310378,0.06574857,14
39,-0.94585687,-0.85707605,-1.5823046,-2.060746,-2.2903216,15
40,-0.37143302,0.18943289,-2.6870992,-0.5234115,-0.53601843,16
41,-1.517807,0.28153414,-2.391944,-2.0734541,-1.2840441,17
42,-1.4014497,1.0230575,-1.1993893,-1.9498837,-1.4177418,18
43,0.0035575628,0.5003209,-1.5963795,-2.1812215,-1.4087279,19
44,0.55421925,1.9317937,-1.7614467,-1.218302,-1.3334072,20
45,-0.9076921,0.22744083,-1.6969272,-1.1405969,-2.1962888,21
46,-0.94338244,1.0389292,-1.4049481,-1.4464358,-1.9331734,22
47,-1.4582374,1.621351,-1.7578505,-1.4803765,-1.2106777,23
48,-1.2435719,1.8354127,-1.2363853,-2.3899913,-2.5550053,0
49,-2.1885536,0.26383448,-1.2597568,-1.6626015,-1.5354046,1
50,-1.92209,0.6363498,-0.97394174,-2.8050115,-1.4284908,2
51,-1.1465602,0.5593506,-0.9674593,-2.2574363,-1.318085,3
52,-0.9990576,-0.37266845,-2.6406198,-1.6072502,-1.6752409,4
53,-1.7927914,0.40656102,-1.611329,-1.4292665,-1.5918553,5
54,-1.3512862,-0.29935873,-1.5328918,-1.7444223,-1.0166804,6
55,-1.3893435,0.6857237,-1.1445777,-1.4809872,-2.078869,7
56,-0.28162873,0.31395376,-1.5030338,-1.6792604,-2.7087948,8
57,0.2757845,-0.5096862,-2.705552,-1.5856262,-2.7477942,9
58,-1.0411068,0.15369128,-2.2531803,-1.942791,-0.61673945,10
59,-0.74029267,0.8947089,-1.4162835,-1.3695428,-1.7605776,11
60,-1.1984978,0.5060289,-1.983333,-1.9869213,-0.5892284,12
61,-2.0540047,0.34229147,-1.9131787,-1.9499196,-2.2302294,13
62,-1.5021373,0.6411029,-0.618088,-2.323193,-1.2488565,14
63,-1.5190166,-1.6572996,-2.284225,-2.1205478,-1.1271701,15
64,-1.5714383,0.42693895,-0.76703626,-1.4179559,-0.8214774,16
65,-1.3312554,1.9019549,-1.2060409,-2.4976804,-1.5097586,17
66,-1.7538747,1.6656549,-0.79867715,-1.4667426,-1.7242336,18
67,-0.31096667,1.640441,-1.6811316,-1.2811301,-1.4231079,19
68,-0.35039258,0.3540764,-1.95419,-2.2266068,-1.9244637,20
69,-2.498022,0.95030737,-1.0450467,-2.0314379,-2.4857285,21
70,0.060824275,1.0378244,-1.5534654,-1.3760417,-3.2766972,22
71,-0.6009932,1.7099407,-0.5787132,-2.1963482,-1.9079914,23
72,-1.5723833,1.6112605,-1.0689827,-1.6256274,-1.3847485,0
73,-2.053692,0.61874527,-1.3084773,-2.2056196,-1.6762959,1
74,-1.2697395,-0.6359491,-2.1048996,-1.4635663,-0.7111904,2
75,-1.1186827,1.2332356,-1.3949792,-2.0189128,-2.2080824,3
76,-1.5449259,0.16032791,-1.03831,-2.073657,-1.3213356,4
77,-1.1505438,1.7363582,-1.284713,-1.1360946,-2.1148922,5
78,-0.5181933,0.34840146,-2.4665422,-0.40016603,-2.6449494,6
79,-0.40295237,0.39305434,-1.2183514,-1.4636743,-1.5681165,7
80,-1.4757297,-0.73051155,-1.067949,-2.1525972,-1.0642639,8
81,-0.8865504,0.25704476,-1.8052926,-1.8877169,-1.326157,9
82,-0.9063858,0.35061973,-1.5828515,-1.9455037,0.79200554,10
83,-2.7484908,1.6366644,-0.43614292,-2.5017943,-1.5909858,11
84,-1.8479998,1.6643376,-1.6617205,-2.3455067,-1.5290504,12
85,0.079435825,1.3249007,-1.5877104,-2.0764556,-2.7952766,13
86,-0.3207823,0.85559464,-1.4321735,-1.5067401,0.08822715,14
87,-2.1066575,-0.04523185,-0.8792976,-1.8456501,-0.43231893,15
88,-0.10069108,0.25656444,-2.3183198,-1.1844287,-1.3789984,16
89,-0.2960034,1.0732756,-2.0035977,-1.2077756,-0.47095305,17
90,-2.0080404,1.1197381,-1.4917827,-1.8145049,-1.0602264,18
91,-1.3199484,0.69182515,-1.9835325,-1.9154152,-1.0284427,19
92,-0.9252,0.12491417,-2.0836172,-2.4754264,-0.012801409,20
93,-0.12972534,1.6444006,-1.6151805,-1.5306436,-1.1565754,21
94,-2.1818457,0.3386634,-1.0658443,-1.7290225,-1.7260897,22
95,-0.38516462,0.9236932,-1.921337,-1.1058049,-0.56872517,23
96,-1.1864036,1.3603733,-1.7687033,-1.9382558,-1.5425371,0
97,-1.9105744,0.9424683,-1.243541,-1.737668,-1.8061589,1
98,-0.4500904,0.5983798,-1.1985854,-2.5267777,-1.9236233,2
99,-1.307953,0.19640267,-1.705444,-1.5010602,-1.7298558,3
100,-2.3602746,0.7864114,-0.9201733,-1.6168698,-2.391861,4
101,0.3632344,0.3433901,-2.5373063,-1.6104772,-1.8305155,5
102,0.27217972,0.553928,-1.6665261,-1.3751968,-1.7846043,6
103,-0.1289199,1.2194172,-1.0321628,-1.5273312,-2.4048166,7
104,0.1689784,0.9272338,-1.6414747,-1.4378977,-1.0535152,8
105,-2.6094236,0.44661814,-1.0406002,-2.3114817,-0.5780138,9
106,-1.1900322,-0.7240751,-1.5727162,-2.08833,-0.6432618,10
107,-0.50434005,0.9882421,-1.9529423,-2.1074705,-2.0001369,11
108,-1.700666,0.5179948,-1.2661248,-1.7666515,-1.1482661,12
109,-1.212758,0.8971389,-1.7239431,-1.5546378,-1.496854,13
110,-0.8798809,0.691575,-0.76508886,-2.1850562,-1.1783514,14
111,-1.8180782,-0.65105224,-0.98380053,-1.9736135,-1.1095991,15
112,-1.1400254,0.3018107,-1.7141218,-0.4639297,-0.52119225,16
113,-2.0139308,0.29096305,-1.1370153,-1.7666788,-1.5240979,17
114,-0.73783755,0.81343126,-1.718514,-2.3297684,-1.2442207,18
115,-2.2806468,1.6193562,-1.1085212,-1.9423947,-1.0537983,19
116,-0.97050494,1.0179155,-1.9574182,-1.4806533,-0.6469176,20
117,-1.8416141,1.2873783,-1.0681367,-2.1280684,-1.4368424,21
118,-0.93204606,-0.4878134,-1.6637961,-1.0333644,-1.052,22
119,-0.63278985,0.6894693,-1.8209622,-2.3793883,-2.256627,23
120,-0.18605113,0.2514748,-2.326966,-2.1462307,-2.0884483,0
121,-2.1644301,-0.09180009,-1.2453305,-2.0094726,-1.8431793,1
122,-1.1322647,0.3132547,-2.296017,-1.4574674,-3.0594368,2
123,-0.46218115,0.8968242,-1.6468815,-2.1010964,-3.1456678,3
124,-0.80847335,0.71732426,-1.6431346,-1.005229,-1.7949986,4
125,-1.4356725,0.23807591,-1.8934965,-1.9673123,-1.667478,5
126,-1.1544654,0.9740624,-1.0634615,-1.4257925,-0.8349804,6
127,-1.5443226,-0.1546269,-1.5973337,-1.6130694,-2.2183366,7
128,-1.5757437,-0.01882571,-1.8020614,-1.5775355,-2.444746,8
129,-0.761042,1.2416768,-1.5470697,-2.1821733,-1.5957595,9
130,-0.15032172,0.33625698,-2.4000938,-1.3890148,-1.4027175,10
