,locs0,locs1,locs2,subject
0,0.8246469,-0.18315685,-0.64630157,0
1,0.48976982,0.26210803,-1.2383003,1
2,-0.5534467,-0.9953055,0.55807793,2
3,-1.0339367,-0.50343674,0.16400367,3
4,1.1648088,0.1364527,0.2035717,4
5,-0.21243772,0.00028324127,-0.8142648,5
6,-1.1096758,-1.2552888,0.30637002,6
7,-0.22164345,0.17980751,-0.57066107,7
8,-2.0215015,0.8633387,-2.38525,8
9,-0.59201676,0.5058868,-0.4761261,9
10,1.0533668,-0.75662154,-1.2191917,10
11,-1.6617429,-1.3140205,-0.21321315,11
12,-1.5084007,-0.30499196,-0.32915118,12
13,0.21542494,-0.8852964,-0.97423023,13
14,-1.566252,0.7127927,-1.0530108,14
15,-0.20941186,-0.38869762,-1.6458144,15
16,1.2102656,0.013068646,-0.57571,16
17,0.11974937,-0.812002,-0.5364432,17
18,-0.91546917,0.6368811,-1.4794681,18
19,0.0069392323,-0.74866956,-1.3736117,19
20,-1.8632044,1.6971254,-0.32779843,20
21,-1.2999208,1.2277507,-1.3741577,21
22,-0.9154149,-0.6434454,0.23089296,22
23,-2.2385225,-1.3316388,-0.025207222,23
24,1.5254377,1.0099871,-0.98903465,0
25,-0.6843617,2.1470659,-0.85691434,1
26,-1.357048,-0.9716773,-0.8589517,2
27,0.38883874,-0.46953392,-0.91377664,3
28,2.0042288,0.6801683,0.65646267,4
29,-0.17412677,-0.34757307,-0.6762491,5
30,0.26327494,-1.0109634,-1.1469729,6
31,-0.059455574,-0.3017521,-0.96165526,7
32,-1.1941586,0.2255429,-0.8380054,8
33,-0.8675705,1.8505545,0.047453642,9
34,0.7576902,-2.2235055,-0.2851926,10
35,-0.7764374,-0.39636767,-0.8911507,11
36,-0.7678988,-2.0765939,1.3948576,12
37,1.069437,-1.4881335,-0.102987856,13
38,-1.2055533,0.83074605,-0.77761275,14
39,-0.45630664,-1.9114989,0.2088024,15
40,-0.32663143,0.30408663,-0.8000513,16
41,-1.6302168,-1.4155321,-0.723905,17
42,-1.1781766,-1.5057278,-0.9956397,18
43,-0.28832918,-1.7725836,-1.0512819,19
44,-0.26316983,1.1354074,-0.7706969,20
45,0.3762141,0.8484527,-1.1913543,21
46,-1.7362242,-1.6023202,-0.35790074,22
47,-4.370935,0.44382703,-1.2199152,23
48,1.3227961,0.11375511,-0.67944014,0
49,-1.1496476,-2.4255476,-1.119715,1
50,-1.221895,-2.5781343,2.1237042,2
51,0.87956995,-1.0744607,-0.94108355,3
52,0.4608056,0.5434627,0.1109024,4
53,1.5295366,-1.1027472,-1.3283528,5
54,-0.18964888,-0.12222558,0.022017479,6
55,-0.055333138,0.5290144,-0.35037827,7
56,-2.5987816,-1.4906377,-0.3413231,8
57,-1.3111229,0.5758442,-0.26649427,9
58,-1.7130971,-0.43164587,-0.91757995,10
59,-0.75603527,-0.95310235,0.018431053,11
60,-1.1952225,-1.3054494,-0.44616064,12
61,-0.41850072,-0.7895535,-1.0755851,13
62,-0.7698648,0.34249747,-0.89777684,14
63,-0.7915176,0.52468765,-1.2543414,15
64,1.2292893,-0.22885656,-1.1527598,16
65,-0.9896839,-3.34932,-0.3134562,17
66,-1.3367957,-1.1122017,-0.4446638,18
67,-0.5391992,0.026865125,-1.5204976,19
68,0.7349268,0.7636626,-0.6465577,20
69,-1.2340719,-0.8685063,-1.0453436,21
70,-0.92671055,-0.77880615,-0.52561337,22
71,-2.2840924,-0.50257623,-0.18995574,23
72,2.552699,1.1088755,-0.55139613,0
73,-0.53956765,1.239487,-1.9179301,1
74,-1.0137434,-0.00053977966,0.017119765,2
75,0.9966763,0.23759037,0.1392796,3
76,0.71975917,0.53386015,-0.106128395,4
77,0.062112868,-0.486565,-1.384382,5
78,0.3738515,-1.858247,-0.8782708,6
79,-0.20119143,0.034117594,-0.3533916,7
80,-1.5277674,0.33299434,-0.81259227,8
81,0.32017642,0.8266786,-0.21539935,9
82,-2.1734722,-0.6105294,-1.0698895,10
83,-0.8474677,-1.01529,0.6526994,11
84,-0.6325824,-2.8065138,1.9500352,12
85,0.15320176,-0.3311385,-0.09469336,13
86,-0.3114457,1.5602229,-0.06509954,14
87,-0.65668046,-0.22731674,-1.1299516,15
88,1.3294954,0.2306261,-1.211242,16
89,-0.66822624,-0.6780639,-0.82799834,17
90,0.10476482,-2.8522763,0.39290875,18
91,-0.92076206,-0.38075322,0.032295406,19
92,-0.17025387,1.5796113,-0.21371037,20
93,-1.2789991,-1.8673162,-0.7659631,21
94,1.156075,-2.40685,-0.37628466,22
95,-0.70842856,-4.6129894,1.3011137,23
96,0.6365726,1.0266538,-0.5700685,0
97,-1.5727284,-1.3934021,-1.1081603,1
98,-1.2329631,-0.19051784,0.10261482,2
99,-0.2415416,-0.22853166,-0.19321913,3
100,1.4698626,1.0836275,0.7554216,4
101,-0.19123057,-0.83921915,-0.72007304,5
102,0.094990164,-0.69519556,-0.2994951,6
103,0.34788746,0.5621826,-0.92889744,7
104,-1.899225,-2.6006844,-0.16277295,8
105,0.9944589,-0.5481481,-0.9625771,9
106,-2.4549625,-3.468073,-1.1253622,10
107,-0.76867217,-1.422894,0.96860194,11
108,-0.75851524,-0.5950211,-0.33187047,12
109,0.08618188,-1.0670298,0.112639636,13
110,-1.1707212,-0.33529907,-0.693744,14
111,-0.39428037,1.6020113,-2.6563416,15
112,0.6568388,1.2816014,-0.26965535,16
113,-0.4211263,0.08162081,-0.39195526,17
114,-1.4082086,-0.28463596,-1.0235155,18
115,0.24747199,0.56732404,-1.5592785,19
116,0.6676876,1.0420098,-0.7855493,20
117,-1.1319741,0.45801306,-1.5540617,21
118,-3.7553635,-1.2229009,-0.56907177,22
119,0.9836608,-1.2558737,0.28798914,23
120,1.0476208,0.7099327,-0.3009939,0
121,-0.4748003,4.41932,-0.63804275,1
122,-0.37842238,-1.3601758,1.6925871,2
123,0.455395,0.41008174,0.2708583,3
124,0.094793975,-0.20838666,-1.1872914,4
125,-0.54003024,-1.0889494,-0.07347417,5
126,-0.39871395,-1.1051667,-0.5426986,6
127,0.72802377,0.043032765,-1.205131,7
128,-0.69746846,-3.9926934,1.1008577,8
129,0.1364187,0.4122916,-0.9872916,9
130,-0.7400089,-0.049458385,-0.67864144,10
131,0.5570847,-0.8521986,0.17058131,11
132,-0.6232377,-2.795506,1.3780919,12
133,0.95646036,-0.23049751,0.2813936,13
134,-0.6329621,-0.5129495,-0.675333,14
