,policy rate,reward rate,dec temp,subject
0,0.81252414,0.51286453,3.3767822,0
1,0.08141667,0.0020163946,1.4787219,1
2,0.49502718,0.11637822,7.6652737,2
3,0.3698656,0.27666262,3.8563063,3
4,0.7225803,0.67576396,4.1176677,4
5,0.48227754,0.16078414,2.2020173,5
6,0.41799316,0.26765007,4.0705004,6
7,0.8237038,0.6317213,3.9714193,7
8,0.1437333,0.033170387,4.296035,8
9,0.4302891,0.7761658,3.3926067,9
10,0.039587993,0.018009622,3.368701,10
11,0.12023211,0.23098664,6.288891,11
12,0.24898304,0.09408386,7.283979,12
13,0.62145716,0.3768129,3.788471,13
14,0.27933568,0.35464314,3.9277391,14
15,0.13597934,0.1115523,5.811593,15
16,0.797559,0.8202433,2.4463408,16
17,0.118767075,0.08699442,3.2658958,17
18,0.07235507,0.092584126,2.4489055,18
19,0.39052513,0.35489684,1.7263615,19
20,0.659469,0.67564046,3.0787673,20
21,0.18889281,0.050733157,4.094954,21
22,0.066400334,0.009224942,5.5512547,22
23,0.0434063,0.064053,6.5657043,23
24,0.7134491,0.7556793,4.1150866,0
25,0.113446176,0.10611037,1.3987789,1
26,0.38906518,0.12631835,8.415387,2
27,0.30646968,0.5933223,3.8632226,3
28,0.604894,0.69971865,3.7801168,4
29,0.6386768,0.17221943,2.5620837,5
30,0.3823101,0.2579072,4.0057793,6
31,0.79143065,0.4293505,3.2633064,7
32,0.07734828,0.07481373,5.252359,8
33,0.3559532,0.74426174,4.179347,9
34,0.026131362,0.05432077,4.585737,10
35,0.1306206,0.22496909,4.7475147,11
36,0.29163426,0.11309745,7.27573,12
37,0.5470453,0.36569095,3.6841216,13
38,0.20744024,0.84070665,3.3031926,14
39,0.08685015,0.10712096,4.767179,15
40,0.82769394,0.79686224,2.2552538,16
41,0.23421754,0.14625536,3.9439929,17
42,0.116272464,0.06949754,3.210205,18
43,0.16276465,0.20164873,1.6100364,19
44,0.6690318,0.6674765,3.2538142,20
45,0.2174391,0.05185719,3.9964752,21
46,0.037673187,0.057041384,3.5485682,22
47,0.033867486,0.024097241,8.226743,23
48,0.7982836,0.66152334,4.5303736,0
49,0.087651715,0.021098161,1.4002593,1
50,0.29128817,0.08659454,7.5002666,2
51,0.66573703,0.6277598,3.4739943,3
52,0.58845866,0.7324633,4.52917,4
53,0.35992625,0.2047846,2.9683237,5
54,0.39625916,0.14264932,2.5289247,6
55,0.3833545,0.49100417,2.7065268,7
56,0.105551444,0.022512106,5.98555,8
57,0.3004353,0.5359418,3.570788,9
58,0.04150558,0.03447074,4.177805,10
59,0.135652,0.18437268,6.7229576,11
60,0.19567376,0.098836325,6.3266807,12
61,0.51111555,0.2568789,3.0088062,13
62,0.22774638,0.67513525,3.4461486,14
63,0.14798239,0.06602025,5.9838963,15
64,0.65601516,0.7704355,2.3660367,16
65,0.2383915,0.10563625,4.0205164,17
66,0.08775108,0.060157865,4.0277286,18
67,0.081405684,0.05021291,1.2033372,19
68,0.5776697,0.5670595,3.434769,20
69,0.28210437,0.054046772,4.600949,21
70,0.0486859,0.005610547,8.523699,22
71,0.024966283,0.03772399,7.617096,23
72,0.8924281,0.6165907,3.4179482,0
73,0.095351934,0.015004441,2.186609,1
74,0.51961523,0.10661996,6.973627,2
75,0.6807263,0.50773954,4.179531,3
76,0.44909745,0.78431076,4.110426,4
77,0.5567833,0.19158266,2.8026361,5
78,0.4565354,0.2563714,3.4540453,6
79,0.39799818,0.64354,3.6607037,7
80,0.06723268,0.020083614,6.3916497,8
81,0.30377933,0.74611783,3.989007,9
82,0.053169947,0.038825184,2.5373425,10
83,0.116636515,0.22740991,6.8793397,11
84,0.18023254,0.084462285,7.394104,12
85,0.6453319,0.29972547,2.9924943,13
86,0.29052106,0.7495675,3.4041443,14
87,0.12540908,0.077848576,5.1928205,15
88,0.8288049,0.52492404,2.3915896,16
89,0.2954688,0.0762214,3.311245,17
90,0.06701525,0.07453834,4.0836215,18
91,0.29940903,0.13581008,1.7025383,19
92,0.9029211,0.5923076,2.5435724,20
93,0.20934413,0.05004539,3.902082,21
94,0.07633979,9.1259346e-05,9.693595,22
95,0.022320936,0.011921952,7.6088724,23
96,0.6854404,0.5886482,3.88159,0
97,0.09214796,0.029322421,1.7431722,1
98,0.4184164,0.08743072,7.857521,2
99,0.27876195,0.61928326,4.065504,3
100,0.6108216,0.75482917,5.1034384,4
101,0.6206235,0.12453704,2.2901044,5
102,0.49742022,0.22099972,3.5323238,6
103,0.8631699,0.46190435,2.2691677,7
104,0.11224339,0.023279019,5.7855377,8
105,0.40941897,0.76194537,3.1869369,9
106,0.0776613,0.034499414,3.9472308,10
107,0.14418595,0.21942438,5.1228185,11
108,0.1514547,0.09330605,5.8061504,12
109,0.6040254,0.30527055,4.371582,13
110,0.16462332,0.41575208,3.1309075,14
111,0.09855797,0.10265147,4.5959406,15
112,0.6514945,0.515585,1.29646,16
113,0.19304061,0.09518782,3.201866,17
114,0.096816316,0.07394139,2.2584198,18
115,0.2750847,0.26249865,2.2609234,19
116,0.8539827,0.5084314,3.2494307,20
117,0.21890683,0.04816318,3.6880863,21
118,0.016465634,0.42348936,1.1005917,22
119,0.044908963,0.037640706,5.579715,23
120,0.5956555,0.5264236,3.9519463,0
121,0.1085257,0.01691125,1.2310679,1
122,0.35969755,0.1481323,8.540085,2
123,0.18151906,0.43786585,2.7040052,3
124,0.78039765,0.62184507,4.8015833,4
125,0.5552623,0.09293041,2.9336486,5
126,0.4019634,0.24376851,3.9077606,6
127,0.80372584,0.49471632,3.0434847,7
128,0.11514737,0.042793754,5.886316,8
129,0.31253254,0.53938466,3.877119,9
130,0.06708804,0.0339158,2.9337313,10
131,0.14475007,0.19162038,6.5304,11
132,0.2174017,0.1147595,8.698536,12
133,0.54654884,0.27608407,4.792694,13
134,0.24239717,0.8194762,4.523526,14
135,0.09821396,0.116023354,4.076441,15
136,0.54576373,0.58463633,1.935461,16
137,0.16853337,0.107663915,2.858168,17
138,0.060728833,0.13174191,3.0670702,18
139,0.5087694,0.2853711,1.2996434,19
140,0.8876363,0.6354871,2.4342778,20
141,0.14622658,0.050399154,3.5660057,21
142,0.04267153,0.062088374,4.4352956,22
