,locs0,locs1,locs2,locs3,subject
0,2.0579395,0.99942684,-0.20982406,2.624474,0
1,-2.6852114,-2.8558326,-1.586079,1.3111796,1
2,-0.88214755,-2.3098981,0.8660115,2.0084696,2
3,-0.74595994,-0.7573824,-0.87657297,1.7665418,3
4,0.53345394,0.028807402,-0.5049159,2.5280743,4
5,-0.08658423,-1.7148526,-1.2409184,2.189833,5
6,-0.49300778,-1.8836246,-0.6824316,2.093983,6
7,1.3472133,-0.48143598,-1.0687108,1.3180976,7
8,-2.6569872,-3.1903224,0.4723788,1.7833376,8
9,-0.48881155,0.124497175,-0.11581281,1.2682171,9
10,-3.3868747,-3.378809,-0.66786724,2.5033529,10
11,-1.8672495,-1.2149427,0.44843876,2.2045028,11
12,-1.5607686,-2.1790469,0.02515161,1.964846,12
13,0.17802958,-0.48786718,-0.23837914,2.6610122,13
14,-1.4889973,0.77545714,-0.6366547,1.9693558,14
15,-2.125686,-2.2158415,0.3286449,2.2606394,15
16,1.0801699,0.14509448,-1.1577524,2.6960716,16
17,-1.4741488,-2.8214447,-0.6159715,2.8292184,17
18,-2.764429,-2.3248296,-1.2832168,2.0086799,18
19,-0.9017583,-1.7268382,-1.1287599,1.3860639,19
20,0.65872324,2.0014985,-1.1843437,1.1907136,20
21,-1.7293484,-2.880794,-0.2504222,2.2481515,21
22,-2.7035952,-2.7140355,-0.62338567,2.0424392,22
23,-3.4854114,-3.5106924,0.78702617,2.3560593,23
24,1.7340016,-0.17440432,-0.20904529,2.4723947,0
25,-2.6341124,-1.9074299,-1.618916,2.7153056,1
26,-0.7308979,-1.9589363,1.3226982,1.7643958,2
27,-0.65421546,-0.29811865,-0.8401086,2.5053473,3
28,0.4960065,0.04990846,-0.015267342,1.5381396,4
29,-0.31799093,-1.5021181,-1.1350775,1.9426447,5
30,-0.63111955,-1.4724889,-0.38166955,2.266106,6
31,-0.017833352,0.20653337,-0.14517891,1.5968237,7
32,-1.7944326,-3.371244,0.47392493,2.332835,8
33,0.34376788,1.204865,-0.51849467,2.9908066,9
34,-2.7801013,-3.6048436,-0.23706946,3.2984815,10
35,-2.1096935,-1.2558706,0.26724625,2.1955087,11
36,-1.7097188,-1.8046806,1.4578805,1.9682426,12
37,-0.2641164,-0.945118,-0.39323637,2.4691567,13
38,-1.4078512,-0.6589984,-0.51505125,2.807587,14
39,-1.7884966,-2.2073815,0.36139983,1.922902,15
40,-0.07242072,1.1722854,-1.0751938,3.0211704,16
41,-0.7400433,-1.7951918,-0.7653724,1.9494698,17
42,-2.321986,-1.9082718,-0.6899936,2.322999,18
43,-0.75848067,-1.7382445,-2.0236847,2.0669224,19
44,1.2139142,-0.16482049,-1.283263,0.36028862,20
45,-1.933601,-3.168052,-0.13729376,2.407981,21
46,-2.4840074,-3.3732235,-0.3523276,2.9324632,22
47,-3.3101442,-3.8523986,1.5069396,2.321745,23
48,1.3952999,0.36896893,-0.41599685,1.7665031,0
49,-2.5553837,-2.3674536,-1.6772919,2.2914119,1
50,0.5015682,-2.2415345,1.249721,2.1806555,2
51,-0.5938016,-0.44499117,-0.74461067,1.5799599,3
52,0.65705514,1.559334,0.051490158,1.1557947,4
53,0.47298944,-1.8750423,-1.6519734,2.5506358,5
54,-0.52332723,-1.1867789,-0.5852372,1.6170164,6
55,-0.6346187,-0.2551273,-0.8823038,2.6012971,7
56,-1.8495035,-2.2946932,0.08290246,2.3887672,8
57,-0.027745306,1.0323495,-0.34802654,2.746997,9
58,-3.2525728,-3.8800972,-0.8904753,1.2490292,10
59,-1.959251,-1.2156146,0.72391164,1.8743045,11
60,-1.3189874,-2.2790127,1.3330235,2.6518517,12
61,0.005416006,-0.31867132,-0.3543982,1.1432778,13
62,-1.3464915,0.6891936,-0.8264382,2.529934,14
63,-1.6345037,-2.1109667,0.59924835,1.9787252,15
64,-0.38055587,-0.35938972,-1.4522446,2.4768686,16
65,-1.1069347,-1.6775897,-0.7464008,2.2713308,17
66,-2.3965416,-2.4902718,-0.98437345,2.6859462,18
67,-1.5358181,-0.6706555,-1.9991927,1.9582739,19
68,1.7730145,-0.021040618,-0.71244437,0.921628,20
69,-1.2946274,-2.3829803,0.29141682,2.3654375,21
70,-2.113593,-5.153002,1.1450862,2.8631008,22
71,-3.2214286,-3.9053504,1.8658044,1.885911,23
72,0.06913388,-0.4065945,-0.6123323,2.0418715,0
73,-2.1232338,-6.9742,-1.1579982,1.6610509,1
74,-0.6599921,-1.7667117,1.9742872,2.5668588,2
75,0.21506292,-0.39057735,-0.6168653,2.2296596,3
76,-0.1099194,-0.13876224,-0.5830314,1.3035133,4
77,-0.06283315,-2.290888,-1.408862,1.6168836,5
78,-0.43565947,-1.5337331,-0.9774769,1.7465794,6
79,0.45570186,0.08154992,-0.6732152,2.2099211,7
80,-2.6913831,-1.5067046,0.09796116,1.8544852,8
81,-0.32055894,0.71022,-0.65665674,2.0677202,9
82,-3.2957096,-3.6849067,-0.4791737,2.2857544,10
83,-1.6402282,-1.0887833,0.4088029,3.2242715,11
84,-1.3704262,-2.0590534,0.500584,1.263519,12
85,0.16396514,-0.69617426,-0.7008078,1.9695771,13
86,-1.302646,0.27197078,-0.8899876,1.4071596,14
87,-1.9468353,-2.6031942,1.2020863,1.6658038,15
88,-0.37916172,0.35451272,-0.9353324,1.8057785,16
89,-1.5549121,-2.6658914,-0.60980535,2.807192,17
90,-2.4415236,-3.1343749,-0.050356507,1.204906,18
91,-1.8765569,-2.339824,-1.9755447,2.1111732,19
92,1.9816914,0.89156866,-1.082895,1.6795855,20
93,-1.5040108,-2.6916275,0.18999135,2.500995,21
94,-2.878373,-2.1203837,0.03347811,1.3379123,22
95,-3.8875322,-3.3082333,1.2904406,1.8652086,23
96,0.34802076,0.28743914,-0.7002804,1.1275026,0
97,-2.6640766,-1.7742746,-1.8703083,1.6437929,1
98,0.56520355,-2.4615912,1.5047029,1.4301357,2
99,-1.2840683,-0.5885258,-0.87297183,1.0916843,3
100,0.016383797,0.26082107,-0.83766115,2.0466256,4
101,0.7986184,-1.96512,-1.4679124,2.1695316,5
102,-0.8533269,-1.9008129,-0.90783644,2.3937469,6
103,0.8426198,-0.19231409,-0.93005896,1.6635227,7
104,-1.9256248,-2.8915367,0.56781554,2.6587195,8
105,-0.035556316,0.46007994,-0.33734572,2.8665059,9
106,-2.8593545,-2.283165,-1.177731,2.4825323,10
107,-1.9168447,-1.3796706,0.29330724,2.7922578,11
108,-1.1795213,-2.2372139,0.6102184,2.0682592,12
109,0.13836978,-0.67253715,-0.5027839,1.6367432,13
110,-1.4387051,0.93417895,-0.696523,2.3017673,14
111,-1.7093683,-2.6112335,0.5276981,2.4403815,15
112,1.1936598,0.3288356,-1.688166,2.1121833,16
113,-1.1432755,-2.4373467,-0.44717008,2.0760212,17
114,-2.2029095,-2.8212688,-1.0351313,2.1416655,18
115,-0.7112646,-2.513278,-1.6598388,0.14615679,19
116,0.7127738,-0.0008994341,-1.3604424,2.2909925,20
117,-0.88993645,-2.1702573,0.08512837,1.9617199,21
118,-2.2290864,-4.8446555,0.8791348,1.7730768,22
119,-4.39157,-3.6650915,0.93232584,1.009465,23
120,0.9468396,0.64490455,-0.5949061,1.1316607,0
121,-2.3931482,-3.743265,-1.5290269,2.5414722,1
122,0.12944141,-2.4676514,0.4632753,2.7770674,2
123,-1.0946155,-0.012328563,-0.45700923,1.8874465,3
124,0.27655795,0.39311877,0.030539036,2.1286058,4
125,0.18903494,-1.8819072,-1.0594242,1.6432774,5
126,-0.6771082,-1.5632774,-0.68044055,2.4928625,6
127,1.2257934,0.1588462,-1.0229404,0.9700929,7
128,-1.6447263,-2.9422417,0.36028257,2.5650213,8
129,-0.84683335,0.54096293,-0.77036786,2.8584592,9
130,-3.51635,-3.1002514,-0.91149396,1.6865091,10
131,-1.2867458,-1.5222125,0.10372314,2.3686373,11
132,-1.350329,-2.2442582,0.6363269,2.6182148,12
133,-0.3796448,-0.5994662,0.14661437,2.6250877,13
134,-1.1749053,1.3494858,-0.68213534,1.4406474,14
135,-1.7293423,-1.8833177,0.5195178,2.6627223,15
136,0.14237404,-0.09362894,-1.5556815,2.8671818,16
137,-1.1537669,-2.9733477,-0.56659997,2.7129135,17
138,-3.3232517,-2.1075122,-0.09488684,2.1250744,18
139,-0.55486315,-3.6726413,-1.9219763,0.5830599,19
140,0.9278216,0.73787427,-0.89548993,2.8764572,20
141,-1.4518726,-2.5880845,0.4181794,1.7113743,21
142,-4.037759,-2.2706623,-0.9123436,1.8349477,22
143,-3.6970043,-3.7199216,1.720681,1.6007247,23
144,1.2565571,0.261794,-0.48633263,2.662914,0
145,-2.084109,-3.267664,-2.0572402,2.3239636,1
146,1.0000415,-1.9956189,2.075938,2.5122418,2
147,-0.47072607,-0.5198079,-0.50632167,0.3811649,3
148,0.54722816,0.5423214,-0.25187007,1.8054241,4
149,0.5235237,-2.612019,-1.6728776,1.7810073,5
150,-0.9368162,-1.6106874,-0.64722425,2.8293467,6
151,0.20734398,-0.53976005,-1.0283849,2.9017162,7
152,-2.3348975,-3.31497,0.40778786,1.899389,8
153,-0.50182605,1.2432401,-0.9643612,2.7967281,9
154,-3.3179383,-3.8282318,-0.4042722,1.819555,10
155,-1.4163555,-1.3681993,0.06971255,2.6141746,11
156,-1.6935425,-2.5160167,0.62329966,2.0995839,12
157,0.72780883,-0.7139552,-0.4522419,2.2574425,13
158,-0.66787773,2.5093603,-0.9368782,1.8044859,14
159,-2.3059273,-1.8709157,-0.5199145,1.9714043,15
160,-0.029898405,0.42138225,-1.0903033,3.1791663,16
161,-1.6752241,-2.765513,-0.3741371,1.4703562,17
162,-2.2186325,-1.8920304,-1.2737693,1.3309819,18
163,-1.6636535,-1.9758677,-1.7102385,0.9279911,19
164,1.3494557,1.0370076,-0.73175746,2.5947938,20
165,-1.3082211,-2.4300597,-0.3457983,2.358534,21
166,-3.0970168,-5.8070326,1.1254976,2.5920668,22
167,-4.4917865,-3.7101214,1.9142903,1.2959983,23
168,0.117020965,0.5368813,-0.6725272,1.9075563,0
169,-2.105667,-1.038521,-2.2693465,1.1587971,1
170,-0.3221328,-2.3753371,0.9201795,1.4411483,2
171,-0.6290809,0.07054525,-0.5036904,2.432799,3
172,0.43055114,0.623012,-0.016448095,1.101958,4
173,0.941727,-1.4507201,-1.2202957,2.330179,5
174,-0.71786976,-1.5598657,-0.6629871,1.6063895,6
175,1.2635036,-0.21866477,-0.9886197,1.8225917,7
176,-2.2264812,-3.490417,0.303207,2.052104,8
177,-0.7452224,0.39962932,-0.19029829,1.7335255,9
178,-2.546643,-2.0551796,-0.7133412,2.4579408,10
179,-1.8320701,-1.2064675,0.59410584,1.9118297,11
180,-1.6070943,-2.395936,0.91905653,1.7827398,12
181,0.9324882,-0.99379444,-0.114801794,2.1525428,13
182,-0.93257105,0.977038,-0.86807495,1.7261312,14
183,-1.9857519,-2.6189842,-0.23098077,1.9694514,15
184,2.1528242,0.74759436,-1.6921437,0.89473665,16
185,-0.83511204,-2.4786916,-0.32836363,2.4326124,17
186,-2.4889195,-1.5816182,-0.41547605,2.889087,18
187,-1.1128361,-2.2164245,-1.6383626,3.3257425,19
188,-0.59722364,1.1356022,-0.44243464,3.090119,20
189,-1.3387814,-2.585519,0.07029815,2.2437325,21
190,-3.5283713,-0.6264603,-1.9140478,2.3434353,22
191,-2.2545733,-3.2541072,0.94364476,2.6485808,23
192,0.7376555,-0.0802595,-0.4954154,2.6518025,0
193,-2.4905102,-0.9031062,-2.1649706,2.1877205,1
194,-0.55139655,-2.048945,1.491305,1.824477,2
195,-1.735075,-0.42214978,-1.0020554,1.670945,3
196,0.4941503,1.0709022,0.70612144,1.9313093,4
197,1.0137124,-1.6292324,-1.0705515,2.7097485,5
198,-0.7932092,-1.3188909,-0.71199703,3.0187976,6
199,0.2605445,-0.17714342,-1.0625124,1.5989618,7
200,-2.2029705,-2.681564,0.55688363,2.662437,8
201,0.053628147,1.405839,-0.23791832,2.524041,9
202,-3.0470111,-3.3383462,-0.59183854,2.323324,10
203,-1.8016826,-1.2956076,0.09017493,2.8410363,11
204,-1.2715025,-2.5416315,1.339766,1.9949892,12
205,-0.4821282,-0.44965884,-0.18391718,1.5620484,13
206,-1.4878266,-0.06894368,-0.76955974,2.475568,14
207,-1.8378246,-2.3573399,-0.059083417,1.747422,15
208,0.6908789,0.6772989,-1.5226297,2.5054038,16
209,-1.3476125,-2.7131233,-0.34654915,1.8659453,17
210,-2.5319545,-2.1500976,-0.33322564,2.1724267,18
211,0.11354554,-1.3359766,-2.0740743,1.6642232,19
212,0.63872075,0.7177622,-0.4612687,3.1386158,20
213,-1.1598394,-3.3177824,-0.30109483,2.8425584,21
214,-2.9101272,-4.4500575,1.1435018,2.1097925,22
215,-3.771615,-4.1710353,1.3278859,1.4511755,23
216,1.6180948,-0.171696,-0.7153274,2.06568,0
217,-2.5418983,-2.757177,-1.6168103,2.1930509,1
218,-0.045827,-2.2026188,1.3108671,1.0195098,2
219,0.35082304,-0.4937047,-0.5994514,2.4450018,3
220,0.70773375,0.64308405,-0.5186721,0.22602642,4
221,-0.62358624,-1.5315535,-1.2252294,3.0243537,5
222,-0.21749592,-1.1097078,-0.1867334,1.0600883,6
223,0.9724507,-0.4758684,-0.49421242,2.6813064,7
224,-2.3114903,-2.4073658,0.43994507,2.7821946,8
225,-0.4001885,0.6830795,-0.74031246,2.3657486,9
226,-3.9558113,-3.6401868,-0.3413736,0.6936029,10
227,-1.7537525,-1.27829,0.71453214,1.4267192,11
228,-1.4869477,-2.2738094,2.151635,1.9428962,12
229,0.28512645,-0.18080729,-0.41663367,1.7242478,13
230,-1.1882936,0.053849578,-1.0810503,2.150504,14
231,-2.3437295,-2.021192,0.46639818,2.36565,15
232,0.9142085,0.47217438,-1.0561144,2.5052638,16
233,-1.9322861,-2.3654745,-0.8968315,2.243659,17
234,-2.5905519,-2.9163868,-0.79785895,1.7054269,18
235,-1.1409274,-3.071991,-1.577808,1.7005311,19
236,0.9377079,1.697701,-0.247922,3.1343966,20
237,-1.775435,-2.4973447,-0.3570262,2.2052221,21
238,-3.1543937,-1.634612,-1.4750307,2.1260097,22
239,-3.7227676,-3.9607825,1.7940516,3.0054283,23
240,0.7269708,0.08105034,-0.847605,2.04131,0
241,-2.737718,-1.9242913,-1.5871109,1.7131817,1
242,-0.42491716,-1.8190666,1.3002574,1.494397,2
243,0.12967843,0.57388085,-0.3430854,3.2264478,3
244,-0.021748513,1.0324227,-0.22294238,1.9256667,4
245,-0.04758679,-1.7840595,-1.1344385,0.8982885,5
246,-0.18539587,-1.3837132,-1.032759,2.3885028,6
247,0.8875931,0.12663022,-0.99989945,3.2661848,7
248,-2.5418582,-2.781336,0.5819342,2.4190078,8
249,-0.7334266,1.5176367,-0.33269337,3.0786152,9
250,-3.5642018,-3.2841287,-0.6479149,1.8819212,10
251,-2.0218964,-1.2082216,0.54713416,2.2470725,11
252,-1.224215,-2.2832158,1.1461849,2.759629,12
253,-0.029852152,-0.6161938,-0.145946,2.8289657,13
254,-1.8484459,-0.21240908,-0.47676122,1.7283669,14
255,-2.510243,-2.2435832,0.29247984,2.0577295,15
256,0.6318477,1.4676356,-0.73863804,1.9043164,16
257,-1.1951094,-2.3062575,-0.40692315,2.834053,17
258,-2.4028676,-2.3320928,-0.46190432,2.4953406,18
259,-0.28346145,-2.237574,-1.7416807,1.9865137,19
260,0.7914153,0.33059442,-0.71852016,0.32023323,20
261,-1.0882704,-2.4802902,-0.2140556,2.5341191,21
262,-3.7684186,-1.1250447,-0.16590872,1.9093702,22
263,-3.2814221,-3.2301624,0.8376882,1.5149767,23
264,-0.083142936,0.1342089,-0.6826017,2.7748952,0
265,-2.2596037,-3.9641328,-2.2519615,2.5306296,1
266,0.18421239,-1.8512801,1.5546705,2.0153239,2
267,0.5239449,0.017775105,-0.6238686,1.2372112,3
268,-0.20652762,0.040731788,-0.3880084,1.6670372,4
269,-0.5271975,-2.5346498,-1.903316,2.7907941,5
270,-0.8749758,-1.8906724,-0.5361799,2.0402768,6
271,0.7767228,0.24787813,-0.7663357,1.5474062,7
272,-2.1016402,-3.353218,0.39729625,1.1613,8
273,-0.519758,0.760565,-0.7007731,2.3224254,9
274,-3.4792216,-3.9167056,-0.6572859,2.203457,10
275,-1.8897159,-1.1714311,0.0721423,2.375481,11
276,-1.4377784,-1.8991578,1.6924711,2.7851982,12
277,0.84498423,-0.85964656,-0.93911517,1.816534,13
278,-1.2559347,0.81131333,-0.87920064,0.93990695,14
279,-2.7077668,-2.212827,0.2856337,2.834934,15
280,0.8113836,-0.12966627,-1.6378024,1.1487458,16
281,-1.7574806,-2.5700183,-0.8348757,2.546535,17
282,-2.2628136,-1.970319,-0.32722777,2.1712034,18
283,-0.9614985,-1.632465,-1.1369263,1.0983894,19
284,1.0363646,0.5076381,-1.2291175,2.1521306,20
285,-1.1313806,-2.6810484,0.04357086,2.1988873,21
286,-3.423412,-1.8008581,-0.83289003,2.5011082,22
287,-2.3554633,-4.5957794,1.0159459,2.4434333,23
288,0.053725123,0.58040977,-0.9767306,1.6983438,0
289,-2.7869773,-4.209612,-1.089798,2.1990342,1
290,0.32978785,-2.5171435,1.102425,2.1827703,2
291,-1.4014099,-0.4050738,-0.064555466,-0.01842618,3
292,1.0787176,0.638015,-0.1806606,1.4092296,4
293,1.2232652,-2.372231,-1.5413114,1.4329242,5
294,-1.463384,-1.0686954,-0.77554387,1.2570788,6
295,0.31517997,-0.32637295,-1.0302632,2.5711894,7
296,-2.6529245,-2.619061,-0.23184103,2.106472,8
297,-0.5917884,0.31485736,-1.1509213,2.8498368,9
298,-3.0901663,-3.8588455,-0.49297184,2.760621,10
299,-1.8952023,-1.48948,0.6924113,1.759181,11
300,-2.0044405,-1.7872959,1.3390942,1.6554384,12
301,0.30868042,-0.8334553,-0.5682548,1.511844,13
302,-0.5825804,1.9615738,-0.4921499,2.3224225,14
303,-2.0967112,-1.9423171,0.18681557,3.1153536,15
304,0.109907866,0.3100781,-1.3863239,2.3543272,16
305,-1.6758103,-1.6485469,-1.0539516,2.3728344,17
306,-2.512731,-2.265064,-1.118305,1.9869032,18
307,-1.6664999,-2.0202718,-1.2700188,1.8849518,19
308,0.75290525,0.9878222,-0.85288,2.2774794,20
309,-1.4534026,-2.5488381,-0.28146765,1.6674347,21
310,-4.1491337,1.3889759,-3.371664,1.469409,22
311,-3.0774646,-4.025766,0.99645364,3.451291,23
312,0.22086221,0.49785137,-0.76194245,3.5461836,0
313,-2.2280896,-3.264041,-1.5579721,2.8649483,1
314,-1.1646509,-2.1499016,1.2810826,1.4093236,2
315,0.33284748,-0.14569306,-0.32373753,2.05671,3
316,0.9662533,0.121011555,-0.36811996,2.4706812,4
317,0.1701325,-2.4500713,-0.8738408,1.8235526,5
318,-0.99055856,-1.0325536,-0.60004914,2.2037888,6
319,-0.44859058,-0.01660807,-0.49234745,2.3869379,7
