,policy rate,reward rate,dec temp,habitual tendency,subject
0,0.88674736,0.7309458,4.477356,0.9324202,0
1,0.063851655,0.054380607,1.6993628,0.7877105,1
2,0.29273295,0.09030651,7.0391507,0.88168347,2
3,0.32170224,0.31921485,2.9388845,0.85402715,3
4,0.6302883,0.5072013,3.7638614,0.92608666,4
5,0.47836748,0.15253538,2.2427616,0.89933276,5
6,0.37918526,0.1319731,3.3571882,0.89031696,6
7,0.79367363,0.3819131,2.5564833,0.78886503,7
8,0.06555966,0.039531536,6.1594667,0.8561085,8
9,0.3801736,0.5310842,4.7107916,0.7804374,9
10,0.03270819,0.03296434,3.3897457,0.92437655,10
11,0.1338603,0.22882767,6.10268,0.9006532,11
12,0.17353639,0.101647936,5.0628757,0.8770564,12
13,0.5443902,0.38039613,4.406858,0.9346864,13
14,0.18407227,0.6847002,3.4600315,0.8775419,14
15,0.10662524,0.09833691,5.8142967,0.9055643,15
16,0.7465261,0.5362101,2.3907592,0.9367944,16
17,0.18631284,0.05617628,3.5069823,0.94423443,17
18,0.05927691,0.08908736,2.1700313,0.8817054,18
19,0.28868932,0.15099245,2.4439003,0.7999632,19
20,0.6589735,0.88095427,2.342721,0.7668687,20
21,0.15067095,0.053111188,4.3771954,0.90449095,21
22,0.062761545,0.06215021,3.490118,0.8851815,22
23,0.029730182,0.029009527,6.8719244,0.9134146,23
24,0.84992355,0.45650908,4.4792814,0.9221838,0
25,0.06697501,0.12926987,1.6535442,0.9379237,1
26,0.32499772,0.12358221,7.896303,0.85375935,2
27,0.34204024,0.4260175,3.015119,0.9245158,3
28,0.62152034,0.51247454,4.9618325,0.8231941,4
29,0.42116544,0.18210983,2.432253,0.87464243,5
30,0.34725672,0.18656461,4.0572433,0.9060308,6
31,0.49554175,0.5514506,4.637689,0.83157396,7
32,0.14253013,0.03320635,6.1631227,0.9115602,8
33,0.5851055,0.7693891,3.7320426,0.95215714,9
34,0.058408987,0.026471881,4.4100866,0.9643766,10
35,0.10815822,0.22168556,5.6641674,0.8998455,11
36,0.1532002,0.14128226,8.112083,0.8774223,12
37,0.43435204,0.27986768,4.0293846,0.9219511,13
38,0.1965732,0.34096462,3.7401013,0.9430845,14
39,0.14325714,0.099089585,5.8937926,0.87246174,15
40,0.48190272,0.7635579,2.5441666,0.9535215,16
41,0.32299468,0.14243738,3.1748102,0.87538886,17
42,0.08931839,0.12917514,3.3403447,0.910764,18
43,0.31897622,0.14953604,1.1673852,0.8876464,19
44,0.7709908,0.45888788,2.1699529,0.5891103,20
45,0.12635253,0.040385842,4.657304,0.91743386,21
46,0.07698696,0.033142857,4.1281815,0.9494281,22
47,0.035224818,0.020787463,8.186072,0.91066206,23
48,0.80143696,0.5912098,3.9747505,0.85402226,0
49,0.07206564,0.08568843,1.574544,0.9081633,1
50,0.62282777,0.096082196,7.7725153,0.89849883,2
51,0.35576305,0.39055234,3.2199671,0.82919884,3
52,0.65859854,0.8262577,5.1286974,0.7605678,4
53,0.6160911,0.13295935,1.6084242,0.92761624,5
54,0.37207454,0.23383552,3.5772839,0.83438325,6
55,0.346464,0.43656188,2.9270062,0.93094504,7
56,0.1359312,0.09156342,5.2071376,0.9159667,8
57,0.4930641,0.7373711,4.138611,0.9397436,9
58,0.03723455,0.02023107,2.9101179,0.77713174,10
59,0.123548135,0.22870913,6.7346783,0.8669555,11
60,0.21098682,0.0928761,7.9134035,0.934125,12
61,0.501354,0.4209996,4.1231627,0.75828093,13
62,0.20644458,0.66578746,3.0439873,0.92621386,14
63,0.16321433,0.108035475,6.4548426,0.8785452,15
64,0.40599284,0.41110727,1.8965635,0.92250425,16
65,0.24844281,0.1574149,3.2160606,0.90647465,17
66,0.083436795,0.07654298,2.7202487,0.9361922,18
67,0.17714404,0.3383501,1.1928772,0.87634605,19
68,0.8548321,0.49474,3.2905898,0.7153737,20
69,0.21507059,0.08447977,5.723429,0.9141535,21
70,0.10778265,0.0057487823,7.586122,0.94599193,22
71,0.03836724,0.019736523,8.65972,0.8682886,23
72,0.5172766,0.39972895,3.5152733,0.8851237,0
73,0.10685905,0.0009348401,2.3903122,0.840379,1
74,0.3407414,0.14595173,8.780709,0.92869794,2
75,0.5535595,0.40357834,3.5049474,0.9028815,3
76,0.4725478,0.465365,3.5823536,0.7864257,4
77,0.4842969,0.091880426,1.9641362,0.8343649,5
78,0.39277568,0.17744814,2.733927,0.8515209,6
79,0.611994,0.5203762,3.3777726,0.90113693,7
80,0.06348374,0.18142769,5.244707,0.8646529,8
81,0.42053953,0.6704498,3.41491,0.88772595,9
82,0.03571867,0.024484955,3.824473,0.90769035,10
83,0.16243403,0.25184748,6.008008,0.96173745,11
84,0.202551,0.11314077,6.2259655,0.77963126,12
85,0.5408997,0.332661,3.3163314,0.8775657,13
86,0.21372001,0.56757665,2.911124,0.80331755,14
87,0.12489884,0.06893313,7.688957,0.8410156,15
88,0.4063291,0.58771145,2.8184414,0.8588509,16
89,0.17437795,0.06501628,3.5210361,0.94306326,17
90,0.08006063,0.041711386,4.874135,0.76939636,18
91,0.13278486,0.087878026,1.2179457,0.89198446,19
92,0.87886137,0.7092138,2.5295856,0.8428497,20
93,0.18182808,0.06346921,5.4735546,0.92421156,21
94,0.053233083,0.107131355,5.0836873,0.79214644,22
95,0.020084219,0.035289817,7.842217,0.86590296,23
96,0.58613753,0.5713691,3.3175006,0.75537765,0
97,0.06512669,0.14501154,1.3350606,0.8380504,1
98,0.6376557,0.07859503,8.182749,0.8069225,2
99,0.21685849,0.35697317,2.946363,0.7486988,3
100,0.50409585,0.5648381,3.0202758,0.88560617,4
101,0.68967885,0.122914016,1.8726013,0.8974799,5
102,0.29873544,0.1300165,2.8744278,0.91634923,6
103,0.69901663,0.4520691,2.8291276,0.84071034,7
104,0.12723564,0.052573524,6.3825893,0.9345464,8
105,0.49111184,0.6130331,4.1645436,0.9461656,9
106,0.054199785,0.09252686,2.3546038,0.9229082,10
107,0.12821384,0.2010619,5.728056,0.9422561,11
108,0.23513828,0.0964581,6.4799066,0.88777965,12
109,0.5345374,0.33792895,3.7688665,0.83709127,13
110,0.19174595,0.71792233,3.3258357,0.9090233,14
111,0.15324566,0.06841894,6.28946,0.91985524,15
112,0.767395,0.58147603,1.5601718,0.8920817,16
113,0.24171948,0.0803688,3.9003382,0.8885506,17
114,0.099489525,0.05618561,2.620905,0.8948874,18
115,0.32931948,0.07493257,1.5978365,0.5364743,19
116,0.67101383,0.49977514,2.0416842,0.90812826,20
117,0.29112294,0.102453366,5.2126927,0.87671894,21
118,0.09716876,0.0078088697,7.066429,0.8548399,22
119,0.012229853,0.024962736,7.175469,0.73291546,23
120,0.72047913,0.6558613,3.5550997,0.75614524,0
121,0.08369668,0.023129055,1.7813611,0.9269985,1
122,0.53231525,0.07815728,6.1379094,0.94142395,2
123,0.25075015,0.49691787,3.8769557,0.8684641,3
124,0.56870216,0.59703326,5.0763416,0.8936526,4
125,0.5471185,0.13216996,2.5741954,0.8379804,5
126,0.33690703,0.17317687,3.3616295,0.92363995,6
127,0.7730815,0.53962827,2.6445506,0.725138,7
128,0.16182297,0.050104473,5.8910885,0.92857623,8
129,0.30009755,0.6320364,3.1639955,0.9457543,9
130,0.028850585,0.043096885,2.8669424,0.8437645,10
131,0.21640413,0.17913595,5.2590756,0.91440433,11
132,0.20581658,0.0958459,6.5392265,0.93202466,12
133,0.40621257,0.3544658,5.365881,0.9324589,13
134,0.23596947,0.7940455,3.357849,0.8085549,14
135,0.15067172,0.13200825,6.2703495,0.9347908,15
136,0.5355335,0.47660986,1.742672,0.94620013,16
137,0.23980173,0.048644565,3.620217,0.9377844,17
138,0.034782074,0.108368814,4.7629604,0.8933165,18
139,0.36473686,0.024779636,1.2764134,0.6417712,19
140,0.71663314,0.6765309,2.8997817,0.94667023,20
141,0.18971355,0.06990923,6.0304747,0.8470144,21
142,0.017331285,0.09358201,2.865205,0.8623501,22
143,0.024197657,0.02366239,8.482165,0.83211964,23
144,0.77843285,0.56507725,3.807579,0.9348025,0
145,0.11065095,0.03669732,1.1332284,0.9108423,1
146,0.73106676,0.119663686,8.885424,0.92499554,2
147,0.38444442,0.37289715,3.7605622,0.59415406,3
148,0.63349223,0.63235223,4.3736324,0.8588079,4
149,0.62797135,0.06836889,1.5804089,0.8558212,5
150,0.2815439,0.16649319,3.4361532,0.9442412,6
151,0.55165106,0.3682434,2.6339734,0.9479312,7
152,0.088273704,0.035061184,6.0055737,0.8698224,8
153,0.3771116,0.7761275,2.7600586,0.9424987,9
154,0.0349609,0.021285126,4.002863,0.8605128,10
155,0.19523355,0.20291093,5.1742105,0.93176824,11
156,0.15531054,0.07474295,6.509686,0.8908627,12
157,0.6743243,0.3287255,3.8882785,0.90529054,13
158,0.3389722,0.9247954,2.8153136,0.85869414,14
159,0.09063326,0.1334358,3.7287223,0.8777619,15
160,0.492526,0.60381395,2.5156116,0.96004266,16
161,0.15772891,0.059216492,4.0754175,0.8131115,17
162,0.098089725,0.13101314,2.186127,0.791003,18
163,0.15927218,0.12176003,1.5313278,0.71666753,19
164,0.7940406,0.73827225,3.248092,0.9305258,20
165,0.21278466,0.08090903,4.144017,0.9136102,21
166,0.043230474,0.002997327,7.5500703,0.9303493,22
167,0.011076552,0.02388986,8.715004,0.7851608,23
168,0.5292219,0.63108665,3.3793118,0.87074435,0
169,0.108547226,0.26143545,0.93693686,0.76111406,1
170,0.42015606,0.0850728,7.1507864,0.80863243,2
171,0.34771898,0.51762897,3.766738,0.9192945,3
172,0.60600525,0.6509032,4.9588804,0.7506268,4
173,0.7194483,0.18989077,2.2788444,0.9113458,5
174,0.32786223,0.17366593,3.4006894,0.8329095,6
175,0.7796287,0.4455506,2.711848,0.86087686,7
176,0.09739754,0.02958613,5.752263,0.88616,8
177,0.3218632,0.5985986,4.525685,0.84986275,9
178,0.07265233,0.11353006,3.2886097,0.9211402,10
179,0.13799185,0.23032667,6.4430666,0.8712245,11
180,0.16699243,0.08348312,7.1484985,0.8560348,12
181,0.71757984,0.27016327,4.7133102,0.8959062,13
182,0.28240338,0.72652006,2.9565501,0.8489169,14
183,0.12070701,0.06792658,4.4251018,0.87755215,15
184,0.89593244,0.67865425,1.5549414,0.70986664,16
185,0.30256525,0.07736555,4.186388,0.9192806,17
186,0.076638624,0.17056644,3.975998,0.9473043,18
187,0.24734253,0.09828523,1.6268797,0.9653015,19
188,0.35497916,0.7568713,3.91161,0.9564833,20
189,0.20771055,0.07007622,5.1756735,0.9041085,21
