,discount,learning rate,mf weight,mb weight,repetition,subject
0,0.14688428,0.8833279,4.090291,3.5456424,0.2065075,0
1,0.7453048,0.43357527,5.602744,4.727264,0.643817,1
2,0.27851704,0.4165238,1.0281807,3.0393844,0.04389768,2
3,0.20891131,0.6446665,2.2925973,2.438531,0.032523412,3
4,0.2672199,0.711999,3.2778215,3.521061,0.087737486,4
5,0.7685227,0.6596635,1.8140877,1.9259459,0.18383655,5
6,0.80267376,0.698626,2.9777656,2.9828997,0.091105215,6
7,0.16477205,0.85936725,4.559621,1.8882354,0.21498412,7
8,0.17531769,0.18433903,2.7283692,4.835903,0.20661722,8
9,0.5419523,0.7744693,2.9725242,1.9068464,0.38713434,9
10,0.71361035,0.26710424,2.2909553,0.97197306,0.32200512,10
11,0.3347743,0.6993185,4.671197,4.42594,0.6468506,11
12,0.36316046,0.2563057,0.6415377,3.2818003,0.16243091,12
13,0.6583009,0.85097474,4.7971883,3.4268088,0.20201735,13
14,0.26756,0.8123887,2.1282134,2.785976,0.24788967,14
15,0.32618484,0.20670879,1.9378803,1.1457506,0.16115679,15
16,0.33885154,0.80157423,1.3359523,2.7437854,0.30561125,16
17,0.4882217,0.4753347,3.9508548,4.7686768,0.7060202,17
18,0.5777585,0.28911614,3.0422072,4.3670845,0.46455246,18
19,0.42029628,0.38268122,0.43289334,1.1458234,0.28684852,19
20,0.72145975,0.7892189,2.5251482,2.1151996,0.10620183,20
21,0.6157708,0.29060534,2.2483542,3.8144908,0.63668495,21
22,0.5947681,0.17475855,4.4170494,3.3571439,0.35698017,22
23,0.6720564,0.20284757,4.23946,3.761861,0.7530931,23
24,0.2819839,0.69997287,1.0419898,3.1300974,0.40947348,0
25,0.74091494,0.25520188,3.8535657,3.1331985,0.3596646,1
26,0.18643725,0.4161906,2.2025464,1.9308196,0.25508282,2
27,0.27517468,0.82292914,1.5422547,3.0572968,0.32473534,3
28,0.24145572,0.46941838,1.4709975,1.0224893,0.14513208,4
29,0.46743912,0.79418194,3.161009,3.0963206,0.43511698,5
30,0.4887075,0.51816183,2.4059217,2.6138124,0.51587427,6
31,0.3220166,0.46872824,0.81917894,1.4878592,0.37624878,7
32,0.30663618,0.18357325,0.8981123,3.9139433,0.868405,8
33,0.76144195,0.86036795,4.0144777,3.3659353,0.14623828,9
34,0.84919167,0.4242594,4.4833984,3.3439322,0.73498017,10
35,0.54304427,0.45921132,3.0669107,2.072741,0.6468147,11
36,0.3629889,0.46134326,1.9270508,3.792492,0.14478588,12
37,0.7233732,0.447161,0.49643546,1.8040328,0.6479939,13
38,0.18667498,0.7347237,2.4635992,2.425829,0.21561185,14
