,locs0,locs1,locs2,locs3,locs4,subject
0,-2.0581322,1.3258052,0.78235567,0.3600819,-2.248644,0
1,0.80974984,-0.67627615,1.019547,1.9023194,-1.4327943,1
2,-0.8096067,-1.3079493,-2.634151,-0.6946953,-1.6889598,2
3,-0.0552212,1.2254138,-1.6563461,0.36219808,-1.9474078,3
4,-0.7615724,1.3618354,-0.9735864,0.608361,-2.1382546,4
5,1.0833617,0.99802786,-0.14236742,-0.29578993,-1.8133247,5
6,0.13271125,1.0466418,1.1000786,0.088941276,-3.042107,6
7,-0.5458797,0.6702289,-1.3829522,-0.9483806,-1.7833923,7
8,-0.52554625,-0.8221786,-0.016003877,1.624566,0.81006646,8
9,0.2427479,0.6673629,0.08809103,-1.6943858,-0.6837238,9
10,0.7784165,-1.1443886,-1.1846845,-1.2208796,-1.3186431,10
11,0.04061836,0.26292568,1.0664256,-0.63404,-2.0553963,11
12,-0.5116947,-0.9463086,-1.4056842,-0.9614936,-4.0833817,12
13,-0.11869866,0.46901065,0.020100504,-2.6858485,-2.0964563,13
14,-0.5131321,0.95804214,-1.2105116,-0.024477877,-0.64242685,14
15,-0.58872074,-0.52512383,1.3621436,-1.1552833,0.7620308,15
16,-2.0979612,1.8152642,0.5494665,-1.2906933,-1.6213359,16
17,-0.3169484,-0.2369427,0.13487113,1.2934965,0.58803177,17
18,0.26510832,-1.1019716,0.7307758,-0.69033873,-1.6805621,18
19,-0.11684215,1.5131917,-2.0739617,-1.0127468,-2.3059974,19
20,-0.7443235,0.44465542,-1.2639303,-1.5554028,-1.0527797,20
21,1.16594,-0.50106066,0.6787952,0.4009707,-0.5383002,21
22,-2.0829456,-1.3205686,2.4939132,0.114742815,1.5715975,22
23,-0.8005885,-1.773812,1.175318,0.724854,-0.14620034,23
24,-0.9471353,0.89869034,-1.6901867,0.11371875,-0.7837981,0
25,0.053112864,-0.53940725,1.4108734,0.19787598,1.188384,1
26,-2.9432874,0.28683463,1.0906976,-0.4600342,-1.4334855,2
27,-2.5476952,0.33564264,0.4758278,-0.534143,-2.234486,3
28,-1.3461406,1.7192807,-0.33175045,-0.07767601,-2.8986044,4
29,0.2813568,1.325179,0.80469275,-0.12702608,-1.3915954,5
30,0.6913223,0.519503,-0.052890427,-0.31197315,-2.843721,6
31,-0.4599815,1.7431436,-0.25235236,-1.0456858,-1.8358114,7
32,-1.9057369,-0.7573811,0.48361942,1.1971034,0.90987223,8
33,0.432055,0.7917993,-0.57625985,-0.54155993,-2.0540676,9
34,2.447663,-0.74318403,0.37470087,-0.8580137,-0.072692275,10
35,0.17594832,-0.28214133,-0.41991878,-0.11677005,1.9341145,11
36,-1.6087229,-1.2408347,-1.8408464,-0.55492014,-1.022357,12
37,0.7619536,-0.18050236,-1.2865285,-1.4886374,-1.889997,13
38,-0.01938039,0.65556985,-2.621992,0.6705109,-2.3187284,14
39,-0.8554244,-0.914304,-0.14875014,-0.83342004,1.0795529,15
40,-1.9485257,0.4179566,-1.618708,-2.089172,-1.414579,16
41,0.15097731,-0.11704112,0.9696766,1.8419204,-0.21511507,17
42,0.9238906,-0.76346004,-0.24766076,0.10150671,0.35671145,18
43,-0.14570701,0.55341506,-3.0463405,-0.75442576,-2.155016,19
44,-0.4409849,0.87287706,-0.050300777,-1.2243861,-3.0317845,20
45,0.7557392,-0.47780138,0.5392417,0.79870856,1.3091202,21
46,-1.1965356,-1.4663587,1.8690448,0.31109387,-0.80802715,22
47,0.6448629,-1.9050865,0.5223173,-0.88590306,-2.5485573,23
48,0.39648294,1.5604699,-1.0930959,1.3529807,-2.8408203,0
49,1.171221,-1.3922899,-0.84658706,-1.0498775,-1.6492157,1
50,-2.268323,-0.93769515,-1.671881,-0.7543788,-0.71051705,2
51,-1.0122625,1.3973453,-0.21768373,-0.3575443,-2.5835948,3
52,-1.7211988,1.0992904,-1.3378737,0.26504076,-1.7636901,4
53,0.8031117,1.9078014,1.3797449,1.2076715,-2.6401808,5
54,1.8020539,0.2369888,-1.4147944,0.551558,-3.8032174,6
55,0.06814277,0.13477373,-2.1580813,-1.3493967,-2.2079937,7
56,-1.1588342,-1.4606698,-0.9839267,1.4904644,0.20118293,8
57,0.7719823,0.25130516,-1.0503153,-1.5214674,-1.0433595,9
58,0.32187158,-0.3954134,1.1049297,-0.170982,1.2141292,10
59,1.8295798,0.74013007,0.9642635,1.7016075,0.46184635,11
60,-1.496193,-1.1354454,-0.9761051,-0.20620199,-1.7236003,12
61,0.74994624,0.33527982,-0.7270143,-2.389478,-1.4287388,13
62,-0.7145672,-0.02900368,-2.1810284,0.087728955,-2.0787632,14
63,-0.27725518,-0.67044705,-0.08781402,-0.95886356,2.2048857,15
64,-0.91473496,2.2251923,0.024773002,-0.823169,-3.466857,16
65,0.87405294,0.13985993,0.9955168,1.7278644,0.63761866,17
66,0.14862037,-0.533599,2.0227835,0.60589826,0.06746149,18
67,-1.7810522,1.3146574,-0.79052347,-1.968061,-1.4752554,19
68,0.6466205,0.8368598,-0.98588,-0.52060086,-2.6001139,20
69,0.6147871,-1.3134192,-2.3007536,-1.1694351,0.11211531,21
70,1.119772,-1.367353,1.2513609,1.4027866,2.4634857,22
71,1.1656135,-0.9448168,1.2252467,2.0952797,-1.2367961,23
72,-1.4879013,1.2126446,-0.7796286,0.6794542,-1.8567517,0
73,1.150778,-0.20086175,2.7847633,1.1794753,1.3088546,1
74,-2.7402663,-0.8687483,-0.7802923,-0.61107534,-1.4299048,2
75,-2.46369,0.91522986,-0.4663037,0.0548006,-1.7973886,3
76,-1.3546741,1.1642958,-0.29072642,-0.25671643,-1.6492869,4
77,0.2605197,0.23817694,0.38236699,-1.9220815,-2.617559,5
78,1.0735178,1.0284425,0.15359038,0.5417488,-0.9780303,6
79,-1.4224062,1.7064729,-0.34218502,0.40962225,-0.94527125,7
80,-1.2023275,-1.0078996,-0.0665617,-0.13947856,2.9755473,8
81,0.6333121,1.669163,0.6217354,-0.6204622,-1.2817788,9
82,1.2075961,-0.9926653,0.2888808,-1.9120588,0.03390819,10
83,1.852073,0.17596006,0.22192895,0.64960474,-0.28426445,11
84,-0.4361562,-0.039331913,0.46267205,-0.18051936,-3.2752347,12
85,1.7299701,1.2557099,0.33211333,-0.39631397,-1.5655099,13
86,0.31232446,0.86204493,-1.5099063,0.5207454,-1.4768069,14
87,-0.49188042,-0.66508186,-0.012995739,-0.74928397,1.4045922,15
88,-0.59014213,0.12935627,-2.8337579,-2.0947719,-0.9196796,16
89,0.72715664,-0.009851113,0.6791445,0.912515,-2.6866615,17
90,-0.5998062,-1.0344889,0.5750574,-0.2662735,-0.7616357,18
91,-1.3115327,1.6570542,-0.35396266,-1.6586775,-2.0760324,19
92,-0.12250005,0.37652695,-0.6627618,-2.1324372,-0.7832322,20
93,0.5290184,0.34577766,1.8641787,1.7717432,-0.20988496,21
94,-0.00895928,-2.4532123,0.4549129,-0.29983854,0.2944219,22
95,0.436491,-1.9286464,0.81056124,1.5137634,-1.3402051,23
96,-0.4910494,0.38468784,-2.0665822,-0.19305634,-1.7784684,0
97,-0.2541942,-0.38757893,3.09518,0.53745836,2.0612402,1
98,-1.4167556,0.09003276,-0.195135,-0.5068233,-2.1560354,2
99,-0.41015768,1.2362877,-1.6964245,0.25715217,-1.8014406,3
100,-0.37559003,1.8177879,-0.41380036,0.34630364,-1.70765,4
101,0.8746679,1.7736189,0.9816642,0.69756675,-1.133884,5
102,0.5645429,0.9270913,0.6072888,-0.22059822,-3.5270128,6
103,0.4579246,1.7115937,-1.23798,-0.084703624,-2.7120538,7
104,-1.3990341,-1.856066,-2.169853,0.14764214,0.80661464,8
105,1.5904254,0.2862656,-0.89287883,-1.6771984,-2.75809,9
106,0.82964736,-1.3701198,-0.9541655,-2.967791,-1.67168,10
107,0.30826542,-0.35790116,-0.7086029,-0.7654067,0.6021943,11
108,-1.8522868,-0.9930893,-0.2313934,-0.34405035,-1.6721752,12
109,1.1480778,0.82747555,0.4381041,-0.5583735,-1.4756765,13
110,-0.91051674,0.83818775,-1.0452582,0.30132487,-1.5758219,14
111,0.7390337,-0.13808656,0.05233999,0.38257253,1.1293098,15
112,-1.0618755,1.2427179,-0.7150081,-1.3013356,-1.0411677,16
113,1.0875561,-0.15451401,0.40439707,0.46639246,-1.5925748,17
114,0.60932183,-0.6096383,1.7453691,0.4437058,1.4649899,18
115,-2.6544142,0.010546207,-0.66931516,-1.9520237,-2.366382,19
116,0.38897592,1.0293059,-0.6533965,-0.87517005,-1.74669,20
117,0.2695792,-0.52460474,-0.26483256,0.959221,0.49049407,21
118,-0.82140136,-1.6487694,1.4656663,0.16015601,-0.14963603,22
119,1.6945409,-1.502817,0.24313465,1.3481401,-2.593388,23
120,-0.4550208,1.2874403,-1.3310109,0.20183344,-2.0222611,0
121,0.7730917,-0.78650653,0.39357665,-0.3151892,0.85353565,1
122,-0.98599064,-0.5998592,-1.981955,-0.41644937,-1.2895007,2
123,-1.184331,0.6653052,-0.9176308,-0.4689123,-2.25472,3
124,-1.2233639,0.24665278,-1.2272263,-0.79062986,-1.4193339,4
125,0.50095654,0.9623101,-0.09984329,-0.12999666,-1.6214302,5
