,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight,inferred repetition
0,0.23667575,0,0.7280714,1.5868945,3.3084688,0.12845132
1,0.6929021,1,0.29955104,4.001245,3.09724,0.3778665
2,0.18581766,2,0.38312817,1.8577206,2.5472963,0.15099084
3,0.25031546,3,0.6701822,1.5294417,2.4651084,0.12819919
4,0.26777977,4,0.7611774,1.7591374,3.5957549,0.11746218
5,0.69747305,5,0.74569696,3.6972275,2.27397,0.14207084
6,0.52530456,6,0.5916126,2.9648755,2.6109931,0.17958498
7,0.26369867,7,0.7172605,1.7031919,2.1825411,0.13387208
8,0.23070873,8,0.22787583,2.3504827,4.3409076,0.5287566
9,0.7516634,9,0.7730559,3.2083313,1.5979828,0.123324476
10,0.72549415,10,0.314719,3.4344413,1.3636999,0.462988
11,0.6588623,11,0.5247705,3.5400171,2.8965604,0.3455152
12,0.23193805,12,0.29969475,1.8812348,2.602656,0.21963456
13,0.7636627,13,0.7324795,3.6908207,1.7298682,0.16041254
14,0.30338523,14,0.67373985,1.4591334,2.9755073,0.16245951
15,0.40035224,15,0.32348636,2.86737,1.6968819,0.4035508
16,0.24077459,16,0.7522226,1.3181411,1.8191059,0.16819382
17,0.58908176,17,0.47926947,3.7696605,4.2954183,0.44687453
18,0.6708915,18,0.33083227,4.0126195,3.2005126,0.39589256
19,0.216286,19,0.60203135,1.093522,0.8280639,0.112532586
20,0.50982624,20,0.7639059,2.4007792,1.3584021,0.124776654
21,0.63287014,21,0.390779,3.5409675,3.9842067,0.42631543
22,0.44913423,22,0.10984705,3.6519272,3.9938867,0.3178429
23,0.54435325,23,0.13420412,3.757209,3.4655483,0.38396582
