,inferred policy rate,subject,inferred reward rate,inferred dec temp
0,0.6861081,0,0.32948962,3.4918065
1,0.0652251,1,0.36180037,1.1813523
2,0.73129576,2,0.6038564,4.185002
3,0.39181274,3,0.3289666,3.499536
4,0.6677543,4,0.3246181,4.6446753
5,0.5256387,5,0.4542082,1.6962166
6,0.53144497,6,0.52643836,2.613934
7,0.25582018,7,0.31189868,3.1686478
8,0.75067276,8,0.5847653,1.0282192
9,0.32148105,9,0.6842329,2.2173922
10,0.037334878,10,0.13580011,1.792716
11,0.3948966,11,0.252968,4.908298
12,0.06342086,12,0.13392845,4.842538
13,0.35524395,13,0.20262921,3.6938446
14,0.13213299,14,0.39155883,2.9507327
15,0.055873144,15,0.044245727,4.337928
16,0.19226605,16,0.28703776,4.890376
17,0.77662706,17,0.42502654,3.647088
18,0.19967379,18,0.11180776,5.7857466
19,0.7159789,19,0.19621952,2.745116
20,0.07259318,20,0.06386321,4.875319
21,0.42705232,21,0.16058606,3.536795
22,0.06111325,22,0.11375347,5.1920996
23,0.040896375,23,0.45458212,1.4998661
