,locs0,locs1,locs2,locs3,subject
0,-1.4290581,0.8226902,0.1911887,0.04548064,0
1,1.5242922,-2.107621,-0.13620049,0.33930838,1
2,-0.54680884,0.7250872,-1.3454205,-1.2705095,2
3,-0.21776618,0.66260815,0.5066617,0.21603696,3
4,0.08926594,1.4551384,0.09585643,1.7841195,4
5,0.54493624,0.5797297,0.65686786,-0.42895725,5
6,-0.77507925,0.33465442,-1.3974929,-1.070059,6
7,1.6324387,0.8649881,0.5819812,-0.77220416,7
8,-1.0058858,0.763447,-1.577285,-1.1270497,8
9,0.042645454,0.0879783,-2.0340865,-1.5014492,9
10,-0.18613929,-1.8976068,-0.4554916,0.5704656,10
11,-0.45463923,0.8575479,0.9833523,1.6856444,11
12,1.110651,-0.62707686,-0.79682565,0.49221578,12
13,0.10710055,-0.37018812,-0.09127349,-0.8963018,13
14,1.7484338,1.0748656,1.1113737,-0.2907439,14
15,-0.5236098,-1.092387,0.35611814,-0.92608565,15
16,1.8702137,0.14182822,0.5139229,-1.8902394,16
17,-1.1285758,0.99533796,0.51964813,-0.15483765,17
18,0.26385257,-0.5705097,-0.5954851,0.9661437,18
19,-0.026459496,0.35483134,-1.1253526,-1.3465562,19
20,0.66659486,-0.98813057,0.05217117,1.9129384,20
21,0.7246803,0.8094243,0.24195461,0.7106651,21
22,0.55180895,-0.5476036,0.50064677,0.073072374,22
23,0.29360226,-1.3098568,1.4867357,0.12894976,23
24,-0.36200404,0.18036526,-0.396118,-0.9881079,0
25,-0.23310983,-1.8028617,1.0143604,-0.41875196,1
26,-1.3893199,-0.66397893,-1.3422843,-2.938315,2
27,-0.7694349,0.06900865,0.12597755,-0.78701764,3
28,0.057546675,0.25383535,-1.2854171,0.15264426,4
29,1.6568825,1.2062231,1.1386814,1.3224559,5
30,-1.7247322,0.6558834,-0.21101546,-1.5723127,6
31,0.6492765,0.07047951,0.10038102,-2.1243129,7
32,-0.36928856,1.0159767,-1.3651056,-1.646688,8
33,-0.36610305,0.25186718,-1.9572511,-1.5291107,9
34,-0.46957535,-0.8694712,2.0951371,2.2391446,10
35,-0.2673725,0.5408418,-0.12844513,1.2699043,11
36,0.14953715,-0.54336804,0.46243536,0.015265346,12
37,0.48412964,0.6547666,0.9151105,-0.3419901,13
38,1.6886334,0.23992959,-0.8636049,-0.32762587,14
39,0.9336747,-1.0272756,-0.50135016,0.014747024,15
40,1.6687622,-0.012785196,0.44825557,-1.0546244,16
41,-1.0435578,-0.23670018,-1.036895,-1.4586501,17
42,0.42463723,0.03460002,0.12718084,1.4914333,18
43,-0.5335412,0.7268833,0.07672462,-0.9040827,19
44,-0.15326524,-1.3107691,-1.2383025,0.5180015,20
45,1.5054989,0.76547205,-0.40579876,0.6635252,21
46,1.4965129,0.15193596,1.8019515,2.3536046,22
47,-0.20670307,-1.444884,1.7030852,-0.29108536,23
48,0.7089815,1.0408266,-1.3547876,0.83704835,0
