,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight
0,0.45019525,0,0.70880175,2.1951835,4.0416527
1,0.6636399,1,0.15937002,4.2156205,3.7774022
2,0.4765912,2,0.7450083,1.7719526,1.4341319
3,0.62997276,3,0.7191588,3.7458134,3.5405684
4,0.39926857,4,0.6686941,2.4091446,3.880979
5,0.7326714,5,0.6844542,3.8908584,2.325354
6,0.26893702,6,0.65444404,1.5046449,0.82799995
7,0.77625036,7,0.6114805,4.0226417,1.8626934
8,0.34159493,8,0.71781,0.62489057,0.53256226
9,0.46400982,9,0.645718,1.3750608,0.98972386
10,0.6483724,10,0.15849642,4.0388675,3.7481456
11,0.5539381,11,0.5980209,2.950543,4.656505
12,0.57237524,12,0.39873376,3.6534212,2.4266078
13,0.65447545,13,0.5878345,3.2194731,2.9839063
14,0.8414442,14,0.6547567,4.0577674,1.1866592
15,0.7106237,15,0.31344777,3.8485467,2.3664775
16,0.8021287,16,0.5505911,4.388009,1.856444
17,0.49371764,17,0.7205113,2.062626,2.9656427
18,0.39799404,18,0.43439463,2.5398774,4.980152
19,0.5738948,19,0.74067426,2.874987,2.2524838
20,0.6691029,20,0.27548122,3.7852454,4.204657
21,0.6561619,21,0.6234082,3.0903242,4.1505704
22,0.7206386,22,0.39133844,4.2270603,3.8230608
23,0.585511,23,0.14026135,3.8152752,4.101883
