,discount,learning rate,mf weight,mb weight,subject
0,0.5150864,0.76787835,2.5596666,4.999404,0
1,0.85233027,0.1757419,4.122516,4.9052143,1
2,0.50402695,0.8111556,0.85805833,2.505815,2
3,0.55814093,0.61749566,2.6673508,2.7040596,3
4,0.27303183,0.70434415,2.6902623,3.846732,4
5,0.87627184,0.67007375,2.6113205,2.7223997,5
6,0.13747483,0.72069883,2.2522955,0.3593428,6
7,0.82551956,0.75574774,5.5770226,3.0387032,7
8,0.21227604,0.8291485,0.5859659,0.57785326,8
9,0.41151103,0.80432045,1.4193196,1.1414546,9
10,0.4049521,0.18346412,4.7868376,5.621671,10
11,0.78150344,0.566721,2.1616116,5.028738,11
12,0.51355517,0.3085725,2.4308,2.2494705,12
13,0.5528113,0.62437296,3.8563976,2.3778872,13
14,0.68463564,0.7127428,4.3673162,1.4191437,14
15,0.82555205,0.33127668,3.2658548,3.5059729,15
16,0.83075136,0.42828816,2.6410558,2.096309,16
17,0.49445656,0.47921804,0.9307954,1.6263907,17
18,0.3257463,0.41972008,2.3504784,5.151097,18
19,0.6954744,0.7584622,2.2844915,2.6863036,19
20,0.656081,0.2852748,3.8204362,5.8981586,20
21,0.7235372,0.51989293,2.3118393,3.1972384,21
22,0.84667253,0.47208992,5.499131,4.6073265,22
23,0.7416969,0.15029141,4.593273,4.7648706,23
24,0.476426,0.67138326,1.2104402,3.268605,0
25,0.7646569,0.18403095,4.1381626,4.7829103,1
26,0.5075161,0.60637283,1.3043623,0.85028476,2
27,0.7674923,0.7064593,2.4285827,4.3548965,3
28,0.5217776,0.5244504,0.64238656,2.580912,4
29,0.83051413,0.8168099,5.0207105,3.2886434,5
30,0.16326909,0.8957892,3.4792204,0.63546604,6
31,0.59021294,0.48673946,3.2265987,1.2673006,7
32,0.3061209,0.5690525,0.6283388,0.59001917,8
33,0.40189365,0.65935785,1.1767578,1.2552838,9
34,0.4792333,0.15250653,4.4225526,3.0446677,10
35,0.41712278,0.4599763,2.2769282,4.6938696,11
36,0.41954985,0.5677084,5.628237,2.9317284,12
37,0.58847386,0.5433339,2.6623101,1.5688208,13
38,0.7922527,0.6702885,3.5368133,1.0566894,14
39,0.7628039,0.28015062,4.170385,1.155398,15
40,0.60452616,0.586457,5.07755,0.8982228,16
41,0.61724395,0.59911513,1.2044625,2.5456445,17
42,0.27618983,0.42047486,3.510868,4.4967957,18
43,0.5183712,0.734015,2.3705301,2.0236855,19
44,0.64185643,0.26505357,2.452026,5.0082116,20
