,locs0,locs1,locs2,subject
0,-0.11994049,1.6892066,0.3540017,0
1,2.0042,-0.3230781,-1.6663061,1
2,0.42193246,1.2535791,1.9793903,2
3,0.87022114,0.30996773,0.7369331,3
4,1.9605454,1.0454116,1.7477264,4
5,-2.8530667,0.6758342,-1.3692759,5
6,-2.0600126,-0.6490494,-0.45259553,6
7,1.4537051,1.8949708,-0.12215206,7
8,-2.0936806,-0.8146621,-1.4837146,8
9,1.5117027,0.3259561,1.458455,9
10,-3.2465227,-0.33403164,-1.0748011,10
11,0.46323836,-0.5832141,1.4233559,11
12,-0.53201294,-0.5702363,0.0222013,12
13,1.6983659,0.48193875,1.0762993,13
14,-1.5071108,-0.5463835,-0.7096311,14
15,-2.0493867,0.56649137,1.8373992,15
16,-3.1209135,1.1907437,-0.3184139,16
17,2.8575587,-0.19814648,1.240816,17
18,-3.8821776,1.7900262,-0.9073269,18
19,3.8765879,0.54652226,1.1409998,19
20,1.3794677,0.14251381,0.96248204,20
21,0.66948545,-1.7153602,0.06534615,21
22,1.9504206,0.4763595,1.2525904,22
23,-2.7737257,0.20637397,0.4850397,23
24,0.36164692,1.3244416,0.45504418,0
25,0.6547302,-2.1625762,-1.7436746,1
26,0.17367184,1.4984488,3.069716,2
27,0.25241598,0.23712415,1.145401,3
28,1.6037366,1.2088232,1.7994281,4
29,-2.4788916,-0.604082,-2.3330717,5
30,-2.3326266,-0.2521917,-0.14122799,6
31,2.7810001,1.7601368,-0.013414696,7
32,-4.481038,-1.6046851,-1.8347186,8
33,-0.3526323,0.055055812,1.3383577,9
34,-1.969475,0.42245835,-0.5096669,10
35,0.7269691,-0.4857555,0.8340769,11
36,-0.2660399,0.14052549,0.14284667,12
37,0.99420655,0.40581733,0.5637917,13
38,-0.9997539,-0.9770215,-0.14212276,14
39,-2.676722,0.55526966,1.2969735,15
40,-1.2248938,0.05416295,0.2392469,16
41,1.8524327,-0.66480684,0.9780303,17
42,-1.9967074,1.3021513,-2.181526,18
43,2.5327384,0.24182162,1.7241508,19
44,-0.8433031,0.6397624,1.0721966,20
45,3.7912207,-0.83061516,0.5984843,21
46,0.72608066,1.5593619,0.7596292,22
47,-2.6122744,0.055681914,0.5181581,23
48,0.95029783,1.2885933,-0.48215917,0
49,1.738766,-0.26485565,-1.5229001,1
50,-0.0071344376,1.671238,1.729596,2
51,0.61546326,-0.14254567,0.5599342,3
52,1.9673362,1.2725432,2.0178988,4
53,-2.8313394,0.06754893,-2.6411283,5
54,-2.831973,-0.95195305,-0.8322444,6
55,2.9738562,1.1837791,-0.17001659,7
56,1.1108079,-1.7370918,-1.8511165,8
57,-0.47879866,0.07155767,1.6115855,9
58,-2.5834775,1.2067726,-0.66592944,10
59,-0.009601712,-0.8072013,-0.13115883,11
60,-0.037074417,-0.98175275,-0.13060734,12
61,2.2728333,0.86647695,1.326692,13
62,-1.7258933,-1.0560315,-0.7788029,14
63,-2.6979175,0.65329957,1.8608502,15
64,-2.6254618,0.37722555,0.51586866,16
65,1.8005242,-0.029065013,1.6606474,17
66,-3.3185954,1.072095,-1.7233859,18
67,2.552136,-0.11279005,2.7419517,19
68,2.3039985,0.86607903,1.2683022,20
69,3.2130713,-2.07038,-0.07200073,21
70,1.0446793,0.37132305,0.5661088,22
71,-2.7167854,0.08532575,1.6041671,23
72,1.8954593,2.2277036,0.10507645,0
73,1.9170583,-0.53508186,-0.9323465,1
74,1.6084434,2.009482,1.5895494,2
75,0.8706625,0.21095617,0.5096836,3
76,1.8681184,1.278042,1.6273823,4
77,-4.0510173,0.6046281,-1.7207394,5
78,-3.3514602,-0.06006591,-1.3602693,6
79,2.6267884,1.7846329,0.015493467,7
80,2.6491256,-3.4611316,-0.46006763,8
81,0.38384587,0.18813318,1.4787128,9
82,-1.9733346,0.649813,-0.74159527,10
83,0.39725745,-0.0821363,0.54384327,11
84,0.03802231,0.04644692,-1.0498734,12
85,2.1941395,0.35609376,0.56708825,13
86,-1.0817163,0.03796953,0.20155734,14
87,-2.4113717,-0.20126744,1.3955268,15
88,-2.7265747,0.29674095,0.22474621,16
89,1.495487,-0.34307483,0.13165689,17
90,-2.1992114,0.2409296,-2.1917636,18
91,2.1007726,1.0623186,2.53256,19
92,2.2588015,0.2614718,1.6181871,20
93,2.611857,-1.1705391,-0.3739641,21
94,1.906481,1.6844677,1.6791933,22
95,-2.7165697,0.45068902,1.264468,23
96,0.1364963,0.93655765,0.49579322,0
97,2.5922942,-0.25959244,-1.185016,1
98,2.5078902,0.80478925,1.1898016,2
99,0.81132144,0.47927576,1.4492013,3
100,3.6425889,1.3845192,1.5989455,4
101,-1.8980126,-1.05701,-2.0755334,5
102,-2.2009869,-1.0337503,-0.88786566,6
103,2.508447,1.2750474,-0.15943138,7
104,-4.7771425,-2.2935824,-1.4363122,8
105,-0.07379827,0.17497332,1.5471684,9
106,-2.897271,0.43659458,-0.7250177,10
107,-0.16472286,-0.7279804,0.7850363,11
108,-0.5211655,0.2263825,0.4641396,12
109,0.4768983,0.27266812,0.70556897,13
110,-1.1026101,-0.4403416,-0.5148237,14
111,-2.771627,0.11089091,1.3451718,15
112,-2.2227628,0.95912313,0.03172358,16
113,1.4394339,-0.9175708,0.09252238,17
114,-2.2413325,1.714303,-1.2717584,18
115,0.84221816,0.4796502,1.3122506,19
116,1.8088639,-0.058631897,1.3325603,20
117,4.8455496,-3.1216745,-0.75408155,21
118,1.1747847,1.5834088,1.7188904,22
119,-2.3427668,-0.0045303106,0.9001448,23
120,0.3678183,0.9894822,0.23478848,0
121,2.6150525,1.0455722,-1.008414,1
122,1.568456,1.9801707,1.9327104,2
123,1.5229518,-0.21775824,1.731589,3
124,1.8710772,1.6500956,2.2734835,4
125,-3.2892027,-0.78592014,-1.7816033,5
126,-2.8417368,0.26677135,-0.94093955,6
127,2.7818644,0.37580878,-0.35552323,7
128,-3.20679,-2.8974543,-1.44951,8
129,2.132205,-0.08658086,2.972289,9
130,-2.1415312,0.66541076,-0.019429594,10
131,0.37663537,-0.26403478,1.1551142,11
132,-0.26436275,-0.4955357,-0.59904313,12
133,1.5187047,0.38291198,0.6906318,13
134,-1.1896852,-1.1539488,-0.26853174,14
135,-2.4703805,0.011387691,0.83215773,15
136,-2.574686,0.87587214,0.53670543,16
137,1.678717,-0.04296957,1.8214178,17
138,-2.9090977,0.432723,-2.190277,18
139,2.2620475,0.4588365,1.0598769,19
140,-0.8086523,0.62591976,1.2933506,20
141,1.8714411,-0.08260274,0.21856079,21
142,1.740101,0.7349956,0.61362803,22
143,-1.8290927,0.46105394,1.1792235,23
144,-0.77603745,0.88324475,-0.14583251,0
145,3.4497688,0.107807085,-1.3157129,1
146,2.0026186,1.1400075,2.4703815,2
147,1.8800024,0.4920363,1.4173567,3
148,0.54124355,1.4169017,1.5763985,4
149,-3.6275764,-1.0182797,-1.9193326,5
150,-2.916044,-1.0116667,-0.8603225,6
151,2.9551876,2.4720435,0.65574044,7
152,-2.2466114,-2.647318,-1.087086,8
153,0.036302,0.34114695,1.8066045,9
154,-3.1609125,0.3915664,-0.48205858,10
155,1.0740287,-0.08261117,0.96847326,11
156,-0.84692764,-0.26987037,-0.51954573,12
157,-0.038054943,1.2232872,2.0450826,13
158,-1.6985167,0.22036427,-1.0114942,14
159,-2.3823018,-0.35310292,0.8350847,15
160,-2.7626252,0.017349213,0.20903116,16
161,1.7360458,-0.2217381,1.1171993,17
162,-0.9237343,1.377079,-1.9746655,18
163,0.3870728,0.46016574,1.4980004,19
164,0.41448265,0.22871765,1.5770471,20
165,3.2480707,-1.389736,-0.27914366,21
166,1.3732896,0.6170542,0.45821032,22
167,-2.6479197,0.67372954,0.7420937,23
168,0.59399366,0.605446,0.22488607,0
169,2.3639765,1.6612548,-0.43652546,1
170,3.6899602,0.8073389,1.5595329,2
171,1.4277403,0.39428917,1.6385075,3
172,1.9290214,1.5068576,1.6446066,4
173,-4.9147506,-0.09203467,-2.111115,5
174,-3.3320456,-0.06740214,0.107375324,6
175,3.0188217,1.8441668,0.20537119,7
176,-0.38254404,-2.2990077,-1.2070947,8
177,1.0163203,0.5003138,1.9909192,9
178,-1.9256893,-0.06752801,-0.011779875,10
179,0.010634124,-0.815501,0.3289677,11
180,-0.42731747,-0.512957,-1.0318748,12
181,3.449773,0.8963271,1.0078454,13
182,-2.0841832,-0.23647457,-0.08140539,14
183,-3.3576312,-0.35738415,1.3725679,15
184,-3.1945655,0.4532155,0.20059164,16
185,1.3682212,0.08064755,0.99810696,17
186,-1.741781,1.3785346,-1.3683386,18
187,0.7391845,-0.060979843,2.341184,19
188,1.8192685,-0.13149577,1.0367478,20
189,1.0254904,1.4703258,1.5027909,21
190,2.1221166,1.0292411,1.507617,22
191,-2.259615,0.52023613,1.1204962,23
192,0.92261577,0.89929533,-0.5723023,0
193,1.777179,-0.46688733,-1.3357351,1
194,0.12667847,1.9159933,2.0711865,2
195,0.09682757,0.8252844,2.2497354,3
196,3.0433202,1.2447643,1.7359953,4
197,-2.9104357,0.01388073,-1.7398256,5
198,-2.6126487,0.6142243,-0.8456825,6
199,1.416479,1.9826288,0.5112476,7
200,1.26068,-2.7961688,-1.0326073,8
201,0.72883034,0.27090174,2.3671913,9
202,-1.8949009,0.012842715,-0.9589598,10
203,1.2050898,-0.14080077,2.2010944,11
204,-0.5851881,-0.5516616,-0.8508413,12
205,4.063539,0.75599176,0.73162794,13
206,-1.4809525,-0.29038632,0.21419096,14
207,-2.99856,-0.44707745,1.8715672,15
208,-2.0474102,0.8721725,0.79393893,16
209,1.5893666,-0.46721205,0.93180513,17
210,-3.3802907,0.8756685,-1.4599096,18
211,2.6832683,0.18356171,1.9155105,19
212,-1.5535961,0.8511614,0.79606426,20
213,1.4695232,-3.8836877,-1.0409832,21
214,0.8811763,0.43791175,0.74217063,22
215,-2.2801697,0.6960809,1.2339636,23
216,0.86733043,1.2650957,-0.018641314,0
217,0.5083579,0.06320789,-1.341764,1
218,2.116906,1.5827274,1.4077914,2
219,2.0388265,0.36559457,1.0825982,3
