,inferred policy rate,subject,inferred reward rate,inferred dec temp
0,0.6312023,0,0.7775045,5.0526533
1,0.8923766,1,0.48176372,2.2991188
2,0.84930825,2,0.8027989,8.817951
3,0.6395923,3,0.58056027,7.5660176
4,0.7792201,4,0.77166015,8.69463
5,0.022240449,5,0.53416324,1.038318
6,0.046118453,6,0.42559254,3.92918
7,0.9290182,7,0.77798414,4.68005
8,0.083234586,8,0.10536276,1.790151
9,0.62070334,9,0.5430645,8.568129
10,0.044753864,10,0.6015198,4.196207
11,0.62718713,11,0.4019264,7.342574
12,0.38906854,12,0.420755,3.7669456
13,0.8832631,13,0.6811783,8.012302
14,0.17408048,14,0.37354845,4.231925
15,0.042058527,15,0.5275639,8.4037075
16,0.04466407,16,0.5789692,5.086242
17,0.80769205,17,0.46074277,7.467738
18,0.064914905,18,0.6963458,1.6318784
19,0.8914496,19,0.6224927,8.707792
20,0.7467401,20,0.58813566,7.872043
21,0.88466376,21,0.07846655,3.7714176
22,0.82652295,22,0.74440277,7.3177576
23,0.086871445,23,0.5903458,6.930574
