,locs0,locs1,locs2,locs3,subject
0,0.018996477,0.7131976,-0.54604644,0.24669206,0
1,1.8913097,0.5853846,-1.5188279,-0.9679118,1
2,1.4370389,1.808027,2.5102816,-0.03430598,2
3,1.1802337,0.29833168,1.74746,1.0294102,3
4,-1.1745363,1.2425517,1.3310046,1.488415,4
5,-0.56685174,0.3625092,-2.680217,0.04349768,5
6,-3.7059343,-0.074585944,-0.5279839,1.43909,6
7,0.95782113,1.5102711,0.057610482,-0.40809298,7
8,0.92322516,-2.6184402,-1.3690084,-3.3729694,8
9,-0.33537084,-0.17445618,0.70305645,2.1178179,9
10,-3.019166,0.22604707,-0.4969148,-1.9389644,10
11,1.2124302,-0.6456653,1.1668179,0.9385905,11
12,-0.3071546,-0.37820724,-0.7386274,2.0932086,12
13,1.1269691,0.79269105,0.59229577,0.6950671,13
14,-1.9574865,-1.195942,-0.20833492,-1.565202,14
15,-3.1952121,-0.0037844628,1.4350336,2.556158,15
16,-2.9425814,-0.010924995,-0.2001965,0.24149966,16
17,-0.3792889,0.14366755,1.3495964,-0.37384343,17
18,-2.0283618,1.261669,-1.1703422,-0.01291132,18
19,2.0165198,0.3577755,1.5370502,1.0847907,19
20,0.27407965,0.5267773,0.62552345,1.3687474,20
21,-0.47895598,-1.9153452,-0.16569138,-0.24268807,21
22,1.1898689,1.4579432,2.2807112,0.910136,22
23,-2.7814686,0.68578124,0.8833567,1.197424,23
24,0.9357977,0.2771362,-0.053370412,1.8940036,0
25,1.0752995,-0.07448757,-1.2793463,-1.1920078,1
26,2.7700834,0.86374635,3.1492758,-1.2865231,2
27,0.08294159,0.062143147,0.85861516,1.876515,3
28,4.6310706,1.0771401,1.6638153,1.5133526,4
29,-2.8401113,0.3918448,-2.098426,-0.75888145,5
30,-3.3428144,0.09047204,-0.37773055,1.5905842,6
31,3.2222497,1.6795284,-0.043886825,2.476482,7
32,1.7382042,-3.3345878,-1.2792609,-3.2594032,8
33,1.3830776,-0.39965355,1.9494176,1.8056006,9
34,-1.6569197,0.01856777,-0.5348393,-1.4418019,10
35,0.64923465,-0.4261797,0.9495822,2.9079335,11
36,-1.1154828,-0.4671958,-0.23930532,0.3726046,12
37,4.566676,0.6160003,0.8259922,0.15208423,13
38,-2.3541486,-1.0199397,-0.6150872,1.8582067,14
39,-3.286651,0.5021491,1.3775878,1.4538231,15
40,-3.416178,0.002249062,0.13337919,0.34873658,16
41,1.5843186,-0.32289726,1.2728727,1.4660234,17
42,-1.855565,0.81658375,-2.0140731,-0.9324719,18
43,0.7063261,0.53037065,2.4023802,0.08573082,19
44,1.1935523,-0.068261325,1.388777,-1.0301085,20
45,1.47184,-3.2691917,-1.1677005,-0.4778856,21
46,1.1554166,1.9020638,1.8424009,2.0242717,22
47,-1.6224189,0.54564625,1.4626542,1.9680326,23
48,-0.11489639,2.3021526,0.95846874,-0.22286963,0
49,0.29207706,-0.76791763,-1.1953439,-2.0508442,1
50,1.9068849,1.4724674,1.3228539,0.93197215,2
51,1.3469255,0.3190852,0.68402386,1.2684107,3
52,4.1688247,0.51841176,0.96626496,2.8625457,4
53,1.8646765,-0.97950184,-2.1737301,-3.1237626,5
54,-2.819679,0.033017248,-0.54111147,2.559026,6
55,2.314211,0.032660365,-0.16438223,-0.659438,7
