,policy rate,reward rate,dec temp,habitual tendency,subject
0,0.504749,0.67110735,3.6678216,0.56136215,0
1,0.86890477,0.64230543,1.7963419,0.27529693,1
2,0.8079957,0.85912323,9.248594,0.49142435,2
3,0.76498985,0.57403463,8.516321,0.73680156,3
4,0.236036,0.7760079,7.910068,0.81584024,4
5,0.3619636,0.5896477,0.64150846,0.5108727,5
6,0.023987692,0.48136216,3.7098727,0.80831367,6
7,0.7226854,0.8191014,5.143986,0.39936948,7
8,0.7156988,0.06796103,2.027801,0.033151,8
9,0.41693437,0.45649624,6.688651,0.89262295,9
10,0.04656749,0.5562723,3.7826598,0.12576167,10
11,0.7707287,0.343967,7.625694,0.71881485,11
12,0.4238094,0.40655938,3.233044,0.8902413,12
13,0.7552791,0.68840885,6.4389176,0.66709316,13
14,0.12373933,0.2321979,4.4810386,0.17290145,14
15,0.039346296,0.49905384,8.076844,0.92798615,15
16,0.05008831,0.49726877,4.501173,0.5600832,16
17,0.40629843,0.53585523,7.940636,0.40761265,17
18,0.11625712,0.7793133,2.3679314,0.49677223,18
19,0.8825207,0.5885019,8.230354,0.7473995,19
20,0.5680942,0.6287312,6.5147376,0.7971777,20
21,0.3824987,0.12838154,4.5867167,0.439624,21
22,0.76671755,0.8112179,9.072669,0.71302795,22
23,0.05833383,0.6650278,7.0751724,0.7680662,23
24,0.71825004,0.56884396,4.8666058,0.8692113,0
25,0.7456034,0.4813867,2.176615,0.23290002,1
26,0.94103765,0.7034428,9.588802,0.21644188,2
27,0.5207235,0.5155308,7.023712,0.8672103,3
28,0.99034977,0.7459524,8.407495,0.8195575,4
29,0.055194736,0.5967268,1.092499,0.31888917,5
30,0.034131255,0.5226026,4.0667443,0.83069825,6
31,0.96166307,0.84284204,4.8903003,0.9224766,7
32,0.85045886,0.034403495,2.1767607,0.03699046,8
33,0.7994848,0.4013956,8.753831,0.8588294,9
34,0.16017592,0.5046418,3.6938891,0.19126646,10
35,0.656838,0.39503896,7.210312,0.94823724,11
36,0.24685015,0.38528016,4.404576,0.59208816,12
37,0.98971444,0.6493083,6.955068,0.53794795,13
38,0.08673658,0.26503915,3.5089965,0.86508787,14
39,0.03603199,0.62296426,7.986033,0.8105861,15
40,0.031793673,0.5005623,5.3329544,0.58631116,16
41,0.8298153,0.4199698,7.8123407,0.8124522,17
42,0.13522083,0.69351065,1.1773323,0.2824235,18
43,0.66958886,0.6295696,9.170086,0.5214196,19
44,0.76737577,0.48294127,8.003969,0.26306307,20
45,0.8133369,0.03664335,2.3727088,0.38275155,21
46,0.76049894,0.87012494,8.632324,0.883322,22
47,0.16487154,0.6331249,8.119383,0.8773996,23
48,0.4713075,0.9090551,7.2281513,0.44451207,0
49,0.5725045,0.31692976,2.3230455,0.113967106,1
50,0.87066877,0.8134321,7.8965616,0.7174752,2
51,0.79362655,0.5791013,6.646362,0.78047055,3
52,0.9847653,0.6267763,7.243744,0.94596356,4
53,0.8658411,0.27299064,1.0213445,0.04213764,5
54,0.056269974,0.5082536,3.6792908,0.92817754,6
55,0.9100472,0.5081644,4.5899673,0.34086585,7
56,0.0811803,0.12984273,2.028763,0.07708731,8
57,0.64594233,0.6022123,8.695285,0.9401946,9
58,0.116194606,0.6606126,4.041471,0.14403938,10
59,0.6533262,0.3678567,7.6566925,0.86574423,11
60,0.3857912,0.43612817,4.672678,0.8773279,12
61,0.99776304,0.58233416,9.054968,0.736502,13
62,0.2296129,0.45330527,6.7478724,0.91834694,14
63,0.041340355,0.50896823,7.005782,0.7812377,15
64,0.03396897,0.4908029,4.5831337,0.69595397,16
