,discount,learning rate,mf weight,mb weight,subject
0,0.20508686,0.79745275,3.3435144,0.7108407,0
1,0.20480664,0.8650452,0.825305,1.6444528,1
2,0.26358268,0.7461531,1.6655846,4.409891,2
3,0.32980928,0.7847838,1.9713632,2.3016953,3
4,0.41792038,0.854426,1.9268899,4.001111,4
5,0.10865443,0.58014816,0.43102288,0.93941796,5
6,0.17721735,0.11813841,0.6489336,0.48557305,6
7,0.15953264,0.67842513,0.8930136,1.0854497,7
8,0.3542268,0.68611693,0.98934734,0.6086042,8
9,0.68707603,0.87463313,3.8681767,2.467659,9
10,0.22076944,0.56262445,0.6196884,0.7560892,10
11,0.68504167,0.6386212,1.1844704,3.46212,11
12,0.56325835,0.437538,1.3474185,1.4735425,12
13,0.3531767,0.7890649,1.2484442,2.5785818,13
14,0.36770514,0.5283795,1.1083206,0.47769275,14
15,0.67585653,0.6199936,3.2136393,1.1719795,15
16,0.52207476,0.49769762,1.4927061,0.90827906,16
17,0.3050895,0.7714776,0.85165894,4.7712507,17
18,0.17557737,0.5981026,0.8947722,0.6644261,18
19,0.13817176,0.79623157,2.61822,3.1912327,19
20,0.21715374,0.5562984,0.96866584,3.0613804,20
21,0.27156487,0.45607632,0.66758245,1.8989913,21
22,0.36951265,0.71415365,1.7513487,1.3299901,22
23,0.70485127,0.36292282,0.9804174,0.5644547,23
24,0.3472237,0.80907923,1.5508895,1.692397,0
25,0.29621702,0.903686,2.252491,0.6445064,1
26,0.32541877,0.8113466,1.7428582,4.8476562,2
27,0.47886738,0.85418963,2.5026193,4.465859,3
28,0.24153747,0.603792,0.70706487,2.075151,4
29,0.3510869,0.8511977,1.0558668,0.57780147,5
30,0.273893,0.2045725,1.0556786,0.6796939,6
31,0.12760319,0.71971416,1.4658616,1.5982299,7
32,0.17890544,0.48943308,0.7953727,0.4579431,8
33,0.3537361,0.8042954,2.6948984,1.9924552,9
34,0.13233429,0.73573136,2.0845933,0.47851816,10
35,0.7046564,0.5780942,0.54256,3.673922,11
36,0.67049116,0.49034303,1.0324545,1.2686678,12
37,0.28651792,0.80421036,1.0248684,3.332127,13
38,0.1285168,0.4553302,1.5536138,0.610469,14
39,0.77640283,0.45770332,2.4437242,0.2854461,15
40,0.4529014,0.48717913,1.1699265,1.1529887,16
41,0.39693385,0.83450574,2.7782488,5.3396173,17
42,0.32650137,0.74384725,0.9778402,0.98902184,18
43,0.20197146,0.85540617,2.7027423,4.3401594,19
44,0.2764266,0.794308,1.7505236,4.060088,20
45,0.16432795,0.8650479,2.262275,2.6876366,21
46,0.28582177,0.8026825,1.486666,2.4863575,22
47,0.61264485,0.59957194,1.9928536,0.92847526,23
48,0.36334622,0.72011656,0.8465236,1.2962499,0
49,0.1875091,0.66300714,1.5328679,0.87804604,1
50,0.48841184,0.7312041,0.85331976,3.8149562,2
51,0.41831383,0.8601854,3.236433,4.672203,3
52,0.15248057,0.52811456,1.0045472,2.4900074,4
53,0.5911068,0.73529404,0.9422718,0.74722075,5
54,0.20140901,0.12337574,0.40209723,0.8981807,6
55,0.20448361,0.8322059,2.4200845,0.86438525,7
56,0.17482135,0.65431833,0.8686588,0.39118785,8
57,0.4176898,0.6311838,3.1069815,0.528855,9
58,0.4083288,0.6769225,0.59247893,0.76049244,10
59,0.48992825,0.601961,1.9657763,2.7399518,11
60,0.37905705,0.55433536,1.8001556,1.3943067,12
61,0.29219562,0.9016148,1.80441,4.3104725,13
62,0.18201385,0.41891187,0.74552274,0.6161965,14
63,0.6638215,0.62745893,3.5547545,1.3961344,15
