,locs0,locs1,locs2,locs3,subject
0,0.08882773,0.9626059,-2.2628698,-1.3702666,0
1,-1.3640068,1.0010861,-1.883426,-2.3917067,1
2,0.82163996,1.0868547,-3.2806187,1.3501464,2
3,0.010447815,2.3578415,-0.60409975,1.5016868,3
4,-0.70094216,1.415379,-1.8443986,0.29129645,4
5,-1.0678139,0.904531,-2.475389,-3.3134851,5
6,-1.4255605,-2.1160734,-2.4681017,-1.9850547,6
7,-1.353285,2.4343245,-0.73921716,-2.0133154,7
8,-1.2016013,0.9464825,-2.176695,-2.6427653,8
9,1.2150164,1.7729597,-0.026992679,-0.9062985,9
10,-1.1647108,-0.38895506,-2.5419338,-2.2680576,10
11,-0.62367165,0.7214922,-0.37885037,1.207506,11
12,1.7196307,-0.046747774,-1.5404699,-0.70543706,12
13,-2.7173498,1.7074962,-0.39437377,0.8865349,13
14,-2.0149097,-0.42173982,-1.7137401,-1.5637931,14
15,2.3644104,0.6087508,0.15111578,-2.0083172,15
16,-0.40893644,-0.30024886,-1.6801858,-2.213341,16
17,-0.15850544,2.2340314,-1.2908223,2.6942675,17
18,-2.8176184,0.6754875,-1.7767262,-2.8519516,18
19,0.53470826,1.7962788,-1.6615914,0.69749135,19
20,-1.41312,1.9603168,0.220837,0.44765002,20
21,0.004819751,1.6152813,-3.0000777,0.3649856,21
22,0.43913466,1.8574015,-1.7700604,-0.39985645,22
23,1.013549,0.4872378,-1.0509278,-1.4474726,23
24,-0.68347347,0.87244785,-1.90351,-1.4784942,0
25,-1.6536996,2.3021512,-1.5806453,-2.18848,1
26,-1.101101,2.365954,-0.21914923,2.0387099,2
27,1.1816165,1.8908815,-0.9179782,1.9199435,3
28,-2.798462,1.323972,-1.4078473,0.5047478,4
29,-0.15944442,0.73460263,-2.5088634,-3.6162682,5
30,-1.797687,-1.4917963,-0.9476056,-2.7596793,6
31,-1.7850296,1.7001193,-1.6583195,-1.8174723,7
32,-2.1425438,-0.598239,-2.6629548,-2.695468,8
33,1.2971258,0.8949854,-1.064598,-0.7687919,9
34,-1.4534234,-0.32805616,-2.168053,-2.2239017,10
35,-1.4257704,0.23055339,-1.0359335,-0.43175143,11
36,0.60898614,-0.009549946,-1.4757521,-1.1906607,12
37,0.22359079,1.7386472,-1.4655472,1.8282027,13
38,-1.0347321,-0.95038116,-2.0405648,-2.9814773,14
39,1.5286915,-0.30344403,-0.57092273,-2.2364874,15
40,-0.8661008,0.33248597,-0.657603,-2.5936525,16
41,-2.1338346,1.3539984,-0.7754535,2.713776,17
42,-1.4126569,0.50902855,-2.1450658,-2.8932688,18
43,-1.2724943,1.4157424,-1.8616953,0.5387612,19
44,-1.6898127,2.3378415,0.20769489,1.4227207,20
45,-0.070450425,-0.19262886,-3.311665,-0.688825,21
46,0.7119272,1.8391078,-0.7641136,-1.4484751,22
47,1.1718497,0.2074002,-1.1329525,-3.0892196,23
48,-1.3530569,0.5912992,-1.6372992,-1.8904243,0
49,-1.4455541,1.5853304,-2.340241,-3.024243,1
50,-0.24669164,2.0368197,-1.9401536,2.3961582,2
51,-1.1656618,2.3861198,0.19806087,1.685398,3
52,-1.1185356,1.5356058,-1.5055394,0.4910321,4
53,0.5525341,0.42730606,-2.7631905,-2.6998537,5
54,-1.8520737,-2.416895,-2.5725262,-2.6984453,6
55,-2.0304458,1.2325196,-1.8862516,-2.2658093,7
56,-1.6987123,-0.010946214,-2.1936707,-2.7791615,8
57,0.1913073,1.3185365,-0.266625,-0.70463836,9
58,-1.6008366,0.35282934,-1.8559692,-2.9447792,10
59,0.63317686,0.8315065,-0.7051183,0.37929016,11
60,0.5460752,0.8092288,-1.2092632,-0.4311322,12
61,-1.4131751,1.9715849,-0.91544914,1.5476038,13
62,-1.2080086,-0.85025346,-2.1116982,-2.0567489,14
63,1.5921059,-0.40073055,-1.0752481,-2.8097022,15
64,-0.93771946,-0.3287515,-1.7416601,-2.3436315,16
65,-0.63364637,1.6984758,-0.66195554,2.6518283,17
66,-1.1246449,-0.40117055,-2.4812107,-2.0742958,18
67,-0.87763935,1.7640812,-2.8371646,1.4412233,19
68,-1.0574408,1.4669863,-0.7438232,0.9508083,20
69,-3.8059554,0.7880864,-0.45988238,-0.5258537,21
70,0.08900595,0.9349239,-1.1486058,-1.2559652,22
71,0.96852475,-0.12284887,-1.430718,-1.6755115,23
72,-0.47136465,1.3175241,-1.6415149,-1.134756,0
73,-0.72051936,1.511231,-2.4945488,-1.6749735,1
74,-1.0263364,2.1645133,-1.4748645,2.2059362,2
75,0.46723938,1.6336303,-2.0213149,1.5127854,3
76,-2.5280368,1.369017,-1.0883644,0.23074287,4
77,-0.4193819,1.1120721,-3.185867,-2.869469,5
78,-1.2292299,-1.5832479,-1.7622409,-2.2566218,6
79,-1.5249608,1.1568143,-1.011801,-2.3790941,7
80,-1.9865829,1.0003982,-2.8262837,-2.7693148,8
81,1.0819077,1.4720801,-0.17029077,-1.345906,9
82,-2.0218859,-0.13371247,-1.9098935,-3.021862,10
83,0.9790473,0.7031915,-1.038737,0.55039907,11
84,0.8250482,0.42232174,-1.0065056,-0.3521055,12
85,-1.7368459,0.5885351,-1.5830579,0.48173767,13
86,-0.9241283,0.88968104,-0.9122229,-2.3104231,14
87,2.1469963,0.05827467,-0.19261298,-2.5237138,15
88,-1.4698291,-0.48327166,-0.5740412,-2.4922276,16
89,-0.2146141,1.4159566,-1.5662024,1.2183682,17
90,-0.88722616,1.6023905,-2.145093,-2.495477,18
91,-1.4081517,2.0021353,-0.78445256,1.2993015,19
92,-0.019072533,1.4645247,-1.0862186,1.3621502,20
93,-0.360214,1.4346781,-2.697376,0.3767992,21
94,0.48701125,0.56334585,-1.3808061,-1.7753379,22
95,0.18751729,0.8957833,-0.21648347,-2.7551947,23
96,-0.25861222,0.68758714,-1.2657683,-1.588293,0
97,-1.2956998,1.081892,-1.8852599,-2.8807538,1
98,-1.1770356,1.7095082,-1.3808728,1.0243362,2
