,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight
0,0.3228417,0,0.72041595,1.188606,1.0932612
1,0.22448663,1,0.76202744,0.713468,0.5046143
2,0.31381196,2,0.8445018,0.99277943,5.058662
3,0.44797173,3,0.8322295,1.6661334,4.6316204
4,0.2841761,4,0.82211757,1.3921951,3.8116746
5,0.42903835,5,0.66696227,0.32149115,0.293054
6,0.18070629,6,0.14057308,0.87348765,0.52759373
7,0.30246094,7,0.8234966,0.9489035,0.89656496
8,0.20750368,8,0.64115244,0.507514,0.35412484
9,0.6332617,9,0.8158374,2.561521,2.1784303
10,0.17161025,10,0.5891028,0.98926044,0.38970295
11,0.5378645,11,0.68339175,2.198655,3.5939014
12,0.64973235,12,0.5687163,1.354491,2.026951
13,0.30065978,13,0.8361966,1.3659209,4.44997
14,0.23266834,14,0.46694186,1.063282,0.52670527
15,0.83298385,15,0.5538655,2.6323557,0.7603806
16,0.3278748,16,0.45472717,1.2385368,0.64472276
17,0.26753077,17,0.7799237,1.4470947,5.0390615
18,0.2455467,18,0.68869555,0.54311234,0.39277768
19,0.33268526,19,0.83685154,1.1619258,4.6671486
20,0.31879082,20,0.7831206,1.3276067,4.1971936
21,0.22703767,21,0.74555457,1.0760725,3.036366
22,0.5699496,22,0.79996103,1.2964407,1.5955081
23,0.7216697,23,0.61505663,1.5784642,0.7840702
