,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight,inferred repetition
0,0.27942878,0,0.7278628,1.1168417,1.115014,0.110888965
1,0.20464459,1,0.77099204,0.67983985,0.5168635,0.15453267
2,0.27711695,2,0.85629284,0.92836905,5.0777917,0.25505504
3,0.35046184,3,0.8371732,1.4048973,4.5760274,0.33920354
4,0.24945456,4,0.81988573,1.2338403,3.8167202,0.16721691
5,0.39544213,5,0.6629102,0.31109104,0.29243022,0.14769952
6,0.15313853,6,0.13040131,0.80055904,0.51459646,0.2239365
7,0.25518435,7,0.82534146,0.9222447,0.8932521,0.15080237
8,0.19108042,8,0.6293447,0.4964552,0.3516998,0.0838019
9,0.5469072,9,0.8070777,2.389646,2.2828388,0.20315829
10,0.16136709,10,0.5725124,0.9044617,0.4161772,0.06674235
11,0.3878595,11,0.6622828,1.6588804,3.6003745,0.5989043
12,0.4665458,12,0.5944316,1.0458357,2.262416,0.6244031
13,0.262015,13,0.84227663,1.2551472,4.4425135,0.15325429
14,0.20082924,14,0.4836367,1.0458369,0.52175003,0.101537526
15,0.73601866,15,0.6670486,2.6010854,1.1429907,0.79779726
16,0.2750113,16,0.48282862,1.2565993,0.6718227,0.12509416
17,0.24834824,17,0.7830861,1.4029785,5.013917,0.104908966
18,0.21699521,18,0.7090995,0.5039204,0.38560382,0.0973105
19,0.26582518,19,0.8420309,1.0724802,4.723089,0.18917343
20,0.26744884,20,0.788193,1.1799014,4.1735125,0.19446224
21,0.20040762,21,0.75025386,1.0853186,2.9910002,0.103210054
22,0.3275754,22,0.79987735,0.9877854,1.6622906,0.65539354
23,0.5032777,23,0.6690006,1.2695268,0.98793787,0.7620916
