,discount,learning rate,mf weight,mb weight,repetition,subject
0,0.24536674,0.6674966,0.9814516,1.1928029,0.01751156,0
1,0.12075665,0.7315003,0.80632657,0.3824787,0.07879955,1
2,0.181758,0.7987014,0.6203528,5.4087415,0.12971288,2
3,0.10354152,0.7600234,1.1013094,5.0594745,0.42250225,3
4,0.03920629,0.8881073,2.3159466,4.838813,0.1968672,4
5,0.5729259,0.5391555,0.20705,0.22194569,0.19091782,5
6,0.16704307,0.10462707,0.32343987,0.55994135,0.08716758,6
7,0.21466894,0.9182759,0.8094231,0.8017266,0.48740792,7
8,0.052307297,0.37396845,0.673239,0.5069388,0.060844142,8
9,0.74050796,0.8686237,1.6588966,3.1397157,0.29588282,9
10,0.29151306,0.5369045,0.48908943,0.4136129,0.07858208,10
11,0.33599246,0.8263387,2.842245,4.696685,0.5200777,11
12,0.2744765,0.6286573,0.5512959,3.4286206,0.8516311,12
13,0.3974243,0.88752925,0.8285235,4.09144,0.34070075,13
14,0.3162474,0.38898188,0.43319902,0.9936767,0.10033218,14
15,0.9114659,0.91417503,3.6705418,2.2953777,0.9595565,15
16,0.27904424,0.7512316,1.6373953,1.1099005,0.09205085,16
17,0.19831994,0.76937485,0.9739038,5.170436,0.13336854,17
18,0.46982548,0.632746,0.406439,0.48371127,0.090833254,18
19,0.12163296,0.8886437,2.4539573,5.257447,0.24469864,19
20,0.034712035,0.6343396,1.4657894,3.7319055,0.12653227,20
21,0.107056215,0.6908897,1.2188065,2.0506501,0.16383255,21
22,0.2460138,0.75162464,0.6899755,1.1346958,0.46454856,22
23,0.5510342,0.59485185,1.0068417,0.8503784,0.4473156,23
24,0.15450238,0.66621184,0.546627,2.1095276,0.14980082,0
25,0.123572595,0.7861185,0.9454352,0.33285615,0.18990919,1
26,0.4866289,0.9309522,0.6681807,5.7855277,0.14826891,2
27,0.12797982,0.86505806,1.593359,4.091108,0.22445147,3
28,0.21472314,0.83834004,0.718918,3.2030897,0.13899271,4
29,0.2744325,0.76361245,0.24267578,0.15195997,0.19658427,5
30,0.14511928,0.10677111,0.4417975,0.48110116,0.14207977,6
31,0.19784698,0.8415573,1.0816559,0.56010795,0.0779652,7
32,0.3991919,0.67981803,0.5414818,0.41758177,0.024041591,8
33,0.57753205,0.84556514,1.6946678,1.377661,0.34079662,9
34,0.0853253,0.6155293,1.0453737,0.7335336,0.19258605,10
35,0.39233255,0.7526874,2.0176344,3.476454,0.67828476,11
36,0.41766784,0.61322147,0.90224594,1.8608432,0.70655876,12
37,0.3231747,0.9021956,0.717277,4.855722,0.37615237,13
38,0.10378465,0.43234506,0.8242634,0.69300306,0.044511896,14
39,0.7098682,0.45601764,1.6661768,0.6070311,0.8027187,15
40,0.11987118,0.67472386,2.082847,0.57971644,0.07557859,16
41,0.122753456,0.8054417,1.5153283,4.92045,0.039844595,17
42,0.19823757,0.8436857,0.6233287,0.27474898,0.19356084,18
43,0.1998383,0.7157497,0.2564227,2.3524714,0.19406223,19
44,0.11473112,0.6970406,0.7850274,4.0597816,0.094446115,20
