,policy rate,reward rate,dec temp,subject
0,0.54768634,0.41915825,5.5659494,0
1,0.5764236,0.9387107,2.951716,1
2,0.1825491,0.9176678,7.161812,2
3,0.94621086,0.12872206,1.1201633,3
4,0.6814573,0.558403,2.9252539,4
5,0.42536053,0.011566422,3.9180853,5
6,0.5326141,0.6816083,3.1457448,6
7,0.37350383,0.7061604,5.216136,7
8,0.07848752,0.8164506,2.0386043,8
9,0.05199215,0.16678786,3.5495484,9
10,0.5277635,0.9117593,4.102351,10
11,0.89793944,0.97837013,1.5888495,11
12,0.15986931,0.6734447,2.14024,12
13,0.48578212,0.77303755,4.383457,13
14,0.03370632,0.2647979,1.1737286,14
15,0.87472963,0.5604196,1.6298972,15
16,0.5425565,0.78284377,2.4467309,16
17,0.6999837,0.59668565,2.008873,17
18,0.7459872,0.55180174,5.999835,18
19,0.919825,0.32809967,2.588631,19
20,0.10573301,0.7026833,6.341636,20
21,0.30815086,0.16228376,6.377816,21
22,0.71420896,0.20496097,3.5953321,22
23,0.09682203,0.8662852,1.0240501,23
24,0.45901856,0.34059426,5.791317,0
25,0.47542426,0.63821614,3.0822148,1
26,0.3311884,0.8785958,7.6654983,2
27,0.9083688,0.21452244,2.2216418,3
28,0.6767717,0.5941408,3.6867013,4
29,0.07465068,0.028894434,3.046218,5
30,0.7085292,0.4059702,3.2774832,6
31,0.5104528,0.5436018,4.2664475,7
32,0.1377451,0.8899361,1.6620831,8
33,0.085399255,0.1656441,4.900987,9
34,0.43823737,0.93008965,4.1503525,10
35,0.96404546,0.7125754,1.0164394,11
36,0.24548186,0.33904138,1.9389994,12
37,0.42247266,0.8232624,3.9434385,13
38,0.024501732,0.11176785,1.1324905,14
39,0.7893112,0.72925055,1.5873964,15
40,0.79411066,0.8470481,3.7760901,16
41,0.36383104,0.6980416,1.3830657,17
42,0.89441353,0.45735586,7.520818,18
43,0.92916155,0.5136563,1.811183,19
44,0.10186087,0.63815224,6.337914,20
45,0.62051475,0.1766943,7.008007,21
46,0.8827854,0.28878033,5.2292395,22
47,0.13181105,0.4706433,1.5959976,23
48,0.25432625,0.4573654,5.036522,0
49,0.3238904,0.73840094,3.9157333,1
50,0.7041627,0.949535,5.373377,2
51,0.87779045,0.17244558,1.277995,3
52,0.7543509,0.6040159,5.430172,4
53,0.0395726,0.05377182,4.1887097,5
54,0.8417164,0.7013531,3.5098596,6
55,0.3707073,0.7553516,5.2007923,7
56,0.12312486,0.83757627,1.8372054,8
57,0.114480674,0.18352361,4.2908816,9
58,0.22204909,0.88961864,5.08041,10
59,0.9506746,0.7901224,1.1477137,11
60,0.11604299,0.29811305,1.3459672,12
61,0.631347,0.88399374,4.9346237,13
62,0.036906056,0.24925277,1.3088262,14
63,0.6327378,0.68733567,1.2736057,15
64,0.5866088,0.7678368,2.4292893,16
65,0.6385337,0.6157149,2.0885973,17
66,0.88445395,0.5102083,7.1462746,18
67,0.72104627,0.4165506,2.0517173,19
68,0.11210157,0.6639328,6.174655,20
69,0.4840226,0.14945313,8.253072,21
70,0.92179507,0.25076476,5.2852726,22
71,0.15739007,0.876654,1.1166193,23
72,0.77709734,0.41180468,5.9043794,0
73,0.35107252,0.8180268,3.3512213,1
74,0.38336495,0.9389586,7.5154834,2
75,0.9763264,0.16661717,0.98979646,3
76,0.6041294,0.62499166,3.645609,4
77,0.040285,0.034537584,3.5109906,5
78,0.6687286,0.70877045,3.707634,6
79,0.5078683,0.7910268,3.8919342,7
80,0.08638705,0.87155527,2.0756774,8
81,0.07880824,0.14935842,3.2224221,9
82,0.4147192,0.8572967,3.6324785,10
83,0.7934695,0.8490447,2.1789763,11
84,0.19379322,0.7894044,2.891708,12
85,0.587849,0.7209723,4.112502,13
86,0.033305343,0.07184367,1.0274763,14
87,0.6035342,0.5961514,1.5592706,15
88,0.5158702,0.6171327,3.1912355,16
89,0.8178818,0.38296542,2.3501253,17
90,0.8359316,0.4320926,6.512105,18
91,0.9076951,0.33423412,2.245154,19
92,0.06645698,0.5653545,5.47986,20
93,0.47916022,0.1914358,6.2963934,21
94,0.9696297,0.3509388,5.78574,22
95,0.12684834,0.6776721,1.132151,23
96,0.9087759,0.38980427,6.3720107,0
97,0.40392858,0.8827899,3.255484,1
98,0.37511253,0.93571275,6.7570233,2
99,0.94737417,0.15850626,1.6324923,3
100,0.57869625,0.4557948,3.1269643,4
101,0.12620877,0.015276213,3.3911738,5
102,0.89239895,0.79017824,3.620604,6
103,0.40499032,0.767825,3.9705567,7
104,0.09973496,0.80837613,1.2476135,8
105,0.06957415,0.1673582,4.635271,9
106,0.29145458,0.9218375,4.0684724,10
107,0.85341895,0.90362567,2.2886145,11
108,0.15091217,0.6804359,1.7187986,12
109,0.58096194,0.90740293,4.710552,13
110,0.025526904,0.43925974,1.2535377,14
111,0.890684,0.9410592,2.0810242,15
112,0.7869525,0.65687495,3.0685914,16
113,0.76860964,0.65788835,1.7202721,17
114,0.7336675,0.4225234,6.007201,18
115,0.6591489,0.34399104,2.114641,19
116,0.04677985,0.7060018,7.7304935,20
117,0.6894332,0.13994376,7.668607,21
118,0.84770036,0.3452883,4.910087,22
119,0.12140118,0.7203736,0.7608699,23
120,0.8192883,0.45494387,5.595472,0
121,0.14282992,0.873338,2.1257935,1
122,0.5150126,0.8106988,4.597856,2
123,0.8338821,0.7661707,2.059282,3
124,0.77567077,0.5063031,3.6527588,4
125,0.08109256,0.03334987,3.1389496,5
126,0.93231815,0.5342461,3.797607,6
127,0.48590425,0.7551113,3.7805974,7
128,0.1882807,0.7209784,1.2467712,8
129,0.1247258,0.20744118,5.109586,9
130,0.60368556,0.96009773,4.4299126,10
131,0.93797493,0.54657435,1.0109423,11
132,0.100036174,0.43155223,2.365807,12
133,0.59391624,0.8710577,4.122692,13
134,0.016870946,0.18753669,1.9038382,14
