,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred mf weight,true mf weight,inferred mb weight,true mb weight
0,0.25504002,0.15974307,0,0.7573213,0.8004654,1.6239356,2.615394,3.5089364,3.3301148
1,0.7285366,0.6867136,1,0.30155402,0.3207438,4.08759,5.902493,2.994301,5.182535
2,0.15476267,0.0050899982,2,0.346606,0.30538845,1.6479656,3.100655,2.4547293,3.3751411
3,0.245836,0.04878801,3,0.68144363,0.7071327,1.3347094,1.3961055,2.741776,2.9849868
4,0.30489817,0.22693646,4,0.7743558,0.9621843,1.6012236,1.4997028,3.820493,5.0069666
5,0.7443546,0.5804154,5,0.7682637,0.8251568,4.097505,5.412779,2.4709365,0.062710404
6,0.5663378,0.76520514,6,0.5983572,0.5025524,3.1801407,1.6529503,2.5818584,1.9515438
7,0.28807074,0.602043,7,0.7398225,0.68002564,1.6714188,0.68563414,2.3401568,2.5858805
8,0.26571986,0.4286781,8,0.23269498,0.1833443,2.447875,0.5251579,4.499432,5.2173448
9,0.7734148,0.91515476,9,0.8021726,0.8341148,3.52062,3.413473,1.7174902,2.4236476
10,0.76410574,0.96730083,10,0.31688008,0.28249323,3.7179132,2.2513866,1.175361,0.2574463
11,0.70115155,0.6511574,11,0.5199492,0.54476786,3.5273676,4.299432,2.7370977,1.9835519
12,0.24462353,0.16537797,12,0.30974025,0.35482293,2.11791,3.6305609,2.6004667,3.1314745
13,0.81890464,0.9390092,13,0.761418,0.87676746,4.1951504,5.88239,1.7611634,3.8974564
14,0.34332144,0.76217157,14,0.67510986,0.7472566,1.381893,0.5009086,3.0836043,3.5054893
15,0.4565226,0.61670595,15,0.3333891,0.4196589,3.084556,3.2185435,1.6077287,3.0985599
16,0.26991144,0.4560476,16,0.7961675,0.97232956,1.1324116,0.46026564,2.181663,3.3269033
17,0.67667246,0.8997565,17,0.47223094,0.44168496,3.9072356,2.1322532,4.3489943,5.2328405
18,0.72352,0.99337316,18,0.32830822,0.3284046,4.2534404,4.8635335,3.136796,3.2752147
19,0.21410647,0.0686425,19,0.5717156,0.32688498,0.9963006,0.69042885,0.8039067,0.6161692
20,0.5809154,0.41584396,20,0.7785697,0.83989525,2.571018,3.2861423,1.2736679,0.89448416
21,0.69121546,0.8648903,21,0.38877046,0.41321236,3.6622813,5.2164717,4.0080304,5.4926996
22,0.4932372,0.28836417,22,0.09642507,0.024554133,3.528855,2.321685,3.924838,4.2265053
23,0.5705591,0.12229985,23,0.12818448,0.1292907,3.7543652,4.3434935,3.2387156,3.6945958
