,inferred policy rate,subject,inferred reward rate,inferred dec temp,inferred habitual tendency
0,0.20366783,0,0.7096525,1.526148,0.8116848
1,0.772593,1,0.2724368,2.6750488,0.7302512
2,0.7004525,2,0.6288938,2.86081,0.87601095
3,0.518776,3,0.56771815,2.0433383,0.7922579
4,0.7413279,4,0.16644478,2.8391292,0.71928614
5,0.67903167,5,0.7233721,2.131006,0.84908926
6,0.23862787,6,0.1798375,2.5556846,0.8181852
7,0.47083482,7,0.62898946,5.6763544,0.83007693
8,0.6928496,8,0.37157184,5.1497283,0.84148145
9,0.6941306,9,0.28209022,6.757698,0.7108954
10,0.81991565,10,0.23627378,4.374097,0.87148714
11,0.6537671,11,0.37786126,6.5468273,0.7473712
12,0.4555288,12,0.6002341,6.148967,0.6944877
13,0.54180163,13,0.38613188,6.597508,0.8359988
14,0.33181018,14,0.56064254,2.5172203,0.8353222
15,0.7777909,15,0.5889177,1.6105809,0.8867395
16,0.56170607,16,0.34202585,7.2444406,0.7982463
17,0.5103895,17,0.730506,2.026412,0.76938605
18,0.47400123,18,0.8283867,6.5723214,0.86748344
19,0.7942751,19,0.123484954,3.2738552,0.84410304
20,0.3187599,20,0.69112974,1.7344483,0.850339
21,0.051993296,21,0.04968028,2.3566144,0.809672
22,0.12730412,22,0.4628107,6.3520293,0.85983366
23,0.2859934,23,0.5346287,1.2131015,0.82639134
24,0.7382994,24,0.3669512,5.984841,0.832224
25,0.75104433,25,0.88290185,5.7497034,0.8238593
26,0.27505293,26,0.036543027,4.255819,0.7779414
27,0.5906792,27,0.2548278,3.9149027,0.7884265
28,0.69564563,28,0.3636372,4.928739,0.8195923
29,0.13408987,29,0.30072245,5.062781,0.854971
30,0.25563243,30,0.12475101,5.6375184,0.7531318
31,0.42779085,31,0.78211623,4.575623,0.83307
32,0.519661,32,0.8056431,6.3734736,0.6904424
33,0.096445784,33,0.25797263,3.712446,0.791547
34,0.14026889,34,0.65303004,6.7913175,0.763905
35,0.30891472,35,0.64806426,1.6393276,0.8434913
36,0.46706504,36,0.5557207,1.9377875,0.8326621
37,0.5938231,37,0.72977465,2.0126317,0.847291
38,0.16373697,38,0.8989386,6.8426847,0.7649762
39,0.29238847,39,0.51862735,2.3669066,0.8274923
40,0.75142014,40,0.46519196,5.306099,0.8422166
41,0.12988617,41,0.6790374,1.5983458,0.8191615
42,0.690301,42,0.68094176,3.571548,0.7612466
43,0.79657435,43,0.16492884,2.5952704,0.80501
44,0.50407374,44,0.47124958,1.9862065,0.8461404
45,0.7189573,45,0.23780264,2.3811376,0.83614874
46,0.7729285,46,0.20763907,4.878865,0.8264335
47,0.72748625,47,0.7469733,6.4043746,0.84296286
48,0.19059625,48,0.0688431,3.0767112,0.83066034
49,0.68886745,49,0.31654647,4.331008,0.83143127
50,0.44168133,50,0.28863937,2.9104133,0.85419077
51,0.7951744,51,0.06494907,2.6514823,0.8464204
52,0.472646,52,0.108245015,3.837844,0.8552748
53,0.32482138,53,0.5505946,6.8121953,0.74712354
54,0.6323799,54,0.2863064,2.4741933,0.8483895
55,0.09955281,55,0.56019837,3.8971148,0.8585557
56,0.3120512,56,0.6499055,5.2652345,0.8270135
57,0.30863246,57,0.7226928,6.332195,0.74175614
58,0.3362462,58,0.18928525,3.045868,0.7616882
59,0.11646941,59,0.10918226,5.320642,0.7704038
60,0.8002938,60,0.58782285,2.189648,0.8037522
61,0.5619018,61,0.26132306,1.7116,0.74065286
62,0.74307334,62,0.8675351,6.341501,0.84293765
63,0.2804583,63,0.26757237,3.0488977,0.84611595
64,0.20562124,64,0.4506865,3.8739645,0.8304711
65,0.3989178,65,0.62873924,1.2576702,0.8365784
66,0.10603723,66,0.19402407,1.3834914,0.84123576
67,0.81897146,67,0.5360509,5.1504593,0.857345
68,0.67299455,68,0.21923211,4.8313804,0.80950445
69,0.61031395,69,0.055824988,2.1226006,0.8519638
70,0.08872342,70,0.84037316,4.837423,0.84221536
71,0.6882494,71,0.57624364,4.1089263,0.8057951
72,0.6620226,72,0.8758991,3.8551695,0.81075084
73,0.21109629,73,0.8674542,6.558167,0.84599316
74,0.6948114,74,0.08368547,6.246057,0.846609
75,0.5768794,75,0.3529153,3.9367936,0.7966876
76,0.70669264,76,0.5661838,5.9051504,0.8504937
77,0.821251,77,0.68856287,1.8166517,0.80796784
78,0.64816636,78,0.6708912,4.0742145,0.85384065
79,0.50209075,79,0.82082444,6.2745814,0.8451072
80,0.7444889,80,0.6299622,2.5513113,0.8238007
81,0.15112264,81,0.7210535,1.6638399,0.81814134
82,0.09738045,82,0.42744556,6.6833963,0.82354087
83,0.6563275,83,0.8660921,5.7152023,0.70608276
84,0.46908963,84,0.5210976,2.1636577,0.82918125
85,0.3858393,85,0.52874655,4.483373,0.81474584
86,0.49546576,86,0.41640857,2.7902515,0.8299337
87,0.35841677,87,0.6778199,4.2613635,0.8257712
88,0.6636842,88,0.4739732,5.264183,0.80047375
89,0.7677626,89,0.2873733,5.432948,0.8169121
90,0.47194737,90,0.44763976,5.4698906,0.82956946
91,0.118552,91,0.16694866,1.9912412,0.83219343
92,0.4186139,92,0.6272293,3.423066,0.86192685
93,0.2348582,93,0.03340674,4.4522433,0.82468593
94,0.7440082,94,0.44414037,1.8448135,0.8278254
95,0.51285815,95,0.145453,4.657798,0.66103727
96,0.63153994,96,0.15922934,2.0848927,0.7659187
97,0.069002576,97,0.8297522,4.2606134,0.8573771
98,0.811062,98,0.4422608,1.3556949,0.8362857
99,0.6943403,99,0.7841854,2.4563713,0.8101023
100,0.69258946,100,0.41687503,4.238416,0.7394324
101,0.33198354,101,0.11087662,3.2138495,0.8430084
102,0.47092775,102,0.36061254,4.306962,0.83390504
103,0.7317523,103,0.24353193,2.6142118,0.8655944
104,0.77135617,104,0.8769143,4.3666954,0.797111
105,0.6681301,105,0.55626935,3.7044225,0.7996279
106,0.6409769,106,0.69870335,5.319168,0.67500925
107,0.29975736,107,0.53292686,2.8430192,0.84620166
108,0.5310665,108,0.83767664,6.4732494,0.8276331
109,0.6788598,109,0.2662378,2.6102755,0.85355496
110,0.21267185,110,0.12571432,1.8790488,0.8442305
111,0.4271939,111,0.70671153,1.4429057,0.73071533
112,0.34383562,112,0.094507806,5.3886847,0.787954
113,0.64139915,113,0.6941267,1.9583191,0.84673375
114,0.7940423,114,0.15266232,3.019814,0.8077273
115,0.44125655,115,0.09537692,4.328999,0.8657157
116,0.55842423,116,0.28798407,4.4821143,0.8297729
117,0.7233769,117,0.16760531,7.370955,0.8093207
118,0.7308092,118,0.19983822,5.583294,0.8031483
119,0.7265093,119,0.68079865,6.9155517,0.8131172
120,0.46470892,120,0.411557,2.5631368,0.8046078
121,0.63091135,121,0.21561967,3.2066965,0.7723856
122,0.06640052,122,0.49724752,2.413322,0.8523946
123,0.20239456,123,0.36716923,2.6523044,0.8519593
124,0.6424982,124,0.549818,5.088039,0.8661377
125,0.056282237,125,0.5055794,4.479134,0.8311118
126,0.78229296,126,0.8387697,5.049879,0.7726377
127,0.45574364,127,0.8701091,6.8979244,0.83885455
128,0.5971222,128,0.85339135,6.212052,0.84333396
129,0.622568,129,0.2760248,6.0637302,0.82745665
130,0.5272306,130,0.23426531,2.573642,0.85394824
131,0.5879771,131,0.6323568,4.203544,0.78423667
132,0.10206686,132,0.52316713,4.4593015,0.839125
133,0.48019183,133,0.48877713,5.2065935,0.78031254
134,0.68616873,134,0.73093325,2.5859084,0.81044936
135,0.3357509,135,0.28013524,5.513419,0.848536
136,0.73150736,136,0.47086376,1.8057046,0.8249557
137,0.32208684,137,0.16173263,5.2323494,0.8473873
138,0.39109132,138,0.6581629,4.9715643,0.82775027
139,0.8212723,139,0.815907,4.9253273,0.83386
140,0.2620011,140,0.19516352,5.2280965,0.7766634
141,0.4553753,141,0.49511594,1.605902,0.8148141
142,0.4973886,142,0.36646143,4.602312,0.79531276
143,0.6914282,143,0.37289414,2.3360775,0.8408622
144,0.5167326,144,0.3800586,1.4062582,0.84119135
145,0.8199852,145,0.41393915,2.6979403,0.72793895
146,0.34102988,146,0.59414417,4.185395,0.77655256
147,0.7355081,147,0.18135245,3.5160873,0.79747266
148,0.5221317,148,0.10722785,4.1030793,0.8492069
149,0.427679,149,0.7827168,2.8528988,0.84763914
150,0.3141317,150,0.6502793,5.216997,0.7549325
151,0.4901974,151,0.8250687,6.242896,0.80085105
152,0.6636963,152,0.58619374,5.5929756,0.81611294
