,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight
0,0.32531992,0,0.70242834,0.6102113,0.46400383
1,0.23457615,1,0.6607208,0.83165085,0.6246316
2,0.50805426,2,0.6936451,1.124525,0.6725623
3,0.25583687,3,0.65178156,0.6983817,0.53957725
4,0.2507674,4,0.59199756,0.7147644,0.55934805
5,0.38496032,5,0.6972567,0.8272804,0.6161958
6,0.39669132,6,0.5073924,0.86975354,0.62889874
7,0.44485107,7,0.700972,1.263937,0.7109078
8,0.30164507,8,0.65245855,1.3829697,0.96731126
9,0.27197218,9,0.59479624,1.1674594,1.0404629
10,0.30362648,10,0.61556214,1.1645229,0.70002544
11,0.27223834,11,0.62707996,1.3518677,0.9056179
12,0.25134885,12,0.6755347,1.122792,1.0013452
13,0.3325224,13,0.5837335,1.1413898,1.1132789
14,0.26248357,14,0.6484122,0.8672317,0.66225845
15,0.31976044,15,0.6903076,0.77812594,0.5796073
16,0.35039544,16,0.5956676,1.2368877,1.3511319
17,0.2817824,17,0.7089131,0.75208837,0.61280674
18,0.422598,18,0.7495634,1.3107687,1.0908089
19,0.26067412,19,0.6892852,1.0553384,0.8514487
20,0.27574193,20,0.6964805,0.98384637,0.7273188
21,0.30228746,21,0.51836747,1.0343283,0.7338674
22,0.38565695,22,0.5740631,1.288892,1.0633047
23,0.30466044,23,0.60243636,0.6617798,0.51513153
24,0.3441953,24,0.68341756,1.3654394,1.1229552
25,0.3696615,25,0.7730066,1.018977,0.9819948
26,0.16424322,26,0.29939386,1.236778,0.81872
27,0.24989827,27,0.5761196,1.1833787,0.70826226
28,0.31077075,28,0.586355,1.268589,0.8008937
29,0.29229784,29,0.4455431,1.1715044,0.78675437
30,0.23686549,30,0.3085435,1.0164393,0.8218949
31,0.30650598,31,0.72613406,1.0602428,0.8594499
32,0.25623742,32,0.7345971,0.9882512,0.8615238
33,0.23209555,33,0.40551233,0.9760162,0.6923098
34,0.3070235,34,0.6600908,0.99510723,0.906035
35,0.3476227,35,0.67069435,0.8805243,0.60852355
36,0.3353501,36,0.6706154,0.7361639,0.59229064
37,0.31665128,37,0.7382548,0.9320106,0.6786215
38,0.22838132,38,0.7524819,0.9675781,0.8608927
39,0.26550215,39,0.6241664,0.95866543,0.6865486
40,0.29911146,40,0.72000885,1.2614217,1.0025421
41,0.25202537,41,0.6099252,0.66001475,0.5432223
42,0.31597775,42,0.7337649,0.8614217,0.76538193
43,0.22461317,43,0.6737636,0.797124,0.6724488
44,0.42814252,44,0.6332295,0.88869923,0.6482868
45,0.25655928,45,0.64717376,1.0253801,0.67913324
46,0.36710486,46,0.56801856,1.2353352,0.8524146
47,0.34076872,47,0.73742056,1.1796695,1.1165775
48,0.44117957,48,0.33289668,0.9447327,0.60661757
49,0.44224587,49,0.6096371,1.1558521,0.77760625
50,0.37536108,50,0.6255397,0.95069826,0.69026834
51,0.27763298,51,0.5675807,0.85196424,0.6021288
52,0.29427952,52,0.37730768,1.3160349,0.79138035
53,0.21333213,53,0.6822301,1.1391252,1.0682383
54,0.26389062,54,0.61309963,0.92426574,0.58651674
55,0.36003998,55,0.4996153,1.1474499,0.79358435
56,0.30164188,56,0.64179444,0.8963512,0.6634137
57,0.25782466,57,0.69776076,1.0992275,0.8387173
58,0.2895619,58,0.47880945,0.86489326,0.6285349
59,0.31527478,59,0.25555453,1.015442,0.7154244
60,0.27833924,60,0.7103403,0.7455774,0.5940109
61,0.24771751,61,0.62925833,0.70322263,0.570292
62,0.33650658,62,0.79713833,1.052896,0.93936896
63,0.32368433,63,0.56391954,0.9796837,0.9548816
64,0.31162682,64,0.52911437,0.909705,0.7002932
65,0.54966956,65,0.6384507,0.7923781,0.4800935
66,0.36841175,66,0.51373845,0.72652406,0.4731047
67,0.3603971,67,0.71063113,1.526676,0.8501076
68,0.2603335,68,0.6183802,1.3745742,1.141856
69,0.27521855,69,0.6076841,0.8294344,0.6579329
70,0.3222177,70,0.71823937,0.8728839,0.78566706
71,0.39054838,71,0.7179287,0.851828,0.90880096
72,0.3611386,72,0.7835569,0.9192948,0.63706505
73,0.43002325,73,0.74064153,1.107813,0.875268
74,0.26055127,74,0.44500685,1.4915545,0.913526
75,0.3090224,75,0.60399806,0.83885753,0.7536448
76,0.5401833,76,0.7035228,1.606324,0.7936747
77,0.30677122,77,0.7527152,0.7718816,0.6596815
78,0.33655015,78,0.71655214,0.9172687,0.8755928
79,0.33600244,79,0.7551494,1.3595515,0.92964107
80,0.3151121,80,0.6931006,0.8786415,0.6490824
81,0.3127428,81,0.6799143,0.6903029,0.47702593
82,0.3463823,82,0.6372716,1.3001038,0.97697777
83,0.29251486,83,0.765922,1.0020572,1.01251
84,0.25910008,84,0.66917783,0.732237,0.6322786
85,0.42423108,85,0.6499767,1.0408924,0.7843017
86,0.32559273,86,0.6562437,0.91873163,0.71342117
87,0.27402008,87,0.6432811,1.0356975,0.86629224
88,0.2630606,88,0.63349426,1.1646787,0.9214495
89,0.24895194,89,0.5595415,1.2345159,1.1810137
90,0.37611976,90,0.632666,1.3255308,0.8502275
91,0.38717413,91,0.34051242,0.86277395,0.59246325
92,0.33873418,92,0.67889476,0.896725,0.6957358
93,0.259944,93,0.2591985,1.1979005,0.7420748
94,0.3363532,94,0.6801746,0.86961776,0.6542063
95,0.33609778,95,0.512922,1.0431131,0.9034809
96,0.41677624,96,0.6617634,0.70460755,0.55717903
97,0.32721406,97,0.67538583,0.93449396,0.8176904
98,0.37949616,98,0.7277485,0.74641454,0.5593142
99,0.31274414,99,0.74165905,0.8001964,0.62601256
100,0.29509324,100,0.71375054,0.95938975,0.73028857
101,0.34816188,101,0.45784625,1.2169865,0.65179384
102,0.40354195,102,0.53792113,1.0841519,0.7186907
103,0.35361424,103,0.6526063,1.0947506,0.638651
104,0.24976614,104,0.79349256,0.9387864,0.7853707
105,0.33201,105,0.70329994,0.81026435,0.7086554
106,0.25077692,106,0.71378624,0.8835626,0.9490099
107,0.40731463,107,0.6038572,1.019611,0.71083117
108,0.3995016,108,0.7424229,1.2619102,0.8890211
109,0.34082764,109,0.6076189,0.9323641,0.6699432
110,0.31718794,110,0.5614183,0.8584319,0.6094342
111,0.2923418,111,0.7114101,0.7285197,0.5727827
112,0.34697893,112,0.26158512,0.8398934,0.82877064
113,0.29093838,113,0.72116613,0.91362727,0.6316268
114,0.30771998,114,0.5920286,0.87659436,0.6023118
115,0.4492657,115,0.42360815,1.3587717,0.8404671
116,0.43047702,116,0.59855705,1.3722912,0.8578967
117,0.35591882,117,0.49074885,1.6713618,1.1206765
118,0.30644652,118,0.555571,1.2053572,1.433264
119,0.28737575,119,0.75629675,1.4382672,1.2722211
120,0.32705957,120,0.65010875,0.8594061,0.55463487
121,0.2608935,121,0.5813661,0.8645383,0.7061777
122,0.3494619,122,0.3020005,0.9388077,0.5384517
123,0.36046228,123,0.47889113,1.0251883,0.6721689
124,0.32177198,124,0.6957002,1.3369477,0.8939148
125,0.29429266,125,0.6310937,0.8893791,0.76029986
126,0.29656327,126,0.78497815,1.0669067,0.7235347
127,0.4288101,127,0.7184319,1.2467332,0.92624366
128,0.32388657,128,0.7494463,1.1292133,1.0028747
129,0.34098548,129,0.65029407,1.4955405,1.0243772
130,0.3374663,130,0.56353295,0.84430027,0.7154265
131,0.21307698,131,0.69433767,1.0771801,1.0052322
132,0.2481625,132,0.5481676,1.0029504,0.7490503
133,0.27512616,133,0.6479534,0.9726076,0.97500855
134,0.3229553,134,0.71332836,0.99335694,0.6499879
135,0.4206436,135,0.49621668,1.3139693,1.0069504
136,0.28137422,136,0.6922698,0.77498084,0.61449635
137,0.32962412,137,0.3659292,1.0788928,0.8367592
138,0.25140625,138,0.67322725,1.1226072,0.9992312
