,locs0,locs1,locs2,subject
0,0.8568967,0.05244437,0.990716,0
1,-0.46365708,-0.13834816,-1.8463442,1
2,0.054538935,0.98404324,-0.8339372,2
3,1.5398898,0.621264,-1.2759552,3
4,-1.3575948,-1.4633385,-0.6054812,4
5,-0.010808229,0.6450957,0.34533942,5
6,0.095115125,-3.4586415,-0.96611977,6
7,-1.2081169,1.2886286,-0.61476266,7
8,1.2313758,0.0017800629,-1.2884508,8
9,-1.2523035,0.66888237,0.81878394,9
10,0.29160064,-1.6096466,-0.067451686,10
11,1.2596002,-0.31631482,-1.1715804,11
12,0.14279878,0.5749992,-0.40896106,12
13,-0.15188032,-1.0540915,-0.3283922,13
14,0.4600232,-0.120213956,-1.1400936,14
15,0.5273671,1.5211741,0.107129216,15
16,-0.44883984,0.46188822,-1.069731,16
17,0.38656422,0.051906526,-0.34727412,17
18,-1.3276932,-0.37344784,-1.1259798,18
19,0.5779838,0.378815,-0.26317,19
20,0.46470347,0.73508686,-0.86167985,20
21,1.0263702,-0.4859216,1.1585616,21
22,0.6351475,0.73207676,-0.4951823,22
23,0.15026161,0.5321455,0.007166922,23
24,-1.1896796,-0.14615226,-1.1424173,24
25,1.618175,0.6385313,-0.39735872,25
26,-1.0208344,0.5950152,-1.1905975,26
27,0.73076093,0.5309127,0.4390584,27
28,1.0078334,-0.242414,-0.75349444,28
29,0.43525672,1.014019,-0.7334279,29
30,-1.1523932,0.1247423,-0.93876374,30
31,0.16507171,-1.4008429,-0.5006622,31
32,0.094554305,0.31711036,-0.9456155,32
33,1.275611,-0.74148136,-0.73001057,33
34,-0.08041626,0.63890505,-0.27661985,34
35,0.490859,-0.1978622,-0.6540123,35
36,-0.6365396,-0.117001474,-0.7752388,36
37,0.84086853,1.0936978,-0.07704067,37
38,-0.3047542,0.7479222,-1.45942,38
39,-1.0455362,-2.0428205,-1.0076692,39
40,1.7673856,0.5440532,0.6776953,40
41,-1.2142658,-0.38103375,-1.1104208,41
42,-0.5317712,0.14905012,-0.43987912,42
43,-0.73436534,-0.13524756,-1.1515933,43
44,1.4035391,-0.52956414,-0.33267486,44
45,-1.0029556,-1.2150414,0.65189123,45
46,0.067199945,-0.38503373,-0.916297,46
47,1.5282911,0.60782015,-0.25237742,47
48,-2.4418905,1.8277053,2.0715911,48
49,0.2911922,-0.54856783,-1.6322957,49
50,0.74079704,0.90026224,-0.462459,50
51,-0.97114956,0.028097898,0.4776864,51
52,-0.111810684,0.18513617,0.37764782,52
53,0.9296087,0.2680767,-0.28972146,53
54,-1.0443141,1.1271464,-0.86558986,54
55,0.4526887,1.0858123,0.297615,55
56,-0.63755065,1.0315154,-0.6955234,56
57,0.1652455,-0.55271935,0.089847386,57
58,0.18055439,-2.20756,0.12961332,58
59,-2.800661,0.48284364,-0.6523969,59
60,-1.8461791,0.359862,0.7255016,60
61,-4.056692,-3.0776317,-0.5934092,61
62,-0.45826292,-1.0617955,-0.4030301,62
63,-0.8880323,0.41929787,-0.58886695,63
64,0.50736415,0.15307742,-1.8178096,64
65,0.2393722,-0.53804433,-0.28341937,65
66,-1.7991811,-0.35932618,-0.70278144,66
67,0.91473275,1.2333696,-0.75225186,67
68,1.2503107,0.6789925,-0.7490377,68
69,-0.9331833,0.8321522,-0.40240544,69
70,-1.7369812,1.1558592,-0.57051957,70
71,1.2504314,0.8998916,-0.32786036,71
72,-1.0687733,-1.0658767,-0.4618057,72
73,0.46773857,1.1045175,-0.39290255,73
74,-1.2628107,1.5725927,-1.0271945,74
75,-3.742147,0.30454388,-1.6269982,75
76,0.82025313,-0.49058142,-0.603779,76
77,-1.3286066,1.2380145,-0.3720281,77
78,0.040608197,-0.77933764,0.36810803,78
79,0.3103573,-0.054175317,-0.45392942,79
80,1.6646844,0.07536286,-0.54027367,80
81,-0.1272769,1.9408069,-0.21395871,81
82,1.2822825,0.40532562,-0.8962743,82
83,-0.99552995,1.5394149,-0.046491444,83
84,-1.352932,0.43267408,-0.4328739,84
85,-0.18823454,0.7683448,-0.3684422,85
86,-0.5592152,-0.8948189,-0.16525292,86
87,1.6804368,0.6857047,-0.3148151,87
88,-0.90424776,-0.6626272,-0.41732198,88
89,0.9156947,-0.74320966,-1.0506314,89
90,-1.2083952,-1.1941013,0.5234202,90
91,-0.080943584,-0.06425351,-1.2173157,91
92,1.4640625,-0.3509776,-0.42451918,92
93,-0.37178725,0.7882055,-0.34338012,93
94,-2.4147558,-0.46749312,0.19607337,94
95,-0.30253804,0.1403335,0.19830473,95
96,-1.0142167,-0.67081517,0.11967416,96
97,1.1480603,-0.55561656,0.48032343,97
98,-0.70516354,-0.13563335,0.12854277,98
99,1.656486,0.35568756,-1.2619158,99
100,-0.011422902,0.955729,-0.54004776,100
101,-2.0031927,0.13971132,-2.3355696,101
102,-1.1371173,-0.39735746,0.972492,102
103,2.2366662,-0.6048808,-1.0361712,103
104,-1.7423804,1.0381413,-0.15719476,104
105,-1.1213468,-0.12484473,-1.7259037,105
106,-0.8310664,-1.2722433,-0.51600873,106
107,0.93058103,-1.3159873,0.7848617,107
108,-2.048665,-1.1289642,-0.23346803,108
109,-1.877816,-0.37244743,-0.7247746,109
110,-1.5517926,-0.09749785,-1.5818706,110
111,-1.670686,0.07570228,-0.66795206,111
112,0.38194433,-0.996045,-0.04439497,112
