,locs0,locs1,locs2,subject
0,-0.2406551,-0.69799364,-0.0785006,0
1,-2.1904507,-1.4155457,-0.6803552,1
2,-1.8214514,-2.576031,0.25744867,2
3,-0.910918,-2.0645952,-0.24080569,3
4,-2.3924727,-2.6228223,0.3322143,4
5,-2.7969625,-1.7711097,-1.453468,5
6,-3.625723,-1.3011792,-0.9081761,6
7,0.78374636,-1.2803807,0.12538934,7
8,-0.087099284,0.67607164,-1.2164915,8
9,1.3919262,2.3673472,-1.3540075,9
10,-0.90872467,-1.6067566,-1.3223127,10
11,0.06914103,0.17259446,-1.8506064,11
12,2.225167,-0.50817025,-1.37832,12
13,1.5536027,0.4955365,-1.1381702,13
14,-0.3870262,-0.06994483,-1.0010254,14
15,-1.0495814,3.2006564,-1.0261679,15
16,-3.3249846,1.3205531,-3.4154549,16
17,1.229688,0.7490747,-0.16847193,17
18,-0.43177086,-1.7777224,-0.8310385,18
19,-0.92386043,1.2601501,-0.38255897,19
20,-1.3049092,-1.4296473,-0.33244026,20
21,-0.9605092,-0.8724459,0.9359081,21
22,-3.1034489,-4.8784504,-0.09878147,22
23,-1.9062458,-1.4544328,-1.3635088,23
24,-0.92187804,-1.9055786,-0.66265285,24
25,-0.8785374,-1.4553565,-0.33229262,25
26,-4.0298114,-2.1496997,-1.3283405,26
27,2.129952,-2.9210865,-0.54236305,27
28,-1.1361338,-0.5677259,0.10931456,28
29,-1.9397713,-3.4684248,0.03738053,29
30,-2.2613645,-2.7608738,0.13678351,30
31,0.62189126,2.7117033,-1.4368225,31
32,-2.2276008,-3.073273,0.28136995,32
33,1.1160247,-0.87108034,-0.41275784,33
34,0.16408333,-0.528416,-1.2304279,34
35,-1.0401617,-1.0426984,-0.3888558,35
36,-3.4269216,-3.6453922,-2.2587583,36
37,-3.9288156,-1.7944341,-1.5122243,37
38,-2.4926596,-2.4646568,-1.3864357,38
39,-2.0810742,-1.2860892,-0.92774963,39
40,1.4615142,-0.12236574,-0.04599364,40
41,-2.9992175,-4.6563563,-1.7099614,41
42,-0.12190026,0.17018804,-0.6450096,42
43,-1.065784,0.9705957,-0.1543735,43
44,-2.8602123,-1.827096,-0.9048314,44
45,0.70842546,-0.038695537,-0.68373215,45
46,-2.4477873,-7.557463,2.8964994,46
47,-0.33837807,-0.2801702,-1.0116119,47
48,1.2707963,0.5799649,-1.3517079,48
49,-1.252074,-1.3547075,-0.91301,49
50,-3.5196145,2.251122,-1.7419153,50
51,0.011042327,-0.479333,-0.67708933,51
52,-3.0174668,-1.4832137,-2.5091174,52
53,-0.3538141,-3.170245,-0.3332223,53
54,-3.6729288,-3.757028,-1.9872948,54
55,-1.6566296,-1.9443303,0.58795595,55
56,-3.5950885,-4.5753837,-0.018624224,56
57,-0.34286016,-2.7417853,0.74706167,57
58,-0.34884644,0.6853064,-1.8359059,58
59,-0.8699379,-0.8150255,-1.1827964,59
60,-1.2145736,-1.3908386,-0.3261623,60
61,-1.0434089,-1.1667603,-1.428601,61
62,-0.20084342,-0.8531947,-0.54931784,62
63,-3.709967,-4.986127,-0.83194447,63
64,-1.2587574,-1.1447475,-0.1791185,64
65,-0.62162507,-0.79320556,-0.7884387,65
66,0.44560355,-0.6532397,1.2567555,66
67,-0.8259594,-2.0337672,-0.12072289,67
68,-1.1598251,-0.78270125,0.2669404,68
69,-0.2628455,-0.88683033,-1.8144374,69
70,-2.1263194,-2.8718617,-1.5616608,70
71,-3.6226907,0.65203655,-0.9968481,71
72,-2.6615403,-2.8814392,0.82599974,72
73,-3.6190372,-0.1970253,-0.76520705,73
74,0.22898304,0.35000783,-0.020222425,74
75,-0.10515503,0.41917512,0.4555969,75
76,-0.8300917,-1.8646955,-1.560089,76
77,1.2480981,-0.41491425,-0.82550776,77
78,-0.29784253,-0.876017,-2.300826,78
79,0.09823543,-1.2790558,-0.09901142,79
80,-0.7107014,0.37588495,-0.47540158,80
81,0.43447638,0.8733004,-1.6596566,81
82,-3.660822,-4.401243,1.021865,82
83,-0.35942602,1.2239064,0.3862936,83
84,-4.7552195,-0.44343284,-1.5367712,84
85,-0.17282698,0.44562134,-0.20957643,85
86,0.3745345,-0.3883198,-1.7240208,86
87,-0.7525661,-0.45183975,-0.49625185,87
88,0.75263244,-1.3131849,-0.57939476,88
89,0.01712668,-2.0776043,0.04604601,89
90,-0.56602424,-0.28435358,0.12732172,90
91,-4.8607674,-5.497537,2.3255086,91
92,-0.7058819,-0.97302073,0.81664795,92
93,-1.2360607,-0.5931833,-0.7412653,93
94,0.58926946,-1.8695233,-0.1173533,94
95,0.7947009,1.0830935,-1.4942498,95
96,-5.067207,-4.7113113,-1.1675113,96
97,-3.7649674,-3.7935104,-0.7333026,97
98,-1.120146,-0.0019575655,-1.4985409,98
99,-0.12696056,0.14418715,-0.11788678,99
100,-2.5604749,-2.417929,-0.06055969,100
101,0.11770554,0.5997343,-0.23221286,101
102,-2.5456393,-1.8749937,-0.038197696,102
103,-1.548885,-2.404512,-0.71171707,103
104,0.014536202,-0.7051886,0.43878192,104
105,-3.527523,-6.141816,0.8087467,105
106,-1.3636856,-1.1183499,-0.29137552,106
107,-0.79125804,-0.27782834,0.14192033,107
108,-2.7284918,-2.3525844,-0.42361617,108
109,1.2882829,0.83593935,-0.95089513,109
110,-3.6185386,0.4315753,-1.5382552,110
111,-0.5684206,-3.1227827,-0.848889,111
112,-1.8878155,-4.012952,-0.3882631,112
113,1.6068695,0.32982928,-0.9207872,113
114,-2.085405,-1.8231703,-1.3259454,114
115,-1.725673,-0.9846988,-1.5605184,115
116,-0.7238194,1.2182796,-1.9954469,116
117,-1.5926064,-1.1524224,-1.7252213,117
118,-0.15646094,-0.48620033,-1.0930892,118
119,2.1108613,-2.4181318,-0.72518975,119
120,-2.5465903,-7.3757424,0.89771926,120
121,1.863047,0.12493092,-1.0186949,121
122,3.57767,0.6663623,-1.0771295,122
123,-1.0537225,-1.4543397,0.6413635,123
124,-3.449543,2.6796818,-1.0967292,124
125,0.0084787905,0.88275737,-1.048638,125
126,-3.3167443,-5.3955817,-1.0129168,126
127,1.895174,1.9620664,-1.3261869,127
128,-3.8838558,-1.2118328,-2.2341366,128
129,-1.2405449,-0.38827428,-1.1688204,129
130,-3.9159997,0.011545628,-2.4116066,130
131,-0.11154397,-1.2115755,-0.7759034,131
132,1.7039142,-0.81803465,-1.655577,132
133,-4.2021065,-5.468078,-0.07394552,133
134,-3.2705588,-3.8869712,-0.89742225,134
135,0.34703535,-0.45702565,0.6766534,135
136,-0.37233433,0.10309431,-1.101223,136
137,-1.5727812,-2.1171908,-0.8306565,137
138,-2.3417406,-1.9300795,-0.61980444,138
139,2.029452,1.0879762,-0.7959204,139
140,-2.6278856,-5.9155273,-0.7060776,140
141,-1.2359562,-1.1734643,-1.5076478,141
142,-0.5139892,-1.118768,-1.8144548,142
143,-0.038278647,-0.35406023,-0.19801773,143
144,-3.245933,-3.3861575,-1.3105738,144
145,-3.695798,-2.4944668,-1.0326517,145
146,-1.840313,-2.4873884,0.13252056,146
147,-0.8447732,-2.2874706,0.547956,147
148,2.665193,-0.34595126,-0.42582273,148
149,-1.1886955,-1.7771935,-1.3821393,149
150,-1.0754833,-2.2512994,0.2456097,150
151,0.23223528,-0.546965,-1.2934573,151
