,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight,inferred repetition
0,0.5467903,0,0.5874431,2.5905476,3.9393141,0.20436148
1,0.62351143,1,0.35724106,2.3240893,3.5337603,0.2523928
2,0.48715088,2,0.24506117,3.1087828,3.939783,0.33904126
3,0.20192215,3,0.4116314,1.9317026,3.4932737,0.13713467
4,0.17824057,4,0.2619121,1.7743484,4.7411556,0.23204468
5,0.6477311,5,0.17414913,1.2041495,0.63422436,0.32595584
6,0.537541,6,0.09075832,3.887522,3.8259802,0.4147761
7,0.36887464,7,0.6712593,2.6486723,3.626702,0.22534652
8,0.7681615,8,0.7567142,3.5922148,1.3133494,0.5537594
9,0.28770348,9,0.66396105,2.2414775,1.1821922,0.1650875
10,0.42226952,10,0.570456,2.686167,1.7563004,0.27088127
11,0.6494718,11,0.76392186,2.8388424,1.1093066,0.11017533
12,0.61369354,12,0.78175014,2.1350029,1.0078198,0.33105585
13,0.21008581,13,0.7798346,1.4311945,0.8553582,0.11790941
14,0.25150183,14,0.7651106,1.5475205,4.0512767,0.114867575
15,0.28725982,15,0.8183886,1.4337032,2.935415,0.11903773
16,0.13940214,16,0.08684853,2.0456636,3.1847305,0.3240819
17,0.42813063,17,0.77712846,2.2455878,2.0461485,0.28493884
18,0.17510183,18,0.4584082,1.4981004,1.59262,0.09112923
19,0.61200416,19,0.6318102,2.9136045,1.9946388,0.11502085
20,0.27405864,20,0.39720172,2.5283427,3.6997504,0.12728633
21,0.2913514,21,0.49839723,2.5745137,3.9557924,0.24633175
22,0.56684947,22,0.16595729,3.8845572,3.4221199,0.37252846
23,0.7393792,23,0.46138075,4.3448024,2.543042,0.45115316
24,0.20706347,24,0.40971115,3.5481815,1.1586646,0.20102432
25,0.6822578,25,0.5610341,3.798332,4.1376863,0.19671541
26,0.35899723,26,0.0660795,3.3049242,4.1855702,0.28344434
27,0.47020516,27,0.7565588,2.7321167,2.017332,0.17148623
28,0.32250062,28,0.67687243,1.8629686,4.374916,0.14401245
29,0.7013027,29,0.39188567,3.8681533,2.9607162,0.37619698
30,0.61899143,30,0.26493022,3.561582,2.6511,0.3680052
31,0.27489224,31,0.7817633,1.3994049,2.1726449,0.1021894
32,0.65719527,32,0.4022129,3.898053,3.9457154,0.41543132
33,0.5163872,33,0.7519683,2.9846733,2.2101479,0.19031872
34,0.45268232,34,0.71383584,2.7883604,3.2800596,0.12772897
35,0.19792196,35,0.53464675,2.3273242,1.0030223,0.12935953
36,0.5203817,36,0.08723479,3.7189293,3.8109643,0.35345677
37,0.54162747,37,0.101918414,3.7243938,3.6791778,0.263517
38,0.5422382,38,0.31175813,3.2331278,3.3246775,0.3130255
39,0.748283,39,0.40184948,3.8445594,1.5487937,0.41819188
40,0.3379341,40,0.79799414,1.7602332,3.0129926,0.21131517
41,0.5918581,41,0.20731436,3.8998413,3.5931299,0.34012005
42,0.30436194,42,0.6789503,1.0603876,0.8426003,0.15382822
43,0.40882242,43,0.74688107,2.3901844,2.770057,0.1886247
44,0.49378362,44,0.25205687,3.677229,2.3125496,0.3131255
45,0.22222619,45,0.62976724,1.7263172,2.6112123,0.1199579
46,0.21425363,46,0.17187731,3.0024114,4.5655656,0.34792748
47,0.24633105,47,0.63726205,0.9157961,1.1400535,0.1524888
48,0.7019702,48,0.7769168,3.5349267,1.8000872,0.28028286
49,0.392532,49,0.3979921,2.377811,2.7138195,0.15980792
50,0.5203631,50,0.10287798,3.9607673,3.8019881,0.4062595
51,0.2854482,51,0.59220386,2.0150836,3.5211518,0.18056165
52,0.63383365,52,0.23154505,3.8878665,3.1067169,0.30708084
53,0.24037749,53,0.47637647,1.7375684,4.6335597,0.17169696
54,0.6031342,54,0.22024587,4.008402,3.3828297,0.36142364
55,0.4522071,55,0.3068351,3.1484807,1.5597795,0.24514838
56,0.4733603,56,0.12206383,3.371931,3.489584,0.27008772
57,0.27069935,57,0.39397928,2.109078,4.49509,0.20177838
58,0.25292644,58,0.6893089,1.8870118,1.4601814,0.15561461
59,0.34683535,59,0.4989813,2.9429934,3.520841,0.13762793
60,0.60122466,60,0.49874836,3.4048173,2.527055,0.3765721
61,0.4713786,61,0.45501667,2.5991127,3.1813936,0.21691707
62,0.53010654,62,0.58137673,3.062011,3.9570718,0.22148055
63,0.6152832,63,0.18624614,4.071144,2.972368,0.3605246
64,0.26023525,64,0.43096772,2.2992406,3.090854,0.15545782
65,0.5102678,65,0.5601628,2.639463,2.544407,0.2539602
