,inferred policy rate,subject,inferred reward rate,inferred dec temp,inferred habitual tendency
0,0.15859295,0,0.06050785,5.656739,0.88040906
1,0.748551,1,0.66530615,4.0750866,0.89768726
2,0.15079865,2,0.05944556,5.5920997,0.889432
3,0.39901727,3,0.30953467,2.5311484,0.91173536
4,0.0740665,4,0.055877406,2.7882564,0.89299107
5,0.64716923,5,0.4881593,2.5117755,0.9049926
6,0.28486145,6,0.2339815,4.0601635,0.90149057
7,0.4774646,7,0.15193176,6.0115175,0.89328235
8,0.7209143,8,0.69300365,2.2152724,0.8932202
9,0.034625668,9,0.33540586,1.1571907,0.8933599
10,0.07212757,10,0.081590824,3.0358233,0.8938494
11,0.19727252,11,0.676381,2.1524034,0.88156813
12,0.6822136,12,0.62422776,3.9153793,0.9045383
13,0.08161114,13,0.108252384,4.2472296,0.8830944
14,0.18336768,14,0.06658242,3.6043339,0.8965497
15,0.64933175,15,0.43592155,4.785474,0.8962692
16,0.034389753,16,0.087427534,2.1975055,0.89012486
17,0.75919664,17,0.40548217,3.1504867,0.8990297
18,0.23242617,18,0.34701508,3.1883388,0.90760833
19,0.76703346,19,0.5343842,2.5759423,0.8974951
20,0.33833364,20,0.111688495,3.2125738,0.89946145
21,0.40893275,21,0.38678187,2.3010383,0.90618545
22,0.03089208,22,0.22998516,1.9222374,0.89007884
23,0.20507605,23,0.118024684,2.5978882,0.8982296
24,0.2598664,24,0.24749674,2.7166786,0.90267956
25,0.26013684,25,0.18645747,3.0301692,0.9040834
26,0.2745587,26,0.15175326,4.894667,0.9047606
27,0.44141102,27,0.37948537,4.1070848,0.8948281
28,0.36606306,28,0.38719994,2.8929994,0.9043473
29,0.16043624,29,0.15815842,3.1941473,0.8919415
30,0.36822525,30,0.6220867,1.484853,0.91135985
31,0.49301055,31,0.67571265,3.8158073,0.90598685
32,0.64785194,32,0.462689,2.482914,0.902227
33,0.035481412,33,0.45662072,1.9392976,0.8878549
34,0.26569325,34,0.18652304,3.282732,0.88990027
35,0.07368132,35,0.13165689,1.3184569,0.8991542
36,0.63290614,36,0.6496848,3.052417,0.896952
37,0.048645448,37,0.035584085,6.099901,0.8916622
38,0.67104775,38,0.35500652,3.1175835,0.9078886
39,0.18976355,39,0.042993654,6.240666,0.8834115
40,0.6263162,40,0.5930322,2.8663404,0.884706
41,0.04093789,41,0.22864042,3.2775495,0.8743475
42,0.17168026,42,0.23510908,1.9494482,0.9003782
43,0.04244564,43,0.23918997,3.8904562,0.87969977
44,0.4495432,44,0.50092494,3.326578,0.89927644
45,0.043429527,45,0.724786,1.073368,0.88865674
46,0.16886781,46,0.301915,3.2474697,0.89925605
47,0.52669436,47,0.14415534,2.6194859,0.89489377
48,0.23289539,48,0.44963294,4.3350825,0.89871997
49,0.12023828,49,0.08766997,2.5153613,0.888947
50,0.6108254,50,0.74971944,1.9694095,0.87918127
51,0.047574632,51,0.047090825,3.812044,0.8936147
52,0.11465801,52,0.19871253,1.9029006,0.89671713
53,0.13899198,53,0.15203308,2.0730753,0.88355005
54,0.0555431,54,0.082075,4.1706896,0.8941881
55,0.03747402,55,0.16914462,2.5668747,0.88353896
56,0.5563465,56,0.34370854,4.058302,0.90118176
57,0.02744704,57,0.06456936,6.5861797,0.9021238
58,0.21811211,58,0.2338102,4.932226,0.9012158
59,0.03701768,59,0.024243798,5.3663583,0.88608897
60,0.32405895,60,0.43857616,4.245705,0.9083176
61,0.15138686,61,0.30169988,3.0621085,0.90214354
62,0.03886223,62,0.19839698,2.574631,0.88600194
63,0.05398957,63,0.048590988,1.9368678,0.8940522
64,0.034510612,64,0.18272913,1.6639609,0.8919707
65,0.028106859,65,0.5800244,1.0365293,0.90049815
66,0.5734869,66,0.6991834,1.5443218,0.88484925
67,0.12064403,67,0.20107666,1.3422296,0.9038801
68,0.5057372,68,0.34822553,3.0958164,0.90116936
69,0.52780086,69,0.67352,4.48082,0.8881853
70,0.69695556,70,0.7102639,2.8361425,0.91240156
71,0.32690248,71,0.65376323,3.8665533,0.9072865
72,0.031804994,72,0.74143445,1.0124774,0.8945442
73,0.54296756,73,0.32514822,4.331849,0.89161116
74,0.058314808,74,0.2893695,3.9092214,0.8935755
75,0.031383537,75,0.50056404,1.2912574,0.89289695
76,0.34995958,76,0.25967327,3.047881,0.90566975
77,0.14921165,77,0.2850224,4.0576386,0.89663255
78,0.6932338,78,0.3827998,5.146728,0.90270954
79,0.48151064,79,0.6680967,1.8619453,0.9035768
80,0.027680524,80,0.42952922,3.3232136,0.89741856
81,0.21394974,81,0.088144556,5.3500137,0.90485615
