,inferred policy rate,subject,inferred reward rate,inferred dec temp,inferred habitual tendency
0,0.5970963,0,0.16312645,7.459078,0.80339736
1,0.4906851,1,0.18020019,7.3673563,0.87128687
2,0.417667,2,0.29803783,2.330641,0.791625
3,0.13030234,3,0.078365736,2.6038885,0.862235
4,0.4490424,4,0.38099873,3.143298,0.8690443
5,0.31835037,5,0.119449325,2.5245764,0.85795397
6,0.4819314,6,0.2179824,5.1731515,0.87138915
7,0.63627964,7,0.3997779,2.0789766,0.30027044
8,0.27422136,8,0.20744625,5.9914107,0.8513778
9,0.4752561,9,0.27319762,4.5142255,0.8399727
10,0.33645,10,0.18896967,7.8713703,0.86669093
11,0.37449092,11,0.19004115,6.551973,0.8612388
12,0.32597986,12,0.13906947,8.366472,0.78636754
13,0.72567505,13,0.2683263,6.7600474,0.86780417
14,0.35249144,14,0.16664854,4.0786333,0.86898595
15,0.43158525,15,0.31094494,5.384487,0.86074424
16,0.32442003,16,0.124876365,3.2421255,0.87547445
17,0.2829729,17,0.39512464,4.993158,0.72506297
18,0.40235987,18,0.3428894,5.8624415,0.88595563
19,0.37520477,19,0.17381077,2.8268502,0.8002767
20,0.20683187,20,0.11669871,2.3517733,0.6737274
21,0.49449444,21,0.27291945,4.138278,0.4139076
22,0.4287338,22,0.15630093,5.6029263,0.8696704
23,0.58237976,23,0.255205,5.0263205,0.87431777
24,0.4699748,24,0.43922272,2.9081514,0.51974803
25,0.39678058,25,0.20833057,7.113235,0.82460725
26,0.4424821,26,0.14538242,1.4827654,0.71694106
27,0.49810225,27,0.26248088,6.982161,0.84130055
28,0.33145028,28,0.3188407,1.8908818,0.76546425
29,0.3503839,29,0.23634256,3.0511558,0.81021464
30,0.583236,30,0.19111206,4.3625665,0.8401199
31,0.13203433,31,0.2841505,2.633626,0.8059541
32,0.67835337,32,0.39905602,2.0897436,0.7985984
33,0.049311664,33,0.3879832,4.1818857,0.8001732
34,0.507112,34,0.11340066,1.5195026,0.2677411
35,0.44852203,35,0.12003233,2.404628,0.8909857
36,0.44017363,36,0.140473,1.8237696,0.78243345
37,0.09995152,37,0.3103093,4.2438664,0.8370054
38,0.25633597,38,0.16318771,4.448283,0.8660835
39,0.24190627,39,0.113334544,2.6460118,0.83432037
40,0.62217194,40,0.43541637,2.118688,0.7904342
41,0.6011079,41,0.1548164,2.0176003,0.61025316
42,0.21014601,42,0.160045,2.7350664,0.8386538
43,0.6281645,43,0.3245818,7.9060516,0.8444242
44,0.44618145,44,0.18404923,2.8582227,0.50156516
45,0.5731512,45,0.4093093,5.135868,0.738809
46,0.47099125,46,0.22791116,5.2872667,0.7733098
47,0.44962958,47,0.20117195,5.8254633,0.84968483
48,0.72030103,48,0.34444293,5.030006,0.8591949
49,0.4875963,49,0.26007363,4.8297997,0.71433496
50,0.48662415,50,0.501691,6.0214825,0.8447804
51,0.48466495,51,0.37868407,2.412374,0.36877424
52,0.5696753,52,0.24331377,5.472831,0.8280807
53,0.545678,53,0.18281387,3.3473945,0.7688338
54,0.61083716,54,0.27866998,4.330035,0.8558778
55,0.6327187,55,0.382047,4.008068,0.6426479
56,0.6203942,56,0.22315335,5.014804,0.8776316
57,0.04040987,57,0.15501823,2.8893023,0.8675309
58,0.653401,58,0.21549164,6.732163,0.8291983
59,0.31478015,59,0.11099792,7.9679413,0.8555408
60,0.5961814,60,0.2665146,3.413224,0.46912938
61,0.4101765,61,0.05795671,4.7242374,0.8606175
62,0.6581954,62,0.6374629,5.196463,0.7203811
63,0.59854287,63,0.48771173,2.735122,0.83129007
64,0.4579679,64,0.22261912,7.5017014,0.8461631
65,0.7493911,65,0.49416903,3.209053,0.76457274
66,0.39175627,66,0.10774004,5.945512,0.862082
67,0.080538556,67,0.23455714,6.562043,0.8213182
68,0.5695873,68,0.14248398,3.3908281,0.69744325
69,0.27885875,69,0.15559565,1.8607858,0.5965647
70,0.5284215,70,0.39424214,4.520969,0.8606753
71,0.46510565,71,0.57279855,4.409018,0.76149124
72,0.7550554,72,0.5971595,8.637139,0.6066071
73,0.5145088,73,0.2791391,3.438602,0.87236834
74,0.48973268,74,0.09754585,6.4014325,0.83441114
75,0.5961943,75,0.5251231,3.551117,0.46141052
76,0.36332515,76,0.14207546,3.456769,0.85234433
77,0.41452485,77,0.7328185,8.548472,0.6519869
