,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight
0,0.44114867,0,0.5080764,1.7925369,1.9697894
1,0.54234976,1,0.568298,2.5048761,2.6988604
2,0.3099776,2,0.71237475,0.91097206,0.68711674
3,0.58158994,3,0.20479974,0.68902504,0.53236216
4,0.6862998,4,0.51991713,1.3197846,1.0039264
5,0.25349483,5,0.36285865,2.1370955,0.75167906
6,0.3931515,6,0.5456481,1.9475491,1.5410455
7,0.3235304,7,0.6711736,0.8512973,0.6226977
8,0.4262726,8,0.4322438,1.3901665,1.8960776
9,0.28761256,9,0.5419188,2.2004335,0.9721205
10,0.5794898,10,0.530318,2.1930966,2.8275652
11,0.5470564,11,0.5245626,1.5908884,2.0737078
12,0.4738858,12,0.46584046,1.816626,2.4036632
13,0.33499554,13,0.6361981,2.8559642,2.2564592
14,0.5223783,14,0.41504422,1.4092364,0.8925492
15,0.50388557,15,0.6490238,1.9513052,1.2858652
16,0.43292513,16,0.3644002,1.7477021,0.87205595
17,0.44715124,17,0.5819903,1.2496793,1.0520843
18,0.7512919,18,0.68477225,3.5464432,1.2769512
19,0.32655478,19,0.5258519,1.0843233,0.9042079
20,0.38433024,20,0.3730998,0.77213585,0.4358099
21,0.1888045,21,0.554616,1.5148814,0.9362444
22,0.4662531,22,0.47653776,2.0554357,0.79567975
23,0.602156,23,0.60332155,1.48605,2.4459946
24,0.2135462,24,0.6464163,1.0157803,0.9335332
25,0.6271295,25,0.4951751,1.7278726,2.1632447
26,0.4077725,26,0.60060626,0.66786075,0.5114701
27,0.3372121,27,0.5798823,2.3780797,3.563956
28,0.56312567,28,0.5860181,0.7846792,0.59769654
29,0.3253563,29,0.49627036,1.5153446,0.69707054
30,0.53787535,30,0.523504,1.8688891,0.78359354
31,0.17157665,31,0.4036596,1.2620438,0.771324
32,0.26777953,32,0.65687793,0.93656206,0.8420853
33,0.5800002,33,0.5151287,1.5575646,0.9446355
34,0.22251698,34,0.64427364,0.640697,0.46098617
35,0.7462972,35,0.56380373,2.0447063,0.63502854
36,0.3023867,36,0.58514005,0.93555355,0.6899684
37,0.67086697,37,0.43941712,1.3502314,0.8699646
38,0.72945154,38,0.4185283,1.2184052,0.71248794
39,0.2942232,39,0.3397352,1.6409062,0.70655686
40,0.7455453,40,0.6869954,1.1162332,0.52505887
41,0.21008514,41,0.62276906,0.78463614,0.6077072
42,0.5509976,42,0.33926043,0.99427176,0.6168201
43,0.49933198,43,0.6789023,2.5694573,2.1210248
44,0.25276917,44,0.5403502,0.8674215,0.69359887
45,0.60560614,45,0.66409343,1.5314302,1.1051463
46,0.49388564,46,0.5211942,1.3345507,1.3952956
47,0.48116457,47,0.4755327,1.7402568,1.6319904
48,0.6084928,48,0.70952415,1.8613454,0.7145035
49,0.36261266,49,0.47321847,1.3932505,1.1922
50,0.52281356,50,0.60944605,1.4403106,1.3140872
51,0.26356727,51,0.64501077,0.7435839,0.62895936
52,0.31746715,52,0.5669857,1.4004275,2.0305321
53,0.2872173,53,0.58437854,1.208251,0.86108947
54,0.6790136,54,0.63698167,1.3504812,0.86225355
55,0.2102077,55,0.6390213,1.2245679,1.0534326
56,0.48520306,56,0.5927439,2.365829,1.6176
57,0.689778,57,0.3527096,2.1310244,0.71635115
58,0.593925,58,0.6713288,2.5225878,2.1870646
59,0.5362251,59,0.40722358,1.4200957,2.2441788
60,0.33198133,60,0.62726325,1.1663889,1.0059574
61,0.32217738,61,0.46696183,2.974765,1.2178196
