,policy rate,reward rate,dec temp,habitual tendency,subject
0,0.7270815,0.21999314,3.2606568,1.3036785,0
1,0.5460514,0.5000193,2.9828727,3.2032247,1
2,0.71436334,0.7761459,6.508512,6.9869018,2
3,0.87681854,0.6464712,8.005427,0.841844,3
4,0.85915005,0.82468104,3.091421,1.8058443,4
5,0.1049949,0.82220465,4.336547,7.4486675,5
6,0.5370018,0.14650925,5.3901453,7.52822,6
7,0.38702637,0.6470807,4.3785505,1.1859248,7
8,0.10952948,0.224509,4.7844963,5.4322357,8
9,0.5601813,0.51060754,1.0446659,8.317326,9
10,0.75360405,0.43813682,1.9062059,0.7393286,10
11,0.42348048,0.074485205,2.8825011,6.414899,11
12,0.2745812,0.6417621,5.59598,2.4644961,12
13,0.33745825,0.17686526,5.0488176,2.0961895,13
14,0.6135555,0.8340897,1.2931378,2.1447206,14
15,0.8641969,0.7443097,9.396873,5.259142,15
16,0.42033032,0.78902996,2.8742292,2.3455472,16
17,0.4003612,0.22776479,4.873037,1.5271928,17
18,0.84493166,0.24529043,2.8563573,2.4345257,18
19,0.41585174,0.14534104,4.118745,5.40226,19
20,0.19947089,0.5586247,2.911086,1.6895633,20
21,0.23103094,0.67893136,6.4151697,6.7305975,21
22,0.9513195,0.41742164,8.312403,0.872775,22
23,0.2145255,0.7600272,7.8707438,5.9965324,23
24,0.36551517,0.4462458,4.5862727,3.9392183,24
25,0.310131,0.2924253,6.358369,4.1053867,0
26,0.1835894,0.6659355,5.7341194,3.7309701,1
27,0.8667548,0.8299311,8.038687,1.9959531,2
28,0.48622903,0.3097797,7.0318546,5.895474,3
29,0.62727576,0.94140536,2.1697702,3.354356,4
30,0.46982896,0.35541585,1.9165077,7.0783195,5
31,0.13959903,0.23500003,7.9267144,1.79031,6
32,0.43982372,0.38631395,4.1748943,1.3113738,7
33,0.29323927,0.25583857,3.7397947,4.242226,8
34,0.50651056,0.43779373,1.6561652,3.2038798,9
35,0.7533808,0.50646436,3.6811857,2.0169358,10
36,0.7273527,0.13977714,3.0474753,7.72903,11
37,0.40317106,0.4591506,4.846838,2.8420205,12
38,0.68776095,0.24801971,7.2184496,2.3561838,13
39,0.77374995,0.82588613,2.1046135,2.2563348,14
40,0.89333814,0.40069526,7.8400664,5.5471144,15
41,0.53180116,0.4975719,1.8119508,2.9252486,16
42,0.823343,0.127698,5.229442,2.022881,17
43,0.4657599,0.51304966,4.9447265,3.4693732,18
44,0.86254257,0.08941574,4.340699,2.5444636,19
45,0.28987643,0.46495044,3.6216846,1.5853708,20
46,0.8707992,0.7853603,5.080101,2.5461686,21
47,0.6244524,0.30586815,6.5035667,0.94469213,22
48,0.6249417,0.6191681,5.806326,1.9817429,23
49,0.1341274,0.6317463,4.9247127,4.4217043,24
50,0.22689997,0.4091469,4.4606857,6.058888,0
51,0.26289535,0.50309473,2.0264025,2.4714837,1
52,0.3908626,0.7183717,5.1636534,5.5267143,2
53,0.6988022,0.37681362,6.0555797,2.4298532,3
54,0.58435917,0.8009349,1.9606929,5.2489467,4
55,0.1999517,0.86905247,2.666283,6.9703264,5
56,0.4637215,0.14872521,6.8307977,5.931656,6
57,0.47364658,0.44324404,5.3961477,2.5484333,7
58,0.116423406,0.25630763,5.3683786,2.6793237,8
59,0.24872914,0.7975767,2.7646863,2.314312,9
60,0.36357608,0.6707389,3.6340108,2.2899208,10
61,0.8387484,0.1762139,3.8851538,1.9217592,11
62,0.70049584,0.39587557,3.1857562,9.494481,12
63,0.41828492,0.16024753,5.3864865,1.6698637,13
64,0.3600241,0.30287105,1.4728695,3.7299447,14
65,0.39438492,0.35682517,5.9586496,12.231143,15
66,0.9555735,0.41258115,1.3678,2.7869134,16
67,0.2738189,0.11576365,3.188892,3.9414499,17
68,0.9084539,0.29610866,3.187418,2.4338236,18
69,0.9049382,0.18556443,3.5716474,5.6500535,19
70,0.38703004,0.34068698,2.564598,0.69307804,20
71,0.19130921,0.65598553,4.5956964,7.68137,21
72,0.38472596,0.44976652,7.156033,2.0154006,22
73,0.48903733,0.8796921,7.225688,1.9032532,23
74,0.53314584,0.710274,6.748476,6.8964243,24
75,0.25068864,0.39886168,3.1622078,4.082182,0
76,0.5823335,0.8061877,7.2308016,2.0558357,1
77,0.36840805,0.75952494,7.440049,4.942457,2
78,0.66479087,0.39574972,8.224596,3.4868376,3
79,0.14670861,0.83190125,2.9145625,5.732765,4
80,0.39288816,0.7925882,2.026061,4.372786,5
81,0.48518658,0.16857219,6.0407057,14.305868,6
82,0.24378818,0.7431898,5.724057,1.531761,7
83,0.22587785,0.30007553,4.797161,2.3674328,8
84,0.5617845,0.93230164,3.4159803,6.128519,9
85,0.6935001,0.4139006,1.9922678,0.7935201,10
86,0.53566307,0.14478981,3.0288794,8.9057045,11
87,0.6136475,0.38263366,5.8058815,2.1409438,12
88,0.60721946,0.17070058,5.502608,1.5088379,13
89,0.76006055,0.7945536,2.8135104,4.426447,14
90,0.70045537,0.47121584,7.6015224,6.5802135,15
91,0.6111945,0.76056546,1.8271075,3.1169605,16
92,0.61959684,0.1779538,5.023056,1.4450845,17
93,0.59462214,0.36462963,4.6799536,2.5409882,18
94,0.83937895,0.15900329,3.7496474,4.271643,19
95,0.2607137,0.75053215,3.7148097,0.72737175,20
96,0.08835132,0.72280794,7.264085,5.667056,21
97,0.43964815,0.50233364,7.7011795,1.1203748,22
98,0.60489,0.8787988,8.786144,2.5834327,23
99,0.33381933,0.8017327,7.0025787,4.735612,24
100,0.7963123,0.19987111,4.044794,5.6486015,0
101,0.17900056,0.3922356,3.6781442,3.3469672,1
102,0.7760517,0.5546303,3.4500644,4.41142,2
103,0.6735667,0.37017852,5.1197424,2.6929731,3
104,0.5163096,0.88173723,2.3328419,4.9224825,4
105,0.1549152,0.628051,1.7946146,2.9164853,5
106,0.14156482,0.12574595,6.0446987,3.7862883,6
107,0.3535891,0.317456,3.4677024,1.4785261,7
108,0.28943846,0.26579627,6.5749645,3.0663197,8
109,0.8239874,0.6288445,2.1327977,4.695026,9
110,0.72640157,0.4708637,3.3297515,3.2947762,10
111,0.41988522,0.15809126,2.9862955,3.7643747,11
112,0.5871607,0.38332236,4.423844,4.978918,12
113,0.46986306,0.20349187,6.275661,2.0854514,13
114,0.7807576,0.92643654,2.2887058,2.144048,14
115,0.8271168,0.49525112,8.590109,4.297838,15
116,0.86363345,0.754461,1.8788967,4.279679,16
117,0.32644808,0.16571507,5.285836,1.8760214,17
118,0.680366,0.25439242,4.437771,3.1068664,18
119,0.70047545,0.12634802,3.014662,4.4890614,19
120,0.47860733,0.57873684,5.79158,0.66001755,20
121,0.19054921,0.484807,5.681368,3.446033,21
122,0.7363113,0.3063867,7.1834874,2.4886308,22
123,0.46379519,0.69639903,6.0546393,2.7745335,23
124,0.12774566,0.5615582,5.423891,1.7130286,24
125,0.8123963,0.32232624,4.775513,4.6081324,0
126,0.13152047,0.82864386,5.4867673,2.7434714,1
127,0.657556,0.7836161,7.526817,6.3603354,2
128,0.7813096,0.3083631,7.3206115,3.7439437,3
129,0.5792112,0.8250596,2.8174314,8.022298,4
130,0.21857598,0.7896583,2.6112847,3.896752,5
131,0.5574637,0.15707555,6.312179,2.3334205,6
132,0.16608904,0.51345533,3.8078713,2.457447,7
133,0.3468702,0.21290918,3.9562445,2.9007487,8
134,0.5186833,0.4346461,1.7586913,1.734249,9
135,0.59951425,0.5810149,4.5159645,1.3422499,10
136,0.4328877,0.11941239,3.0202267,4.3646903,11
137,0.7241987,0.43229446,4.6595383,6.2688656,12
138,0.28255394,0.20733225,7.033594,1.9733431,13
139,0.6261871,0.85320723,2.2130952,7.639884,14
