,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred mf weight,true mf weight,inferred mb weight,true mb weight,inferred repetition,true repetition
0,0.3080254,0.22101718,0,0.36928025,0.3073678,2.4326084,1.1363332,4.690208,4.8675566,0.43276176,0.9069035
1,0.26108548,0.15958041,1,0.7516328,0.7551656,1.4015076,0.45014048,2.1559834,2.9871888,0.58077556,0.8534131
2,0.43484136,0.6695664,2,0.29689458,0.3318019,1.9212893,1.3858348,2.4061248,2.7493606,0.22033685,0.0040107965
3,0.71762425,0.8484719,3,0.7348378,0.8534476,3.8293593,5.2687216,1.534665,0.7414659,0.64379394,0.14964801
4,0.3192904,0.27838165,4,0.14755778,0.11902875,1.6713748,1.6400574,2.248924,1.0899986,0.52275044,0.05168104
5,0.31210133,0.4878037,5,0.7728571,0.8375153,1.7533904,1.695489,4.9200983,5.734082,0.6863308,0.80111885
6,0.6667367,0.76491684,6,0.6378346,0.6811825,3.6168206,4.024723,3.141523,3.8800297,0.6877296,0.6860734
7,0.30046564,0.27266175,7,0.5290231,0.50484836,2.3193543,0.80199015,5.1746464,5.924136,0.63726795,0.78760654
8,0.32847583,0.92493284,8,0.80722874,0.9721315,1.541992,0.9702884,3.9137654,5.712671,0.20733398,0.23627293
9,0.46710867,0.4728309,9,0.14011654,0.14892226,3.5018086,1.6382099,4.1761193,5.6110334,0.46423522,0.91890275
10,0.21359952,0.89893764,10,0.16524725,0.16690582,2.1885498,0.44002855,4.790747,5.70765,0.5533079,0.13236207
11,0.5029542,0.8561341,11,0.54773206,0.15871352,0.5910093,0.20041251,0.47682834,0.2298013,0.4816399,0.058124125
12,0.29378128,0.20841473,12,0.7921528,0.88038677,1.586258,1.5230023,4.365685,5.838974,0.61076015,0.9505064
13,0.39128658,0.1362822,13,0.22068265,0.24245048,3.0395672,5.905819,4.3865275,5.1227603,0.5724117,0.9643253
14,0.2743545,0.6353602,14,0.31275845,0.30110788,1.5570357,0.5375401,4.841038,5.9744635,0.66237783,0.28501135
15,0.310592,0.099539936,15,0.76848185,0.78232944,1.7259251,0.5363238,4.574492,5.092891,0.4181167,0.75705576
16,0.63209826,0.6956879,16,0.23526543,0.32563895,3.8577008,3.7974308,3.2306542,5.523338,0.51615256,0.47424757
17,0.27278182,0.21586734,17,0.78222203,0.7847995,1.1233737,0.6820954,3.3833687,3.0483766,0.70746875,0.7979226
18,0.73313123,0.84082717,18,0.6340943,0.76759005,4.0727706,5.5284963,3.041414,5.2008953,0.71296096,0.7267276
19,0.32631725,0.3323931,19,0.7780551,0.8875619,1.7665181,1.4422767,1.9461575,2.573528,0.5234182,0.3564204
20,0.37506324,0.15172857,20,0.55262905,0.5071753,2.5624633,3.114221,2.4299755,1.8648527,0.54747254,0.671088
21,0.7293736,0.82381153,21,0.73483694,0.859967,3.6319764,5.121335,1.985199,5.7650146,0.7570372,0.58371484
22,0.4555613,0.29218137,22,0.121968366,0.04411453,3.3936315,1.2451379,4.175061,1.713418,0.4915011,0.36444956
23,0.56290233,0.6926768,23,0.4688061,0.43057692,3.6213033,2.3953848,4.346791,4.7215137,0.69184875,0.43348783
24,0.25638366,0.25485456,24,0.48283306,0.4865219,2.1968012,1.8345119,4.8788295,4.7150326,0.5343855,0.28459406
25,0.68723965,0.7939359,25,0.60796726,0.71800923,3.78386,3.616723,1.7476748,1.3447115,0.7362503,0.7797339
26,0.7340668,0.9231222,26,0.566739,0.54304326,4.2350073,4.256931,3.9675035,4.8592787,0.40276626,0.42440712
27,0.6223251,0.79891616,27,0.71760386,0.7711148,2.8386128,2.8078341,3.6317997,5.0408025,0.18144788,0.05107355
28,0.48392317,0.37521398,28,0.6236074,0.8051694,3.140289,4.9937334,3.1203866,5.405436,0.556513,0.667213
29,0.12503304,0.022097826,29,0.32759222,0.23787415,2.5854445,2.383953,2.303306,1.7908605,0.7245062,0.79634595
30,0.72525525,0.617869,30,0.73905784,0.688883,3.8689058,3.7225034,1.931977,1.7308266,0.7667883,0.83579737
31,0.4868206,0.5094706,31,0.7880565,0.87080014,2.3480356,3.303306,1.1197023,0.68753064,0.6478085,0.2663325
32,0.31555012,0.9505612,32,0.7424353,0.8204254,1.7510885,0.576038,3.3335483,3.624627,0.26661542,0.23515439
33,0.61351645,0.22532165,33,0.13198587,0.13148862,3.69618,4.0421896,2.4503062,1.027678,0.54218984,0.929298
34,0.38741204,0.68124914,34,0.62174666,0.63442224,1.8335619,0.79119587,3.6238446,3.3867137,0.35135353,0.33168405
35,0.5286744,0.8583944,35,0.2731551,0.22580993,2.6828885,0.7461201,3.677417,2.6548738,0.69870126,0.5676308
36,0.341467,0.66196036,36,0.75185573,0.882233,1.477618,1.1031457,2.6976092,3.8969932,0.7459069,0.9556904
37,0.5856619,0.75044566,37,0.20571356,0.21859908,3.895946,4.9508653,3.336193,4.1153913,0.51766014,0.7882263
38,0.5156206,0.91234094,38,0.7736334,0.8666647,2.84507,2.4616435,3.075693,4.8064766,0.44748512,0.54674536
39,0.13665049,0.0051072836,39,0.25987473,0.2581278,1.5084513,0.6810812,3.1565487,4.2443686,0.23199864,0.34580874
40,0.36397967,0.5160135,40,0.75191927,0.6872171,1.4970843,0.039455295,1.4193655,1.7459382,0.3565608,0.37636
41,0.5352672,0.06783825,41,0.12093863,0.12370485,3.7773583,1.6890872,3.8874917,3.9377837,0.5526048,0.97829026
42,0.67443025,0.5428308,42,0.44072065,0.46933007,3.8049364,5.389049,2.9426923,3.76651,0.6253042,0.7715573
43,0.53958917,0.31598067,43,0.1378688,0.121546924,3.9033668,2.354504,3.7624712,5.6563864,0.5209224,0.8970643
44,0.49223998,0.8047511,44,0.7063086,0.87252414,2.797045,3.3477635,2.2225184,3.2856684,0.733388,0.7561649
45,0.5733634,0.84230965,45,0.19617313,0.16064835,3.5273232,2.062356,3.778203,3.3231664,0.5441827,0.63940525
46,0.6949745,0.95018995,46,0.54582363,0.52524,3.639575,3.4144092,2.8994446,3.748334,0.6328507,0.09002167
47,0.2632808,0.8128717,47,0.51814574,0.42981791,1.434441,0.025382996,4.4279084,4.7079725,0.25567687,0.22511578
48,0.5914711,0.7436608,48,0.61948436,0.68690896,3.6253905,3.5158746,3.1943686,3.3906262,0.71447545,0.8712376
49,0.17764615,0.1777848,49,0.27061787,0.22358984,1.563526,0.5261085,3.3079834,2.890132,0.44120976,0.18302351
50,0.29411957,0.18516314,50,0.7182538,0.81729597,1.2308925,1.616797,0.9445234,0.57208514,0.3284918,0.20729542
51,0.7099647,0.98928493,51,0.33679914,0.36809897,4.1574316,5.0760074,2.9848022,4.521407,0.6293201,0.54970974
52,0.428764,0.19335651,52,0.3565253,0.37963504,3.1510546,5.8275304,3.8366718,3.6447363,0.60060483,0.7247157
53,0.10385027,0.036961734,53,0.22031043,0.26963127,1.9052944,4.7352095,1.0320503,0.7173693,0.11131795,0.057843566
54,0.5201527,0.18142533,54,0.18231775,0.16411698,3.758066,5.514543,4.150008,1.8762978,0.5967224,0.9956635
55,0.5590638,0.7526369,55,0.1665924,0.14619082,3.7517328,3.6758215,3.6409564,3.1801977,0.5371246,0.18124479
56,0.32043794,0.077186584,56,0.63288623,0.6244648,2.262565,1.9478134,4.6683416,5.0220037,0.28689033,0.4269042
57,0.5444556,0.34310144,57,0.07106062,0.013653994,3.8185587,5.768973,4.0477858,3.960861,0.5483751,0.92802167
58,0.67506444,0.9001851,58,0.54573786,0.5738781,3.5438573,2.707809,3.3656445,4.4732313,0.68764657,0.60412496
59,0.62016904,0.77687377,59,0.24891351,0.2345984,3.8252802,3.171536,3.7389252,5.554242,0.5297714,0.35857654
60,0.5856045,0.27189958,60,0.6887956,0.8039504,3.8654351,5.790351,2.152963,3.641043,0.7797325,0.8035509
61,0.75793105,0.5596856,61,0.47339943,0.50364715,4.2213163,3.6413763,2.1857283,3.2396321,0.61459446,0.9179508
62,0.5274665,0.9769046,62,0.13408943,0.13162011,3.7752886,3.1724577,3.8804305,2.0892773,0.53557324,0.2697668
63,0.62749743,0.97998005,63,0.24063586,0.23190647,3.9260385,3.9744353,3.7327433,4.088743,0.5411199,0.54072374
64,0.65453124,0.57334334,64,0.28043553,0.26503682,3.9014409,5.019823,3.161248,1.9784832,0.5420411,0.37987512
65,0.5402498,0.7024409,65,0.07198976,0.030681372,3.9536471,1.4699804,4.0734305,1.9536152,0.5292683,0.31058806
66,0.22312357,0.06806421,66,0.66556406,0.631086,1.7419275,0.7538073,2.0306602,2.600825,0.1675049,0.060718894
67,0.7767708,0.92836624,67,0.37384382,0.3994226,4.226646,5.435916,1.8397744,1.0475811,0.6161422,0.43079525
68,0.27687398,0.22154671,68,0.6983695,0.7761697,1.8948677,3.6120334,3.6306417,4.0871115,0.44870362,0.3662899
69,0.22816448,0.1950432,69,0.75145054,0.7865703,1.58995,0.050069332,4.043593,5.3204956,0.113567755,0.061164737
70,0.632614,0.40312833,70,0.8043934,0.96981215,2.704806,5.739038,1.1020449,0.9309908,0.4898066,0.27766895
71,0.60968703,0.58848035,71,0.7724373,0.93714553,1.768777,3.1485462,1.1078244,1.8380738,0.8254588,0.64859706
72,0.53940797,0.07499009,72,0.09917111,0.036251664,3.8445919,5.6533823,3.816873,4.1907463,0.5564331,0.629505
73,0.26083416,0.0021281242,73,0.75103086,0.81204426,1.534813,1.5264122,4.6685734,5.064708,0.242995,0.42576748
74,0.7517672,0.97543865,74,0.35943422,0.41129857,3.372006,3.8578682,1.4059085,1.5236024,0.6112305,0.81851846
75,0.6023245,0.29275954,75,0.10810701,0.082322,4.054698,5.5884123,3.3867242,1.3110287,0.5534126,0.2514112
76,0.39062965,0.332725,76,0.626507,0.6101942,2.9065301,3.6405897,1.4845793,1.2263778,0.6942473,0.38633412
77,0.6716858,0.9114149,77,0.5690873,0.48213482,3.406227,2.3155093,2.5295062,2.0864544,0.642442,0.6327577
78,0.35732535,0.84643745,78,0.7538113,0.82739645,1.4480144,0.33088875,4.3128095,5.5606136,0.48972657,0.69375515
