,inferred policy rate,subject,inferred reward rate,inferred dec temp,inferred habitual tendency
0,0.19801264,0,0.7061712,1.46175,0.8524805
1,0.79752356,1,0.2815304,2.758989,0.7827748
2,0.7151592,2,0.64798886,2.9011142,0.8950883
3,0.52465576,3,0.56232864,2.0108614,0.8063585
4,0.7609925,4,0.16758035,2.8456454,0.76852286
5,0.6864607,5,0.7367188,2.1649873,0.8771714
6,0.23814093,6,0.17844,2.634751,0.8495099
7,0.4917379,7,0.6199809,5.757934,0.852071
8,0.71097976,8,0.37507054,5.239527,0.87025803
9,0.7410015,9,0.28376704,6.733175,0.75078917
10,0.8356881,10,0.23232552,4.3549385,0.88480955
11,0.6830091,11,0.37427196,6.521303,0.78741515
12,0.46332207,12,0.603875,6.0817666,0.75049585
13,0.5455391,13,0.380991,6.5727224,0.8613518
14,0.32986525,14,0.5647146,2.532466,0.85651314
15,0.79070526,15,0.5996073,1.5339102,0.9056546
16,0.57244337,16,0.34075144,7.1946683,0.84442747
17,0.5503016,17,0.75331163,2.0735972,0.805063
18,0.48230293,18,0.8408251,6.5640945,0.88308096
19,0.82432795,19,0.12110849,3.2450328,0.8598224
20,0.32329327,20,0.70800775,1.7112119,0.861262
21,0.046664033,21,0.049735222,2.4898458,0.8402407
22,0.13171454,22,0.46728882,6.3459635,0.86675185
23,0.27692968,23,0.5274182,1.0722412,0.8532859
24,0.7525613,24,0.37506914,6.0286746,0.8414253
25,0.782706,25,0.89772254,5.674584,0.84673524
26,0.41243678,26,0.03399101,4.431705,0.7911306
27,0.6173623,27,0.24438962,3.852247,0.82637
28,0.71765065,28,0.37119892,5.024367,0.8381647
29,0.14065604,29,0.30114332,4.8845763,0.8725891
30,0.25638947,30,0.12672785,5.473906,0.8022903
31,0.43170422,31,0.7903787,4.5951815,0.8516035
32,0.5322247,32,0.8064076,6.311695,0.75418395
33,0.095128424,33,0.25875217,3.8189833,0.825208
34,0.13841368,34,0.64710313,6.6461425,0.80921584
35,0.31906548,35,0.6447133,1.5763061,0.8714116
36,0.48754603,36,0.54622924,1.9271753,0.86333555
37,0.6092014,37,0.73708326,2.0069795,0.8752262
38,0.16324435,38,0.9135886,6.843054,0.80439276
39,0.29990762,39,0.5245762,2.4138784,0.8671571
40,0.7665292,40,0.46095666,5.305406,0.86378413
41,0.12909497,41,0.64976037,1.4094685,0.83216137
42,0.74810225,42,0.69212586,3.5970068,0.80297685
43,0.8016595,43,0.16560629,2.624297,0.82964635
44,0.5188589,44,0.483677,1.9944465,0.8662583
45,0.7088946,45,0.21999714,2.3571851,0.8632032
46,0.7730953,46,0.20375748,4.757191,0.8594362
47,0.75287294,47,0.7491189,6.289999,0.85895437
48,0.20631307,48,0.06532882,3.0902896,0.84333354
49,0.71666235,49,0.3182948,4.338322,0.8524672
50,0.4589067,50,0.28925186,2.9154506,0.87542063
51,0.8113905,51,0.05840547,2.8300915,0.8710435
52,0.49567303,52,0.111583695,3.906043,0.8729066
53,0.31121868,53,0.5466015,6.7397394,0.7807904
54,0.6464342,54,0.2808451,2.4779441,0.86173093
55,0.09886742,55,0.55922085,3.965002,0.88071984
56,0.30926546,56,0.64705503,5.1639395,0.8560345
57,0.29213005,57,0.7214784,6.3248644,0.7894868
58,0.33813524,58,0.18838784,3.087591,0.81209105
59,0.1224569,59,0.10643514,5.321281,0.7943635
60,0.8242472,60,0.608458,2.254098,0.8337508
61,0.5834054,61,0.25422248,1.7281741,0.7856749
62,0.74966395,62,0.88496035,6.220838,0.8578614
63,0.29764208,63,0.2709906,3.0525882,0.86886173
64,0.20528597,64,0.44743377,3.841615,0.8528168
65,0.42510736,65,0.62108165,1.1948768,0.8644691
