,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight
0,0.5005259,0,0.5036972,3.0024185,3.0101016
1,0.49776313,1,0.496764,3.0349042,3.0195384
2,0.48270223,2,0.48978296,2.9216378,2.9376426
3,0.49320674,3,0.49801362,3.0305545,2.954267
4,0.4984721,4,0.5138049,2.9932377,2.9989355
5,0.48412216,5,0.51201314,2.9928777,3.060707
6,0.5069054,6,0.5100363,3.029272,2.952314
7,0.49763098,7,0.5071456,2.9093428,3.018161
8,0.5141701,8,0.515262,2.973983,2.912805
9,0.4969872,9,0.50063634,2.926647,3.008113
10,0.4928366,10,0.4838608,3.0240302,3.0105264
11,0.5095922,11,0.5047727,3.0143604,2.972223
12,0.49855435,12,0.5113086,2.8749297,3.0386846
13,0.50775707,13,0.49708042,2.954384,3.0746675
14,0.47021466,14,0.50392574,2.9791734,2.9257479
15,0.49652237,15,0.5090954,2.9699092,2.9031188
16,0.48144934,16,0.51949793,3.0763,3.003619
17,0.50331765,17,0.514622,2.9437017,2.896567
18,0.48997813,18,0.5101222,3.017279,3.0105968
19,0.4892904,19,0.50765526,2.8707664,2.9153762
20,0.50154346,20,0.50388104,2.921684,3.0096967
21,0.49336672,21,0.4997618,2.9317334,3.0362911
22,0.4973816,22,0.4906852,3.122673,3.0011086
23,0.4984713,23,0.5106236,3.0494475,3.0191514
24,0.48736998,24,0.4959348,2.985099,2.9701602
25,0.4963644,25,0.4952519,2.9470947,3.0204277
26,0.49189195,26,0.49782714,2.9047632,2.9139292
27,0.48912457,27,0.51366,3.0280967,2.9936016
28,0.49573553,28,0.5070346,2.9873466,2.9482315
29,0.51856333,29,0.51284766,3.004601,2.9442236
30,0.49706933,30,0.5101286,2.962035,2.9398422
31,0.51317966,31,0.49804386,2.9167478,3.0545888
32,0.49832153,32,0.51158595,3.023049,2.9219058
33,0.50399977,33,0.4964641,3.0251124,2.8689103
34,0.4907568,34,0.4908391,2.9332461,2.9509559
35,0.5024875,35,0.5164154,2.81859,2.8942494
36,0.48722064,36,0.51728773,2.9466035,2.9626446
37,0.48261547,37,0.52067226,2.9878204,2.8822536
38,0.5075179,38,0.5134278,2.952097,2.9428813
39,0.49652645,39,0.50679624,2.959891,3.0927823
40,0.50159335,40,0.49372467,2.9247365,3.0018609
41,0.49745607,41,0.48663568,3.0020697,2.8553371
42,0.48036444,42,0.50085735,2.9956143,2.977697
43,0.49465963,43,0.5129735,2.9258735,2.8790991
44,0.49592102,44,0.501701,3.0092402,2.9362304
45,0.5068413,45,0.493979,2.965834,3.0202787
46,0.5042069,46,0.499764,3.0317543,2.9707844
47,0.49407953,47,0.5069115,3.0351903,3.0424426
48,0.50023806,48,0.5225928,2.97569,2.9891543
49,0.4870466,49,0.5010405,2.9059248,2.9411962
50,0.49640808,50,0.5255763,3.032056,2.9666607
51,0.49575067,51,0.5024529,3.025875,3.0383112
52,0.4727359,52,0.5053917,2.9712346,2.932824
53,0.4804033,53,0.50653046,3.043419,2.9569697
54,0.50776356,54,0.5081402,2.998063,2.948444
55,0.502262,55,0.50987196,2.91646,2.94167
56,0.51243997,56,0.4946595,2.952084,2.9803336
57,0.49681523,57,0.5197586,2.9479525,2.9852219
58,0.49046832,58,0.52113914,2.965232,2.945728
59,0.47229636,59,0.49574968,3.014393,2.9708827
60,0.49367186,60,0.4986576,2.8271275,2.924679
61,0.48929948,61,0.5105804,2.9462295,3.029438
62,0.49557862,62,0.5008315,2.9902942,3.0723324
63,0.49362382,63,0.5190151,2.9767938,2.9564643
64,0.48946357,64,0.5263921,2.9549317,2.8894665
65,0.50627005,65,0.5023151,2.9683301,3.0500164
66,0.49869758,66,0.4990465,3.0210683,3.0082974
67,0.50240314,67,0.4915963,3.0485275,3.1103399
68,0.4937679,68,0.49388957,2.9384632,2.945122
69,0.48493323,69,0.5018036,2.9726431,3.0201993
70,0.48683006,70,0.502748,3.0105472,3.0485928
71,0.50024265,71,0.50159925,3.0237823,2.9557755
72,0.49850428,72,0.5126285,2.9186902,3.0523384
73,0.4958236,73,0.48736444,2.8718705,2.8741348
74,0.49577257,74,0.51044625,2.9735868,2.9043384
75,0.50513005,75,0.49571893,2.9534893,2.9304905
76,0.4876052,76,0.48297366,3.0300016,2.944022
77,0.5006836,77,0.515933,3.02274,2.9470341
78,0.5041094,78,0.50505024,2.919721,2.9513462
79,0.47224435,79,0.5056573,2.9926622,2.965893
80,0.48059395,80,0.49067435,2.9290528,3.0144737
81,0.50259715,81,0.5165934,3.0107002,3.0527575
82,0.49722216,82,0.5111454,2.8916655,2.967274
83,0.4979616,83,0.507162,2.9237847,2.8876817
84,0.46901783,84,0.503707,2.9813716,3.0678232
85,0.4902456,85,0.49873695,2.897788,2.867527
86,0.5032879,86,0.5029224,2.9289696,2.9057307
87,0.48850214,87,0.49760458,3.0046656,2.935198
88,0.50726,88,0.5057002,2.9305582,2.944997
89,0.48237175,89,0.5066438,2.9928198,2.9390092
90,0.48816535,90,0.51480395,2.8916762,3.0061634
91,0.5062166,91,0.5269638,2.984905,2.8550322
92,0.49868646,92,0.4954828,3.0656183,2.9922988
93,0.49911767,93,0.49789488,2.930838,2.9878438
94,0.48956153,94,0.5105942,2.919935,3.0589502
95,0.47668836,95,0.49986506,3.0138478,3.0126572
96,0.50534666,96,0.4870279,3.047097,2.9824889
