,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight,inferred repetition
0,0.50304615,0,0.5109902,2.8224785,2.8287227,0.4695813
1,0.4977972,1,0.50803065,2.9642787,2.9343045,0.48922938
2,0.49641076,2,0.5117388,2.9547548,2.9906912,0.49589303
3,0.49233773,3,0.4969207,2.9225469,2.9750307,0.48419192
4,0.46571088,4,0.5208817,2.8377764,2.9838746,0.49330658
5,0.49389032,5,0.5128301,2.9420545,2.9315307,0.48893145
6,0.49919915,6,0.51568,2.8818886,2.8683407,0.47961453
7,0.47826594,7,0.511194,2.948736,2.9465218,0.4723526
8,0.48333105,8,0.5089722,2.9761074,2.8837836,0.4746289
9,0.4941753,9,0.4992783,2.9471982,2.9223883,0.48108074
10,0.48242316,10,0.51511985,2.9328673,2.877459,0.49441198
11,0.4776364,11,0.4940706,2.955687,2.987468,0.47732845
12,0.4874102,12,0.5134594,2.7886162,2.9697096,0.49330932
13,0.515195,13,0.51950413,2.934536,2.837507,0.48459077
14,0.4940507,14,0.51796776,2.9567704,2.944567,0.4929799
15,0.4812439,15,0.5156749,2.9975743,2.9230173,0.50282764
16,0.48723555,16,0.5139004,3.0067751,2.966967,0.48867756
17,0.4834989,17,0.528581,2.8745284,2.8806734,0.48482746
18,0.5026304,18,0.51569283,2.925864,3.0059958,0.49975896
19,0.49018657,19,0.5065364,2.838283,2.855424,0.49840283
20,0.50241417,20,0.5236759,3.0156484,3.0147524,0.49682614
21,0.4833308,21,0.5162202,2.945546,2.9130816,0.48151043
22,0.4897153,22,0.51358426,2.9846623,2.8516562,0.49699572
23,0.47730187,23,0.51276207,3.0353556,2.9001832,0.4847334
24,0.48630542,24,0.51271707,2.9229925,2.971364,0.4594259
25,0.48329657,25,0.51839113,2.9825623,2.9570405,0.49804425
26,0.48880988,26,0.51756686,2.9011557,2.9354467,0.48386616
27,0.49728936,27,0.5285435,2.9598463,3.045748,0.48396868
28,0.48916125,28,0.5119806,2.9711492,2.948056,0.49687886
