,locs0,locs1,locs2,subject
0,-0.038260352,0.6311918,-0.76138926,0
1,-0.18600553,0.4260244,0.6039922,1
2,-0.1703562,-1.8347211,-0.42294475,2
3,1.0161488,0.76005995,-0.7354781,3
4,-0.044941522,-0.16608112,0.24064033,4
5,0.7448841,0.50602835,-0.50282735,5
6,0.025998905,0.6653742,0.14645796,6
7,0.9083713,0.47102445,-1.254005,7
8,-0.21158856,-0.42189243,-0.85700893,8
9,-3.8462067,-1.0162264,-1.0861156,9
10,1.1181583,-1.628237,0.7178784,10
11,0.5585426,0.7960178,0.47179604,11
12,-0.19514135,-0.13378292,0.8828385,12
13,1.3003906,1.1362062,-0.7548548,13
14,0.9487527,0.21274363,-0.26410913,14
15,0.3457913,-0.67780584,-1.3767598,15
16,0.10698889,0.23008935,-0.8618617,16
17,-0.017901931,1.6216654,-0.66416126,17
18,-0.14050306,-0.44328153,-1.0909982,18
19,0.53503335,1.4865551,-0.8451074,19
20,1.2200495,0.7390979,0.12414546,20
21,-1.5600306,0.13229121,1.2667232,21
22,-1.042452,-1.62769,0.97148055,22
23,-0.60892993,-0.5023032,1.4898604,23
24,-0.92735463,0.54749405,-0.3311048,24
25,-0.87153965,0.20854634,-0.9458548,25
26,-1.065804,-1.6712568,-0.411294,26
27,-0.52464885,0.74809134,2.5004282,27
28,0.20730382,-1.2792596,0.7004736,28
29,-1.0008446,-0.35264975,0.60094726,29
30,-1.0363673,-0.9625484,-0.1303862,30
31,1.0259339,-0.9150515,-0.18239832,31
32,-0.70604396,-0.08361665,-0.4000542,32
33,-0.24707787,1.1005739,-0.72141016,33
34,-0.43306786,0.64743733,1.1198033,34
35,-0.41743943,0.27966395,-2.0907104,35
36,1.8232281,-1.1360143,0.6403562,36
37,0.8710717,0.5185883,-1.5339262,37
38,-1.5215234,-1.1691861,-0.7815878,38
39,-1.279918,-0.04961184,-0.87501454,39
40,-1.1302581,1.8873576,1.8711087,40
41,-1.9029423,-0.12636201,1.5532314,41
42,1.6091479,-2.135815,-1.0251344,42
43,0.38363913,-0.4562983,-0.8057708,43
44,1.2803189,-0.12203693,1.5079538,44
45,-0.9159863,1.2716932,-0.34674,45
46,-0.21874368,0.6269553,0.8858349,46
47,-0.3438647,0.03724054,1.5477284,47
48,0.6607452,-0.37935463,0.7385917,48
49,1.1686904,-0.06452741,-0.026496906,49
50,-0.7123593,-0.048675843,-1.2500815,50
51,-0.9962757,0.9336142,-1.587934,51
52,0.46894684,0.6518582,0.24365969,52
53,-0.035936434,0.106954455,-1.0459875,53
54,0.91153944,0.52158314,0.65332425,54
55,-1.0179013,-0.72116673,1.5472537,55
56,-1.2684356,1.0453875,0.10379397,56
57,0.45667404,-0.6700402,-0.4344053,57
58,-0.0056064874,0.89124805,1.1489042,58
59,0.46294415,-1.6692306,-0.82769203,59
60,-2.21697,0.15573776,-0.27872407,60
61,-0.6066243,0.96850216,0.29612836,61
62,-0.5433545,1.4562281,0.7160807,62
63,-0.083615825,-0.31191674,-0.6636121,63
64,-1.0823727,-0.9990804,0.03606129,64
65,-1.0019265,0.7089959,-0.8005581,65
66,0.9550662,1.6686447,-0.69138765,66
67,-0.3147401,0.5186949,0.46434364,67
68,0.32166654,0.07780601,-0.61783963,68
69,-0.92566925,1.0905272,0.3028577,69
70,-0.23975955,-1.0713085,-1.2147236,70
71,0.906826,-0.38830942,-1.3808906,71
72,-0.8162603,1.1595435,2.0571272,72
73,-0.095675945,-0.31899038,0.725568,73
74,1.512382,-1.2557293,-0.0791851,74
75,0.39353552,1.408305,-1.2449174,75
76,0.8713158,1.1917372,-2.3154707,76
77,-0.3232079,-0.010582221,-0.98940027,77
