,inferred policy rate,subject,inferred reward rate,inferred dec temp,inferred habitual tendency
0,0.49637005,0,0.49151322,4.9174833,0.5218309
1,0.4770879,1,0.49254248,4.9377384,0.5077562
2,0.49597755,2,0.5026088,4.803149,0.49451837
3,0.49006373,3,0.49724844,4.95489,0.50533044
4,0.4951789,4,0.49000624,5.0331306,0.49605003
5,0.49484158,5,0.49119806,4.861876,0.513067
6,0.48053974,6,0.50358826,5.119928,0.52383643
7,0.4836438,7,0.47931224,4.891067,0.49250227
8,0.49393684,8,0.50615704,4.7255607,0.5144191
9,0.48520958,9,0.51532304,4.8950124,0.49249652
10,0.51360357,10,0.51444346,4.918171,0.49113038
11,0.5164895,11,0.50011367,4.995522,0.5062049
12,0.49928054,12,0.50288177,5.002834,0.5065795
13,0.48905757,13,0.5139413,4.9820647,0.5028739
14,0.50853485,14,0.522953,4.835955,0.4939331
15,0.5024776,15,0.4975917,4.761835,0.5132873
16,0.50370187,16,0.50517803,4.9223924,0.4984237
17,0.49814552,17,0.50305927,4.9691553,0.51972246
18,0.49246228,18,0.49445155,4.793833,0.5040294
19,0.50509393,19,0.51494336,4.8704195,0.50387836
20,0.486275,20,0.48983818,4.9256907,0.5065352
21,0.4932351,21,0.49139324,5.0361795,0.50411314
22,0.5128058,22,0.50393337,4.80907,0.48896343
23,0.49102965,23,0.49419364,4.9234595,0.50691456
24,0.4715088,24,0.5023437,5.0258327,0.5035318
25,0.4941402,25,0.49721548,5.0377088,0.49935704
26,0.49710962,26,0.512707,4.9703307,0.5121305
27,0.51611096,27,0.4751397,4.893927,0.51377344
28,0.4900899,28,0.4829914,5.1701293,0.49664065
29,0.49383196,29,0.4865071,4.9908185,0.5037096
30,0.47380415,30,0.5018852,4.882041,0.50728774
31,0.50294423,31,0.50495636,4.883184,0.5157997
32,0.48445088,32,0.5099997,4.8288746,0.5222549
33,0.5013078,33,0.49945393,5.0056505,0.5115891
34,0.5111972,34,0.5130744,4.9316278,0.50597143
35,0.49047962,35,0.49759978,5.0071325,0.5085093
36,0.5146433,36,0.49479362,5.061834,0.51993966
37,0.48423395,37,0.49937934,4.7580185,0.5213256
38,0.5157515,38,0.50578547,5.01437,0.50619084
39,0.49918476,39,0.48366338,4.887621,0.510044
40,0.49113122,40,0.50922495,4.944538,0.4872437
41,0.5028654,41,0.5187366,4.8871927,0.50052154
42,0.5098183,42,0.5025915,4.996239,0.51627964
43,0.47255456,43,0.520899,4.711589,0.5030461
44,0.48111197,44,0.49995664,4.9464717,0.50585425
45,0.5068074,45,0.4956173,4.9112806,0.50077015
46,0.4889544,46,0.5022374,4.925374,0.50833064
47,0.4948207,47,0.5165874,4.86883,0.50978154
48,0.49459076,48,0.5159953,4.9328947,0.5093192
49,0.48517323,49,0.49980617,4.8678875,0.50715005
50,0.4887107,50,0.51609695,5.0222654,0.5106988
51,0.49408165,51,0.4778147,4.782165,0.5089555
52,0.4976272,52,0.50139886,5.009456,0.5238623
53,0.49057347,53,0.49271846,4.9094944,0.50688404
54,0.4873937,54,0.49183673,4.854292,0.49926588
55,0.4716381,55,0.48663002,5.1480947,0.50660175
56,0.49690253,56,0.5047735,4.9501057,0.5040233
57,0.5013539,57,0.49357897,5.028242,0.51012325
58,0.48859093,58,0.49714154,4.8585625,0.49585816
59,0.48042285,59,0.5017165,4.9553165,0.49455956
60,0.49477485,60,0.4782737,4.9690647,0.49498755
61,0.49824134,61,0.49364462,4.8996863,0.51098454
62,0.50051314,62,0.5102797,4.8164983,0.5180807
63,0.48814747,63,0.5032605,5.1332183,0.50822246
64,0.49756122,64,0.50343794,4.935187,0.5026679
65,0.4928309,65,0.48915094,4.872678,0.5149967
66,0.5088766,66,0.4944737,5.246988,0.5092829
67,0.49087888,67,0.48733413,4.972427,0.5131289
68,0.5000176,68,0.5131948,5.1500244,0.4889626
69,0.50017667,69,0.49046722,5.065063,0.5192301
70,0.49838728,70,0.49056217,4.837207,0.5178047
71,0.4998006,71,0.52119803,4.982128,0.5061891
72,0.49825433,72,0.48942146,5.018924,0.514979
73,0.49723348,73,0.5120399,4.9741106,0.4937045
74,0.4899681,74,0.51306736,5.0560517,0.4977345
75,0.5036008,75,0.4963677,4.8387527,0.5110754
76,0.4900343,76,0.50116396,5.000873,0.5055164
77,0.50317144,77,0.516079,4.8668694,0.51252574
78,0.49498188,78,0.5121118,4.876039,0.5083872
79,0.50737107,79,0.49698323,4.775771,0.49982715
80,0.48403576,80,0.49179038,4.9104066,0.5198507
81,0.49519348,81,0.5130139,4.85983,0.48914516
82,0.493118,82,0.50149685,4.847162,0.5059374
83,0.49612206,83,0.51038617,5.0821166,0.5080321
84,0.4973543,84,0.50074357,5.076266,0.5133712
85,0.48698166,85,0.513296,4.897494,0.5171416
86,0.52485955,86,0.51849157,4.9337277,0.49669182
87,0.4725201,87,0.5131806,5.0656915,0.5025806
88,0.5060746,88,0.4896485,4.9390383,0.50307876
89,0.48187795,89,0.50193983,4.7818427,0.4937504
90,0.47508338,90,0.48748317,4.935184,0.4927339
91,0.47896034,91,0.481275,5.103374,0.5072946
92,0.49038744,92,0.48742276,5.222328,0.5080292
93,0.500461,93,0.48191547,4.7865105,0.51189935
94,0.49280617,94,0.4997114,5.0023828,0.51447725
95,0.511701,95,0.51090217,4.972071,0.48229077
96,0.49200252,96,0.5074148,5.029974,0.5125455
97,0.48910072,97,0.5070231,4.991359,0.52071023
98,0.49281964,98,0.49313214,4.905591,0.50785434
99,0.5011261,99,0.51603144,5.023991,0.5089206
100,0.491344,100,0.4963676,4.966261,0.50413287
101,0.488359,101,0.5044643,5.146955,0.506352
102,0.49817166,102,0.49019402,4.947111,0.51254576
103,0.49846697,103,0.48602176,4.902484,0.51524746
104,0.5022755,104,0.5165148,5.0858755,0.5144425
105,0.4912168,105,0.4932147,4.861498,0.5173407
106,0.49062878,106,0.50367755,4.7887354,0.48519543
107,0.48374543,107,0.50329965,4.93629,0.50448704
108,0.48634827,108,0.49132308,4.986479,0.4952007
109,0.49529877,109,0.5036972,4.8596287,0.5051646
110,0.49616578,110,0.5049232,5.050254,0.5080832
111,0.48815602,111,0.48383322,5.0209317,0.5032817
112,0.47971055,112,0.48899615,4.7338243,0.50231737
113,0.5013225,113,0.52429104,4.837871,0.51416224
114,0.47600067,114,0.4897248,4.966515,0.5086794
115,0.48377043,115,0.50554,5.164299,0.52463317
116,0.5077111,116,0.50027204,4.9218965,0.5072321
117,0.48892546,117,0.5063552,4.805414,0.5017369
118,0.49205896,118,0.5041777,4.9057665,0.4928117
119,0.49698564,119,0.50693274,4.92704,0.48697203
120,0.47646406,120,0.47770607,5.0722246,0.4952882
121,0.506679,121,0.50030303,4.904817,0.49393934
122,0.49580964,122,0.5053323,4.978747,0.47858062
123,0.4890571,123,0.48469242,4.8496065,0.51825327
124,0.50340426,124,0.50791985,4.8270574,0.5137791
125,0.4750009,125,0.49761865,5.034123,0.49749127
126,0.4844037,126,0.49779394,4.870248,0.51599306
127,0.50961274,127,0.5058973,4.8540645,0.5087704
128,0.4907053,128,0.52117455,4.738153,0.5023727
129,0.5010442,129,0.5195522,4.882986,0.501157
130,0.4891151,130,0.51774067,4.923536,0.48400676
131,0.5078121,131,0.49405643,4.839074,0.5068931
132,0.4975223,132,0.5152616,4.7818604,0.489003
133,0.48842505,133,0.4815954,4.8428197,0.4953211
134,0.47244465,134,0.49985474,4.9293046,0.50215745
135,0.48368758,135,0.4931176,5.0525575,0.52200437
136,0.47654724,136,0.5057502,4.982196,0.50714695
137,0.49398935,137,0.4949358,5.067326,0.49023473
138,0.4905987,138,0.48600414,4.942761,0.51875556
139,0.5087943,139,0.5163489,4.814757,0.49473992
140,0.49257427,140,0.4997575,4.9168086,0.48749354
141,0.500362,141,0.4992369,4.835768,0.5010948
142,0.4992622,142,0.50079954,4.7559485,0.49134204
143,0.48616594,143,0.50177747,5.012343,0.50164384
144,0.50347793,144,0.50042033,4.9636016,0.5067578
145,0.4937715,145,0.52484816,4.990833,0.51243114
146,0.5009285,146,0.49165642,5.0532975,0.5013942
147,0.50598776,147,0.49753985,4.9277306,0.49871936
148,0.511783,148,0.49529362,5.058713,0.5026826
149,0.50067973,149,0.511745,5.0585976,0.5013196
150,0.48924768,150,0.48602474,5.0053244,0.49480805
151,0.5005893,151,0.49292406,5.052244,0.50315464
152,0.51769215,152,0.5033249,4.939236,0.512479
153,0.52023363,153,0.48733723,4.968657,0.49281523
154,0.4922805,154,0.51118374,4.845361,0.49516964
155,0.50257176,155,0.524406,5.047411,0.4919709
156,0.50069785,156,0.496487,5.1292973,0.49674633
157,0.4923472,157,0.50596565,5.0512996,0.50440973
158,0.49915454,158,0.49381688,4.9899826,0.5278582
159,0.49801177,159,0.51476437,4.8508964,0.50559694
160,0.4906033,160,0.5010227,4.7886777,0.4861419
161,0.49583167,161,0.4871782,4.7950106,0.5308427
162,0.48431537,162,0.48812792,4.8309183,0.50986063
163,0.4696235,163,0.4875844,5.026624,0.51049995
164,0.4851359,164,0.49503624,5.311938,0.518781
165,0.48719034,165,0.5027308,4.9536343,0.50892967
166,0.49504164,166,0.49737683,5.0030146,0.50736165
167,0.5025323,167,0.51125807,5.1207275,0.5083338
168,0.49511924,168,0.49031362,4.809962,0.49590644
169,0.4996219,169,0.50491744,4.888549,0.4928645
170,0.48239467,170,0.48419842,5.0087147,0.509281
171,0.49550843,171,0.50814116,4.9955225,0.5183708
172,0.50108063,172,0.51014477,4.982532,0.5040667
173,0.49538317,173,0.48942292,4.9179373,0.5120094
174,0.4835841,174,0.48165455,5.0819774,0.50279653
175,0.4940101,175,0.49267945,4.7649474,0.5039058
176,0.49879187,176,0.51121527,5.0204864,0.5081736
177,0.5089027,177,0.48243982,5.024748,0.53020716
178,0.49004626,178,0.5148701,4.979117,0.5080361
179,0.49427626,179,0.51171577,4.8973765,0.49390957
180,0.48270804,180,0.48684266,4.9727674,0.50329286
181,0.5014351,181,0.50928915,4.7528687,0.5096913
182,0.5011888,182,0.4997626,5.0490346,0.5008054
183,0.4735924,183,0.49891442,4.940571,0.5186724
184,0.4982376,184,0.4835426,4.9492354,0.5104457
185,0.48865667,185,0.50758684,4.9719467,0.50080675
186,0.49067274,186,0.49316627,4.9825487,0.52084726
187,0.5097839,187,0.4996197,5.043439,0.4952236
