,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight,inferred repetition
0,0.5293621,0,0.5828658,2.6135447,3.913599,0.23944339
1,0.59459656,1,0.35816437,2.3417017,3.6397462,0.31740174
2,0.5046997,2,0.24594223,3.1176715,4.0144606,0.41915712
3,0.23236413,3,0.41542977,1.909103,3.5415025,0.15259004
4,0.1936348,4,0.26884162,1.813047,4.7561107,0.26583266
5,0.66221386,5,0.17984658,1.2056535,0.6583022,0.4049342
6,0.5760543,6,0.11208482,4.1124067,4.0419474,0.46948382
7,0.3615953,7,0.6561405,2.4256954,3.5145273,0.2545135
8,0.7560669,8,0.7412467,3.3700852,1.4298341,0.6052312
9,0.28710663,9,0.6571302,2.1774368,1.2441721,0.19007348
10,0.41339058,10,0.5898648,2.7606401,1.8825268,0.29707026
11,0.6287237,11,0.7397978,2.6863194,1.1385638,0.13590646
12,0.57274586,12,0.7673161,2.0337446,1.1270996,0.39490193
13,0.22013748,13,0.76356757,1.4328672,0.92099977,0.13780694
14,0.25473422,14,0.7437766,1.6561943,3.7744038,0.1349502
15,0.29136634,15,0.7935585,1.4736501,2.619071,0.13211033
16,0.15011035,16,0.106163226,2.3201373,3.4996006,0.41104302
17,0.39501655,17,0.74967295,2.2220573,1.8760192,0.30438614
18,0.2075877,18,0.49801025,1.511748,1.6566796,0.111408606
19,0.5946294,19,0.62473464,2.877713,1.9659456,0.14197685
20,0.2826619,20,0.39942166,2.5195837,3.8104668,0.14668757
21,0.3085354,21,0.49737263,2.4065292,3.9349449,0.29554936
22,0.59163547,22,0.16964933,3.7872863,3.588611,0.44040984
23,0.74439394,23,0.45765302,4.2485185,2.5739155,0.50395983
24,0.23799323,24,0.4163521,3.2430933,1.2845713,0.21518652
25,0.67091835,25,0.5654078,3.803982,4.1002774,0.27085328
26,0.4042766,26,0.089188,3.465043,4.22245,0.33310595
27,0.4514268,27,0.7260205,2.5500293,1.9508716,0.22340056
28,0.3217205,28,0.6768823,1.9520539,4.2510467,0.16260335
29,0.6741156,29,0.38880843,3.8638585,2.9400964,0.43800703
30,0.6243595,30,0.2689136,3.5952153,2.7762527,0.43604377
31,0.27527148,31,0.74915594,1.4387938,1.9774691,0.12510896
32,0.66860276,32,0.40066692,3.8812525,3.8656964,0.48033667
33,0.48163575,33,0.7259828,2.7733061,2.149081,0.23853128
34,0.44941396,34,0.69067454,2.5352056,3.142098,0.1644397
35,0.22761883,35,0.5650227,2.1750622,1.1611714,0.15042484
36,0.54821277,36,0.0999787,3.9270258,4.1318135,0.4349286
37,0.5489995,37,0.11599075,3.8211584,4.0281224,0.32128364
38,0.56234217,38,0.31654355,3.25388,3.4081454,0.386588
39,0.73895466,39,0.40904403,3.7537074,1.6973323,0.47487605
40,0.33472797,40,0.76975316,1.738428,2.823643,0.2299482
41,0.5892008,41,0.20936354,3.9185126,3.7325504,0.44333282
42,0.2972524,42,0.6931921,1.1677173,0.88432336,0.16269201
43,0.38495678,43,0.7351257,2.3495035,2.7880497,0.21597427
44,0.4967948,44,0.26187074,3.7006633,2.474336,0.38615623
45,0.24373959,45,0.6441932,1.798065,2.6638632,0.13580438
46,0.25508058,46,0.18088536,3.0197792,4.648815,0.43320435
47,0.23800088,47,0.65070516,1.1049612,1.0617185,0.16509305
48,0.67585,48,0.74186546,3.1762593,1.7593945,0.33362037
49,0.4044421,49,0.3970083,2.3150442,2.714005,0.16316724
50,0.5759471,50,0.11776851,3.9902058,4.0733457,0.4827799
51,0.29255602,51,0.60147196,2.0175617,3.497327,0.18164627
52,0.6369173,52,0.23389249,3.978084,3.2327657,0.3731952
53,0.24941327,53,0.4990243,1.928458,4.672422,0.19641739
54,0.6078542,54,0.21635804,3.9046075,3.403054,0.45990106
55,0.45990682,55,0.31118897,3.1271484,1.6521531,0.3105718
56,0.50510174,56,0.12719002,3.646978,3.8205235,0.3481309
57,0.29723412,57,0.40711287,2.1295402,4.5522547,0.21408847
