,inferred policy rate,subject,inferred reward rate,inferred dec temp
0,0.4957718,0,0.49493822,5.002846
1,0.5138049,1,0.51208866,4.9898806
2,0.49044818,2,0.47952637,4.8840537
3,0.51350856,3,0.48794225,4.856424
4,0.47036266,4,0.49270737,5.0132003
5,0.50516987,5,0.49705,4.9450226
6,0.47537115,6,0.48325136,4.9572387
7,0.50057113,7,0.4852779,4.9680033
8,0.5021636,8,0.51302165,4.9088335
9,0.4933489,9,0.5200616,4.9038763
10,0.48679858,10,0.48565876,4.831842
11,0.50586474,11,0.5008891,5.0751166
12,0.51035416,12,0.51974607,4.9758487
13,0.47459358,13,0.48545015,4.8977714
14,0.49143082,14,0.4896873,4.836326
15,0.51532626,15,0.50866926,5.0160785
16,0.47892883,16,0.5182848,4.91975
17,0.51920176,17,0.5133477,5.009367
18,0.4872845,18,0.48196405,4.7450895
19,0.51682836,19,0.5142854,4.8409424
20,0.4884591,20,0.4923566,4.875322
21,0.49155083,21,0.51420546,4.990721
22,0.49260485,22,0.46857533,5.084502
23,0.48265558,23,0.49419054,4.816702
24,0.4862505,24,0.48689246,4.7357793
25,0.47797674,25,0.47351015,4.8308806
26,0.49241772,26,0.4912854,4.901621
27,0.50812966,27,0.5042524,5.0051813
28,0.49971667,28,0.5180853,4.985568
29,0.48324782,29,0.48676693,4.90885
30,0.50005007,30,0.5017779,4.8731084
31,0.5217416,31,0.50335133,4.888512
32,0.49677414,32,0.5044951,5.019549
33,0.49430925,33,0.5108456,4.7392373
34,0.48310986,34,0.48306358,4.799866
35,0.4984347,35,0.50194514,5.0186024
36,0.50848037,36,0.50590867,4.7899876
37,0.47580063,37,0.4860052,4.8990383
38,0.5192327,38,0.5111358,4.903332
39,0.49711314,39,0.47039267,4.8722177
40,0.5186622,40,0.51442486,4.9641304
41,0.48440155,41,0.49250007,4.933822
42,0.49076208,42,0.50387025,4.9363565
43,0.50546074,43,0.491438,4.893684
44,0.5140214,44,0.5257315,4.8678436
45,0.4786188,45,0.5224984,4.796008
46,0.48049217,46,0.50896585,4.793211
47,0.52419764,47,0.46856037,4.9476905
48,0.49654496,48,0.4798837,4.746157
49,0.49820966,49,0.48987606,4.960294
50,0.5088494,50,0.5197063,4.8482957
51,0.49368387,51,0.4845726,4.8595376
52,0.47162864,52,0.48947752,4.803491
53,0.48147306,53,0.49041915,5.022967
54,0.49676034,54,0.5018539,5.0087557
55,0.46815318,55,0.5026415,4.9800525
56,0.5120825,56,0.49963868,4.914426
57,0.49351132,57,0.51367134,5.138327
58,0.48975036,58,0.48826128,5.0344863
59,0.49397042,59,0.5002849,5.031377
60,0.5003403,60,0.51781976,4.7400928
61,0.486331,61,0.5011713,4.941159
62,0.47417876,62,0.4935019,4.9101954
63,0.47267622,63,0.48942947,4.9198294
64,0.49624175,64,0.47093993,4.972115
65,0.4810056,65,0.50133723,4.9122105
66,0.5157367,66,0.50074875,4.737438
67,0.49861443,67,0.53119606,4.8108582
68,0.5086763,68,0.5041883,4.883416
69,0.52109694,69,0.4958746,4.982765
70,0.5004816,70,0.5145698,4.8735275
71,0.4855849,71,0.5216005,4.9527264
72,0.5014946,72,0.5100158,4.819845
73,0.5096278,73,0.49147984,4.8658714
74,0.48773187,74,0.5023573,4.9327807
75,0.48398554,75,0.50671697,4.968054
76,0.49604714,76,0.48588622,5.101681
77,0.4769026,77,0.48739877,4.917154
78,0.5193793,78,0.4897343,5.17528
79,0.4927094,79,0.50388217,4.832974
80,0.48366928,80,0.5040084,5.058931
81,0.47470436,81,0.49855494,4.9039745
82,0.4792456,82,0.48711878,4.82634
83,0.49103153,83,0.4970055,4.7716737
84,0.4819743,84,0.48275182,4.9660654
85,0.47888362,85,0.50105685,4.95444
86,0.4817058,86,0.48120037,5.011985
87,0.4959753,87,0.49975717,4.873823
88,0.4957545,88,0.50869006,4.972083
89,0.5103405,89,0.50708413,4.7813964
90,0.48507318,90,0.4895027,4.7337394
91,0.47344953,91,0.5059564,5.0409164
92,0.5073127,92,0.4975014,4.6778536
93,0.4773191,93,0.51063246,4.857794
94,0.4799463,94,0.49192297,4.773503
95,0.481211,95,0.47805873,4.9278717
96,0.4866714,96,0.49873438,4.7288775
97,0.49112982,97,0.47713065,4.9528418
98,0.51613635,98,0.49827477,5.254188
99,0.5066996,99,0.47580317,4.7123756
100,0.50246906,100,0.5045944,4.9872193
101,0.49938133,101,0.490755,4.995497
102,0.4809364,102,0.49156794,4.7411714
103,0.5007194,103,0.4960371,4.979409
104,0.51987857,104,0.52183616,4.9085917
105,0.47369617,105,0.5076387,4.818894
106,0.50638705,106,0.5041966,4.8766966
107,0.50605917,107,0.5276525,4.6660995
108,0.46298075,108,0.519392,4.752299
109,0.5138012,109,0.51611596,4.7425838
110,0.48918548,110,0.5198513,4.8498955
111,0.4810575,111,0.48518285,4.828132
112,0.48058218,112,0.48623696,4.871076
113,0.49879456,113,0.49456775,4.9359922
114,0.4961186,114,0.4998025,4.840885
115,0.50872076,115,0.49812824,5.0907717
116,0.48780748,116,0.51568234,4.8695736
117,0.49209797,117,0.4873287,4.882474
118,0.53082067,118,0.51135576,4.8956895
119,0.48752517,119,0.4823997,4.976219
120,0.51781005,120,0.51464903,5.0962296
121,0.48104766,121,0.49842876,4.7548757
122,0.48454332,122,0.49966604,4.8628273
123,0.5178201,123,0.49049097,4.9250665
124,0.48041433,124,0.4884466,4.784095
125,0.48800072,125,0.48813164,4.939587
126,0.47686878,126,0.48310375,4.975493
127,0.47270948,127,0.50247663,4.974576
128,0.5044527,128,0.5123795,5.017576
129,0.51059556,129,0.50243455,4.9172335
130,0.5016288,130,0.5014392,4.926212
131,0.51561636,131,0.5122267,4.8510313
132,0.48988122,132,0.47869477,4.963584
133,0.4992723,133,0.4925564,4.8645587
134,0.5054679,134,0.48233205,4.807226
135,0.4854514,135,0.48396528,5.0206017
136,0.497168,136,0.49123928,4.9998174
137,0.5119903,137,0.49932355,4.9911494
138,0.48565826,138,0.5111941,4.8412056
139,0.49737477,139,0.49776864,4.893581
140,0.47606546,140,0.5019069,4.8651953
141,0.5053258,141,0.49152985,4.629633
142,0.5054712,142,0.5075462,4.950199
143,0.4777474,143,0.49992827,4.893894
144,0.49767882,144,0.485788,4.8560038
145,0.49346173,145,0.49922922,4.8087134
146,0.47753093,146,0.50594527,5.0876913
147,0.5123289,147,0.5191798,4.9668183
148,0.49630487,148,0.5123014,4.967086
149,0.49068293,149,0.4879558,4.794552
150,0.4838626,150,0.48524526,4.8636336
151,0.48940063,151,0.5103261,4.8092704
152,0.5333498,152,0.5162174,4.941972
153,0.4903184,153,0.4959776,4.90743
154,0.4915577,154,0.5079195,4.8375583
155,0.5100302,155,0.5032136,4.9496007
156,0.49061748,156,0.5120626,4.8480654
157,0.51779824,157,0.51653534,5.0112042
158,0.48707905,158,0.49387878,4.8341994
159,0.48296753,159,0.51445544,4.9061346
160,0.515306,160,0.49256396,4.926112
161,0.50078315,161,0.50584584,5.0561867
162,0.48300922,162,0.50063825,5.030627
163,0.49088246,163,0.5201729,4.8824344
164,0.49897936,164,0.50696427,4.865743
165,0.5187108,165,0.51824564,4.7025537
166,0.4768331,166,0.5100485,5.01033
167,0.49944708,167,0.5069173,5.133877
168,0.50063765,168,0.4979128,4.972841
169,0.5088696,169,0.5046546,4.892767
170,0.5098009,170,0.5139889,5.026371
171,0.5024067,171,0.5193546,4.898948
172,0.48671815,172,0.49767274,4.9063616
173,0.5130648,173,0.50719047,4.8383565
174,0.5094464,174,0.49731243,4.9654512
175,0.50576836,175,0.49656078,4.954548
176,0.48858038,176,0.47730553,4.784202
177,0.5176818,177,0.5183523,4.8435564
178,0.51074624,178,0.4935975,4.9372797
179,0.47500563,179,0.51924294,4.841575
180,0.4923194,180,0.47803208,5.0502048
181,0.5302397,181,0.5006035,4.837543
182,0.49440333,182,0.5044052,4.8849707
183,0.4961253,183,0.47965088,4.90691
184,0.5058843,184,0.52558994,4.8224773
185,0.4946104,185,0.51017535,4.8463154
186,0.49940452,186,0.49473345,4.851252
187,0.52223474,187,0.49801525,4.7958446
