,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight
0,0.3677855,0,0.37309667,2.5786724,4.727625
1,0.3762667,1,0.71423477,1.7030132,1.9839016
2,0.4660476,2,0.31499603,2.1778374,2.5115044
3,0.7863692,3,0.7086743,4.1026073,1.4507707
4,0.35768074,4,0.16660042,2.102924,2.4954057
5,0.4295238,5,0.74025863,2.0403678,4.7058516
6,0.7504564,6,0.6074628,3.8106775,2.6626256
7,0.40229252,7,0.53190345,2.7395508,5.1273184
8,0.37722057,8,0.782239,1.6691967,3.7166376
9,0.5608922,9,0.15341963,3.8075697,4.2463303
10,0.26418653,10,0.17580076,2.3292198,4.9028044
11,0.66073984,11,0.51289904,0.77526134,0.56889886
12,0.38336357,12,0.7529912,1.8999636,4.069182
13,0.488981,13,0.242205,3.2785683,4.543623
14,0.36350122,14,0.3282251,1.9612683,4.8834805
15,0.36611792,15,0.7447909,1.9556048,4.4329624
16,0.65330505,16,0.23508078,3.9403608,3.109354
17,0.3802032,17,0.74830043,1.3981775,3.2798762
18,0.7965426,18,0.59044117,4.0871077,2.5631714
19,0.4350795,19,0.754077,2.06891,1.8291188
20,0.48473033,20,0.5524646,2.8563237,2.2328408
21,0.80319357,21,0.7024401,3.9829848,1.5987155
22,0.5491902,22,0.13341059,3.7249224,4.294959
23,0.6597462,23,0.45885164,3.7601821,4.36841
24,0.35517937,24,0.4735801,2.3651419,4.8735576
25,0.7809144,25,0.5739796,3.9697285,1.490969
26,0.7693357,26,0.54924905,4.1937075,3.5831795
27,0.64929163,27,0.6971907,2.8892276,3.4191396
28,0.61254776,28,0.6107582,3.407735,2.952544
29,0.22206044,29,0.36737773,2.9266646,2.4264395
30,0.7845364,30,0.6795307,4.087967,1.5914341
31,0.6538584,31,0.7657556,2.5647051,1.1107613
32,0.35119778,32,0.72975826,2.0022628,3.1880927
33,0.6814016,33,0.1418675,4.0616307,2.703848
34,0.46263483,34,0.6185138,2.0551412,3.6257124
35,0.5939428,35,0.28773376,3.083621,3.7409115
36,0.5305669,36,0.71307164,1.9377545,2.4219823
37,0.65914243,37,0.21055225,3.968854,3.5445142
38,0.6144378,38,0.7509656,2.9978843,2.7099345
39,0.15736172,39,0.27815282,1.6817496,3.1911767
40,0.44706005,40,0.7261411,1.657498,1.3463043
41,0.58817804,41,0.13385057,3.9771254,4.0269327
42,0.74143267,42,0.44319573,4.083549,2.7636986
43,0.61433953,43,0.14806762,3.990717,4.0048537
44,0.63914007,44,0.69836605,3.3065245,2.0503266
45,0.6444502,45,0.20327002,3.8692496,3.682034
46,0.76525974,46,0.5244124,3.8911972,2.4093049
47,0.3001774,47,0.51436037,1.6007327,4.368612
48,0.6912129,48,0.58707374,3.77123,2.8076963
49,0.24809569,49,0.30782527,1.9231992,3.6438534
50,0.3488207,50,0.7043187,1.361572,1.0155307
51,0.7313985,51,0.3168547,4.0867524,2.6712255
52,0.5641227,52,0.37109268,3.3721368,3.9607031
53,0.13521664,53,0.2458873,1.9507676,1.1446297
54,0.59236974,54,0.18570802,3.8463135,4.1422324
55,0.61852574,55,0.1715123,3.8680155,3.6408174
56,0.38222408,56,0.63384753,2.4940286,4.6463904
57,0.6030533,57,0.09927733,4.070468,4.1552963
58,0.73809296,58,0.5148709,3.7440424,2.9364138
59,0.66010094,59,0.25540206,3.975104,3.4952657
60,0.713492,60,0.6700979,4.042709,1.9464521
61,0.79509914,61,0.44359514,4.1598935,1.7769463
62,0.61579293,62,0.1429424,4.059376,3.9713554
63,0.6723708,63,0.24574573,4.013267,3.6168036
64,0.66762173,64,0.27595228,3.9203448,2.9807172
65,0.61003906,65,0.09785638,4.023776,4.1825147
66,0.26061833,66,0.6648421,1.7860268,2.0749712
67,0.79725087,67,0.35013837,4.243494,1.4577945
68,0.33920696,68,0.6752696,2.1140823,3.4690578
69,0.26699677,69,0.74305385,1.6742265,3.9621572
70,0.7272581,70,0.7625425,2.8099852,1.1503904
71,0.7688386,71,0.7425064,2.305681,1.0238005
72,0.61824656,72,0.122620806,4.063854,4.122701
73,0.27009156,73,0.7315459,1.6643193,4.591549
74,0.77476364,74,0.3408393,3.395458,1.1977245
75,0.6591688,75,0.123884745,4.148187,3.6804888
76,0.54757726,76,0.62186134,3.0171359,1.3504722
77,0.7348961,77,0.549657,3.5772583,2.1484263
78,0.4336643,78,0.71581984,1.723074,4.030236
79,0.5681465,79,0.7129991,3.0671477,2.3183427
80,0.6279123,80,0.10670149,4.0798044,4.1441965
81,0.53756964,81,0.42598584,3.511926,4.6934266
82,0.36783814,82,0.28729627,2.9067135,4.4724293
83,0.80566967,83,0.6191106,4.500462,2.328201
84,0.6241893,84,0.17155874,3.9209793,3.6853547
85,0.6489317,85,0.22949503,3.9899116,3.2798045
86,0.72871315,86,0.4215592,4.288794,3.6699295
87,0.7044353,87,0.31710142,4.038353,3.3383453
88,0.36863685,88,0.7523104,1.6525925,3.8064578
89,0.70378613,89,0.72585744,3.5617745,2.1783528
90,0.6833111,90,0.18442218,4.2265615,3.1572402
91,0.64547396,91,0.12524247,4.103835,3.9630845
92,0.31302527,92,0.20834424,1.5107183,1.8638269
93,0.5482387,93,0.120630845,3.8097026,3.676086
94,0.58669645,94,0.50923973,3.7653039,2.838747
95,0.5430496,95,0.3668023,3.2797937,3.763002
96,0.625214,96,0.109924994,4.08341,4.2078605
97,0.3784331,97,0.4574205,2.0330217,4.095859
98,0.31281,98,0.69654,1.9524235,5.121754
99,0.23685503,99,0.32878655,2.1995306,5.0549474
100,0.69875085,100,0.26296493,3.9607,2.1791134
101,0.6266597,101,0.09928322,4.1857295,4.2272787
102,0.7961824,102,0.37745896,4.296135,2.0402408
103,0.6504907,103,0.1062752,4.205971,4.199415
104,0.5632776,104,0.7062268,2.2091002,2.9749136
105,0.6935796,105,0.10655964,4.29814,3.690313
