,inferred policy rate,subject,inferred reward rate,inferred dec temp
0,0.6527139,0,0.16701916,7.5349226
1,0.50744146,1,0.18242438,7.379801
2,0.5313113,2,0.30240136,2.3314013
3,0.1416199,3,0.077432826,2.6156533
4,0.4880974,4,0.3790378,3.2249029
5,0.3370285,5,0.12258206,2.5686333
6,0.51515114,6,0.22278714,5.141462
7,0.809878,7,0.52163535,2.2128441
8,0.31424382,8,0.20840766,5.927204
9,0.5196263,9,0.26893097,4.473244
10,0.36166975,10,0.18960299,7.731622
11,0.41289115,11,0.19397937,6.469355
12,0.3723589,12,0.14202426,8.332374
13,0.7648038,13,0.26630622,6.6546946
14,0.36673713,14,0.16780502,3.9979415
15,0.48339647,15,0.30554122,5.3758526
16,0.34336805,16,0.12893917,3.2952363
17,0.31718427,17,0.3990645,5.035694
18,0.4315715,18,0.34608483,5.7608557
19,0.40909675,19,0.1797375,2.8186812
20,0.19988702,20,0.11831018,2.2997885
21,0.5778993,21,0.29851037,4.209191
22,0.4630614,22,0.15706944,5.6455946
23,0.6443202,23,0.26063898,4.925159
24,0.48076648,24,0.4709262,2.8509378
25,0.42991093,25,0.20986645,7.009593
26,0.47617674,26,0.14544848,1.4758
27,0.5434022,27,0.26374504,6.8620906
28,0.38832122,28,0.3250747,1.8818891
29,0.39688852,29,0.2453135,2.9687355
30,0.62475586,30,0.19740881,4.376421
31,0.13375749,31,0.2907941,2.7257397
32,0.7165334,32,0.42603123,2.0594394
33,0.05446655,33,0.41771406,4.2976427
34,0.5624181,34,0.11471785,1.4673789
35,0.46505043,35,0.12383189,2.4221501
36,0.48208907,36,0.14361022,1.7744519
37,0.111635566,37,0.3129956,4.247083
38,0.2618649,38,0.16670349,4.552074
39,0.2538511,39,0.11714964,2.711912
40,0.66383815,40,0.4628265,2.239708
41,0.66375166,41,0.1665082,2.0153077
42,0.23380338,42,0.16231404,2.6611054
43,0.6842676,43,0.32735083,7.9351163
44,0.46684963,44,0.19353567,2.9130263
45,0.6144182,45,0.4448036,5.0160604
46,0.5552736,46,0.23565516,5.154045
47,0.4820683,47,0.19875425,5.7259307
48,0.75228935,48,0.3550054,4.958519
49,0.52590954,49,0.2724732,4.896394
50,0.5304655,50,0.49751943,6.0271564
51,0.5047782,51,0.38648996,2.4980907
52,0.63132316,52,0.2483936,5.5094004
53,0.62385964,53,0.18159059,3.4583342
54,0.6971552,54,0.2819237,4.311718
55,0.68276614,55,0.39677423,3.9746757
56,0.66289973,56,0.22410487,5.024195
57,0.045259383,57,0.15469968,2.8896105
58,0.69280994,58,0.21639886,6.798301
59,0.34665477,59,0.110074796,7.9415236
60,0.70511085,60,0.2804773,3.3749306
61,0.4513818,61,0.05437058,4.7572393
62,0.73361343,62,0.66515636,5.14214
63,0.6205944,63,0.49710295,2.761557
64,0.49971867,64,0.22603214,7.595887
65,0.79238206,65,0.5135757,3.2514997
66,0.42334592,66,0.108084075,5.889952
67,0.10537265,67,0.23613355,6.5055428
68,0.6675832,68,0.14429304,3.4067764
69,0.30510625,69,0.1665131,1.8359641
70,0.5602692,70,0.4063587,4.588157
71,0.60436916,71,0.5899254,4.363381
72,0.8191063,72,0.6210243,8.557953
73,0.5349507,73,0.28766155,3.3638327
74,0.51293516,74,0.100481026,6.3473096
75,0.69434416,75,0.5527045,3.599316
76,0.4161169,76,0.14002964,3.395131
77,0.6154419,77,0.7465957,8.4806795
78,0.24217813,78,0.38735962,3.05652
79,0.10326633,79,0.4163553,4.6645107
80,0.47396353,80,0.185408,4.1895127
81,0.7767619,81,0.51939404,7.3426404
82,0.192945,82,0.464482,1.1067474
83,0.7786412,83,0.6049142,6.603341
84,0.4872694,84,0.29058942,1.2709419
85,0.518627,85,0.26164266,3.9051049
86,0.73891956,86,0.22141834,3.6933966
87,0.46162498,87,0.22607183,7.4577246
88,0.051214408,88,0.36797515,2.8725264
89,0.08515662,89,0.54018325,1.1749727
90,0.7253757,90,0.65139264,6.44504
91,0.7553245,91,0.47506392,4.3673105
92,0.7920707,92,0.6740198,1.5261265
93,0.41297168,93,0.08317566,6.99621
94,0.5675981,94,0.27291423,6.069511
95,0.69358593,95,0.3374126,4.3360715
96,0.42796218,96,0.4998458,1.4362257
97,0.029494146,97,0.2510928,4.2094865
98,0.72185767,98,0.4381431,3.548799
99,0.4411049,99,0.23291144,3.758123
100,0.10553709,100,0.5160354,1.1988399
101,0.5486408,101,0.2763825,7.368987
102,0.3726742,102,0.31544885,4.457866
103,0.58303624,103,0.39215675,3.961246
104,0.43036047,104,0.110634245,4.500656
105,0.15535143,105,0.16593273,1.9275143
106,0.07092192,106,0.6539293,1.3996505
107,0.62418246,107,0.2386745,1.9443599
108,0.23631603,108,0.54259384,1.5171863
109,0.7286093,109,0.13767505,8.037116
110,0.34818965,110,0.08064468,2.0389364
111,0.2295399,111,0.08296301,4.2438784
112,0.4049537,112,0.24638638,3.1245637
113,0.45044672,113,0.21204275,5.9858193
114,0.7153286,114,0.19702838,1.9501867
115,0.32542214,115,0.4132589,2.9789786
116,0.6761983,116,0.48598808,3.2524266
117,0.6936537,117,0.6675919,3.1554012
118,0.2060847,118,0.12897298,3.2668877
119,0.34155425,119,0.5726198,1.575698
120,0.54854065,120,0.63168365,3.0897598
121,0.60492116,121,0.24896048,8.917695
122,0.8071496,122,0.612422,8.818377
123,0.26388025,123,0.40829304,1.3589766
124,0.596344,124,0.18564217,7.8226104
125,0.07133185,125,0.38162926,4.0897985
126,0.29556146,126,0.23859674,4.786651
127,0.02529547,127,0.16647907,5.1326156
128,0.15641549,128,0.63256234,2.105627
