,policy rate,reward rate,dec temp,subject
0,0.78872263,0.16798577,8.891861,0
1,0.6316208,0.15578827,7.347942,1
2,0.29387996,0.31839553,1.2701142,2
3,0.16846111,0.047317162,3.3859916,3
4,0.5848117,0.37040135,3.21801,4
5,0.45917997,0.18003309,3.8369813,5
6,0.43993157,0.23578712,3.726392,6
7,0.85723853,0.45998064,1.3330772,7
8,0.34937447,0.17809965,5.851654,8
9,0.35931295,0.29441118,3.8732708,9
10,0.49975824,0.18897375,5.6439724,10
11,0.3496359,0.21321526,6.383965,11
12,0.71646917,0.15591712,7.7632527,12
13,0.917601,0.23533875,7.5615506,13
14,0.2926712,0.16293225,5.3002367,14
15,0.6202854,0.3137447,6.1908236,15
16,0.29338673,0.11743502,2.6616526,16
17,0.23720354,0.44706967,4.99317,17
18,0.52812576,0.30559584,6.1918745,18
19,0.17751497,0.26285422,3.122928,19
20,0.28832582,0.10795597,2.259135,20
21,0.8468658,0.31542087,4.242298,21
22,0.38262865,0.23046918,5.2079005,22
23,0.6665372,0.22147824,5.2034388,23
24,0.31300923,0.5590721,3.1202374,24
25,0.2812919,0.24263023,7.5349665,25
26,0.47736722,0.11347916,1.1889582,26
27,0.5154982,0.25624025,6.3636465,27
28,0.5541342,0.34992984,1.1934068,28
29,0.48484355,0.16014972,2.8426528,29
30,0.8140719,0.15798773,4.6392083,30
31,0.14023665,0.25250947,2.9607182,31
32,0.8873299,0.4239665,2.0392516,32
33,0.036234792,0.5198535,4.5702133,33
34,0.58808565,0.042263076,1.0619773,34
35,0.58822376,0.057302885,2.394653,35
36,0.35971075,0.053402923,1.2467031,36
37,0.112076566,0.22348891,4.383951,37
38,0.37029067,0.25265852,5.2922583,38
39,0.17514631,0.1419689,2.515117,39
40,0.65845156,0.37914112,2.6446095,40
41,0.6046295,0.22178508,2.2306232,41
42,0.20563295,0.12659232,2.3163083,42
43,0.75657666,0.33242726,7.938675,43
44,0.2850984,0.17656787,3.0724857,44
45,0.50810784,0.47386357,3.425989,45
46,0.33979028,0.19755757,4.682649,46
47,0.4056834,0.17257974,5.632518,47
48,0.70907074,0.28111768,5.0779657,48
49,0.7127381,0.34465635,5.270108,49
50,0.64996034,0.49038947,5.8740406,50
51,0.47619915,0.4325997,2.9989362,51
52,0.7273486,0.24684492,4.469524,52
53,0.725091,0.11730037,2.6470037,53
54,0.5940565,0.34036657,4.7449584,54
55,0.7368745,0.42653152,2.9535055,55
56,0.61388326,0.22382858,4.135699,56
57,0.036710333,0.17124785,3.178787,57
58,0.7481284,0.20827188,7.315917,58
59,0.37027285,0.12091114,7.540802,59
60,0.5658981,0.23109701,3.5053482,60
61,0.3974469,0.02304781,4.323166,61
62,0.7240779,0.7675891,3.596529,62
63,0.59230864,0.43878815,2.5934038,63
64,0.46145612,0.17904899,7.7627497,64
65,0.9417172,0.67681915,3.8304691,65
66,0.34979182,0.13840435,6.5390086,66
67,0.0774784,0.22529668,7.686739,67
68,0.64373416,0.14219272,2.815484,68
69,0.6218904,0.19699612,1.5666115,69
