,inferred policy rate,subject,inferred reward rate,inferred dec temp,inferred habitual tendency
0,0.5679241,0,0.1622375,7.447446,0.7728654
1,0.47690943,1,0.18213624,7.288532,0.8430282
2,0.3978745,2,0.29516304,2.3219259,0.77030104
3,0.12416958,3,0.13466826,2.4850512,0.833355
4,0.4364029,4,0.37331548,3.1403856,0.84245044
5,0.31711364,5,0.13437742,2.5285528,0.81830955
6,0.4699806,6,0.22256342,5.328675,0.8305354
7,0.64475274,7,0.4658778,2.1184468,0.303153
8,0.27114007,8,0.20690337,5.8492274,0.8275298
9,0.4613574,9,0.26473993,4.4547915,0.80620295
10,0.32829112,10,0.19437237,7.7472916,0.826287
11,0.3742768,11,0.19324599,6.6035013,0.82361853
12,0.31012514,12,0.14217591,8.280355,0.7704833
13,0.7124514,13,0.26544738,6.6631713,0.84756213
14,0.34520292,14,0.1675326,4.077989,0.82656246
15,0.44309667,15,0.3018519,5.473356,0.8299585
16,0.3100603,16,0.12725967,3.260942,0.8363319
17,0.29566947,17,0.39259014,4.9379954,0.70340586
18,0.41196477,18,0.34118566,5.7278633,0.8555617
19,0.3684618,19,0.18449792,2.900646,0.7655431
20,0.20478657,20,0.1207149,2.3480089,0.64782387
21,0.4920084,21,0.27182513,4.206364,0.40165767
22,0.41795373,22,0.15864584,5.6297207,0.8342378
23,0.578985,23,0.25922087,5.020473,0.8453416
24,0.46803153,24,0.4455798,2.9048326,0.5145095
25,0.39449668,25,0.21298471,7.01258,0.7989447
26,0.449402,26,0.14315261,1.6097652,0.69371325
27,0.4913117,27,0.2620459,6.948258,0.8065812
28,0.32590327,28,0.33224365,1.9714506,0.730375
29,0.35485962,29,0.2316167,2.9864173,0.77991724
30,0.57082254,30,0.19491865,4.3685546,0.8074624
31,0.13116656,31,0.28191,2.6439245,0.7754477
32,0.6636,32,0.42910406,2.1683717,0.7773895
33,0.0749729,33,0.38487634,4.13311,0.8137983
34,0.5114159,34,0.12898879,1.6534374,0.27716428
35,0.43890527,35,0.14927939,2.4261024,0.866727
