,inferred discount,subject,inferred learning rate,inferred mf weight,inferred mb weight,inferred repetition
0,0.3452859,0,0.5812707,2.1168706,2.29021,0.42805767
1,0.40711787,1,0.5948942,2.4057062,3.0585406,0.5726011
2,0.2910727,2,0.6919015,1.5273004,1.1858491,0.2268052
3,0.45713213,3,0.44238648,1.3314677,1.099329,0.7190029
4,0.38363916,4,0.616714,1.6572137,1.435638,0.6426164
5,0.30148518,5,0.5034213,2.0747576,1.3105168,0.3263382
6,0.32924616,6,0.59030133,2.0352147,1.8190538,0.38975352
7,0.28902954,7,0.65896386,1.3864816,1.1219304,0.21494702
8,0.3478293,8,0.57397676,1.9598447,2.1513915,0.5357208
9,0.3030462,9,0.6114028,2.008577,1.4836477,0.29314482
10,0.41779542,10,0.56992495,2.2500372,3.2222908,0.62329847
11,0.37017283,11,0.5781098,1.9409573,2.1208444,0.5347389
12,0.37278458,12,0.5493176,2.181857,2.7712705,0.48902014
13,0.3133755,13,0.634074,2.3177056,2.549988,0.54770017
14,0.37999883,14,0.536778,1.7481321,1.2982682,0.42307195
15,0.38437477,15,0.6416951,1.9339724,1.6124253,0.27511895
16,0.3827691,16,0.49441987,2.0481293,1.4181569,0.522207
17,0.3058499,17,0.62994164,1.6387689,1.3864098,0.3557885
18,0.53397065,18,0.6395148,2.6533349,1.9173687,0.6908363
19,0.29073352,19,0.6345311,1.598145,1.2601815,0.21882254
20,0.29624397,20,0.5522051,1.286819,1.0139202,0.31672338
21,0.27673498,21,0.61979604,1.7773792,1.3132769,0.19449595
22,0.35754073,22,0.55962414,1.9132601,1.3573669,0.6361515
23,0.36529708,23,0.6340802,1.8647653,2.479646,0.52957314
24,0.26098767,24,0.65909475,1.5177014,1.3190567,0.18857679
25,0.4358769,25,0.55953753,2.0616553,2.3201163,0.5958796
26,0.31743774,26,0.6472567,1.2443054,1.0225345,0.2567287
27,0.3221927,27,0.6021543,2.1432002,3.7595787,0.3895437
28,0.33111235,28,0.65250456,1.3084464,1.0715163,0.2683953
29,0.30426818,29,0.59953564,1.6775274,1.2319267,0.27160016
30,0.3979502,30,0.599635,2.045782,1.430228,0.3939024
31,0.2523238,31,0.58029586,1.7040788,1.1808293,0.18725428
32,0.28202558,32,0.67519915,1.4829465,1.2534919,0.24083365
33,0.37853667,33,0.6325166,1.9018015,1.4901431,0.5111536
34,0.2627268,34,0.6636048,1.3144435,1.0400804,0.18378852
35,0.48504663,35,0.6108653,1.9138246,1.2702602,0.7865428
36,0.300565,36,0.6364308,1.4483943,1.2069211,0.2459849
37,0.4405526,37,0.5643114,1.6923655,1.2980927,0.54132897
38,0.43797198,38,0.58024704,1.4913028,1.2287488,0.6917402
39,0.29946876,39,0.49418452,1.9056511,1.231945,0.32195094
40,0.42112747,40,0.6697702,1.4174515,1.0849125,0.32717073
41,0.27535352,41,0.6550675,1.4009929,1.1240453,0.19926986
42,0.3546832,42,0.5547047,1.4960752,1.1855168,0.56409514
43,0.37675232,43,0.6517248,2.3095639,2.2435489,0.4607423
44,0.27613074,44,0.62131286,1.4121314,1.1408598,0.19368237
45,0.38249558,45,0.64421487,1.7080446,1.5368708,0.27909312
46,0.3548589,46,0.60615355,1.7233572,1.6923258,0.4109767
47,0.34831056,47,0.5722594,1.9927536,1.9384131,0.62815976
48,0.3695922,48,0.6728297,1.8904065,1.3292642,0.4151856
49,0.32653856,49,0.58720165,1.8210114,1.5204079,0.24337529
50,0.3558246,50,0.6323132,1.7509274,1.5986373,0.40028596
51,0.26886296,51,0.66641533,1.37336,1.1227269,0.19646001
52,0.31182933,52,0.6150452,1.7682168,2.095189,0.24560258
53,0.30153522,53,0.6424032,1.6415703,1.2228796,0.21105598
54,0.37443927,54,0.66005206,1.6114794,1.3245982,0.6295027
55,0.27437323,55,0.65286267,1.6253065,1.3633409,0.19533204
56,0.35202405,56,0.6184581,2.1962016,1.9894053,0.6660499
57,0.60887796,57,0.45595866,2.5037627,1.5788625,0.7123893
58,0.4125027,58,0.6273947,2.2296412,2.1630197,0.5016579
59,0.3925291,59,0.50719416,2.0885243,2.3945777,0.6749037
60,0.29163384,60,0.6578082,1.5648887,1.3300722,0.22049038
61,0.35406473,61,0.5407489,2.550797,1.9141753,0.44290984
62,0.30303168,62,0.6845891,1.4504473,1.3734875,0.25303796
63,0.3155152,63,0.6474861,1.5751507,1.3926482,0.321573
64,0.38753265,64,0.5636276,2.4234672,1.6148793,0.71195364
65,0.33448255,65,0.6743866,1.5849363,1.3628945,0.22965375
66,0.52472705,66,0.5407123,2.3975387,2.7256224,0.7188976
67,0.5092629,67,0.579636,2.3891795,1.9197831,0.7525129
68,0.2863243,68,0.5944381,1.8058374,1.4147761,0.2276526
69,0.28543067,69,0.6218094,1.3604531,1.0921519,0.22466874
70,0.3699889,70,0.6395864,1.9839553,1.7475442,0.3804644
71,0.35788852,71,0.6947738,1.4222947,1.2860105,0.34289607
72,0.32210916,72,0.71294147,1.7094426,2.0801785,0.2525303
73,0.3564047,73,0.62111986,1.6287093,1.5809128,0.70802003
74,0.43229243,74,0.55471003,2.4143565,2.8051343,0.5832086
75,0.2746971,75,0.69530064,1.6130005,1.3521597,0.19771887
76,0.34197387,76,0.56104225,1.5870916,1.3474771,0.6225146
77,0.31540424,77,0.68708366,1.6715657,2.3996177,0.24084061
78,0.30784878,78,0.64151,1.5509448,1.2690464,0.21084474
79,0.26603758,79,0.67684335,1.6330681,1.3260319,0.17768855
80,0.34990916,80,0.5700275,1.9276583,1.3345623,0.67276525
81,0.30722645,81,0.68532693,1.968227,2.8713574,0.2249424
82,0.2941707,82,0.68084306,1.1554326,1.0143954,0.18920036
83,0.3164702,83,0.68321496,1.6367038,1.6557002,0.2696809
84,0.28219178,84,0.6579099,1.2327005,1.0438948,0.1916732
85,0.26801437,85,0.64222646,1.8166173,1.2246232,0.20235495
86,0.34048724,86,0.62882227,1.5231931,1.1974602,0.26782158
87,0.39157936,87,0.56883705,2.2350142,3.0268638,0.38535526
88,0.3640685,88,0.5745449,1.5521315,1.2476157,0.7003545
89,0.27597088,89,0.6887731,1.1974849,1.0284235,0.21021317
90,0.35739118,90,0.6932753,1.7555833,1.6109095,0.31310424
91,0.29982257,91,0.691671,1.65096,1.4200588,0.21878253
92,0.31124637,92,0.70245105,1.2536765,1.084416,0.22694547
93,0.5138164,93,0.45414838,2.3957548,2.2065113,0.68017083
94,0.3511201,94,0.6108545,2.1266856,2.7805274,0.4989773
95,0.3247856,95,0.63002366,1.9204004,1.7522539,0.29026714
96,0.32338023,96,0.60751283,2.0539932,1.550937,0.2646287
97,0.76579183,97,0.54336476,3.8611403,1.5901878,0.7362445
98,0.35451385,98,0.6746062,1.8909155,1.816613,0.36019385
99,0.4597073,99,0.5839955,2.3055398,1.8916409,0.7521843
100,0.2980525,100,0.6132492,1.1738013,1.044684,0.21460669
101,0.4175794,101,0.60138214,2.3638198,2.4759605,0.5844177
102,0.28905627,102,0.6388307,1.64774,1.2505994,0.20837829
103,0.30470723,103,0.65362066,1.5296847,1.3342727,0.20679316
104,0.40178534,104,0.55611426,2.0178833,1.3750732,0.5802161
105,0.3312087,105,0.5416278,1.650991,1.3631259,0.35775664
106,0.26875713,106,0.69184554,1.297103,1.1072559,0.18202205
107,0.30953005,107,0.6566325,1.3934461,1.1225655,0.2382977
108,0.2765044,108,0.6645033,1.4883792,1.0913314,0.185198
109,0.31635058,109,0.5569981,2.013517,2.6911602,0.5120984
110,0.28705147,110,0.5835377,1.3888717,1.1736435,0.22291228
111,0.38575792,111,0.45504874,1.9892404,1.6381786,0.64801353
112,0.27064562,112,0.6292664,1.5231009,1.2215967,0.20249476
113,0.36910528,113,0.5910537,2.2530398,3.1694272,0.73943007
114,0.27040944,114,0.64606607,1.3841772,1.1084591,0.20511544
115,0.3052798,115,0.6506986,1.5672234,1.0841743,0.23167233
116,0.3028763,116,0.6544213,1.5351037,1.2489716,0.2226812
117,0.30993938,117,0.68165684,1.4988136,1.2611955,0.20120984
118,0.28661165,118,0.5917975,1.7050962,1.234417,0.19054405
119,0.26551422,119,0.70258254,1.3763138,1.0797968,0.17989628
120,0.3036624,120,0.6564691,1.5853755,1.1654236,0.2145324
121,0.35549587,121,0.5803339,2.4449947,3.3254297,0.3634138
