,inferred policy rate,true policy rate,subject,inferred reward rate,true reward rate,inferred dec temp,true dec temp
0,0.35840577,0.46178377,0,0.65901554,0.8541301,4.140961,5.1623936
1,0.041013617,0.008251786,1,0.3311136,0.3697238,5.9293895,6.938102
2,0.79158336,0.7401383,2,0.4784873,0.2879861,2.5413804,2.137115
3,0.79921556,0.8647619,3,0.32826167,0.23075736,2.3003705,2.0351071
4,0.37806013,0.42684615,4,0.40531647,0.59418666,3.868346,5.800897
5,0.48374593,0.79255813,5,0.51721805,0.64016986,3.761576,4.6435223
6,0.29961368,0.20525402,6,0.78185105,0.95936954,3.6859088,4.722132
7,0.82543737,0.91053116,7,0.78465056,0.810134,3.1523278,1.3137226
8,0.6885824,0.88548946,8,0.63036203,0.5488903,4.455586,3.986252
9,0.1984958,0.23328078,9,0.6505592,0.5767083,6.455015,4.102924
10,0.22808287,0.1947226,10,0.2906449,0.20388979,4.872118,4.5233636
11,0.7520038,0.8125352,11,0.5305881,0.43580246,1.818543,1.7450165
12,0.5485389,0.4716671,12,0.6466448,0.81150484,5.5745354,6.518099
13,0.8361377,0.8649302,13,0.7734551,0.82623076,3.2794049,3.6635642
14,0.107331164,0.15560663,14,0.10924617,0.094849765,3.3623116,3.1574495
15,0.40271485,0.23138678,15,0.2052541,0.07472223,2.8955498,1.6160337
16,0.2213165,0.25530314,16,0.03519501,0.026808321,7.34845,6.8576603
17,0.25430846,0.18249369,17,0.69666016,0.92936903,3.5309663,6.7816925
18,0.09985104,0.15028405,18,0.033084836,0.028167546,4.0795236,3.4581988
19,0.8350321,0.8877053,19,0.62497747,0.5771267,3.976671,3.1986518
20,0.7551311,0.97170544,20,0.6947672,0.9318382,2.0630963,2.7982297
21,0.6498383,0.84047866,21,0.28143474,0.26076192,3.1029644,2.953496
22,0.48925558,0.3947168,22,0.085010976,0.07890135,5.010961,4.7514343
23,0.22279945,0.22212029,23,0.48665532,0.42586976,4.6834884,4.2636595
24,0.71618986,0.8191008,24,0.5859129,0.6199424,5.553219,6.675123
25,0.71752626,0.7253439,25,0.3958951,0.36524504,4.889014,4.2604685
26,0.2709233,0.31217277,26,0.49578065,0.38046354,4.1341147,3.9754145
27,0.8342357,0.89593166,27,0.12687008,0.11580628,4.8115764,4.399927
28,0.6553858,0.5532255,28,0.7326814,0.5307524,3.4962163,2.2770355
29,0.6969505,0.6394413,29,0.4487948,0.23826653,2.9253032,1.8899941
30,0.2708015,0.35802203,30,0.693037,0.80078226,5.769681,6.7732525
31,0.46512127,0.3302909,31,0.49443933,0.4859112,7.398328,6.9122443
32,0.25565034,0.2532004,32,0.61512506,0.11851382,1.9969863,1.2559614
33,0.43405685,0.26677924,33,0.33320525,0.3079161,5.1704345,6.027318
34,0.6542073,0.7985997,34,0.30249402,0.32369137,4.5540276,5.116285
35,0.38314337,0.31417948,35,0.5844298,0.4890356,6.1610737,5.6390266
36,0.105958104,0.11422402,36,0.7933868,0.9906859,4.028695,5.0036864
37,0.78987426,0.8063823,37,0.5530575,0.8224497,3.761127,4.56564
38,0.7243135,0.6656222,38,0.47424534,0.2950334,5.482934,5.611505
39,0.110997155,0.06986052,39,0.13496937,0.09318465,4.4648886,4.829035
40,0.041356646,0.004848063,40,0.48759332,0.5238809,2.6029496,2.1677742
41,0.3798286,0.43631703,41,0.50364333,0.5578293,5.792716,5.1078176
42,0.23133527,0.29901433,42,0.69656616,0.635702,2.5322783,1.352492
43,0.7507732,0.68933195,43,0.13270329,0.10298717,2.823892,2.3280582
44,0.7978632,0.9089492,44,0.13091132,0.16406113,3.2222164,3.1277714
45,0.09346077,0.08721882,45,0.48224127,0.34999812,3.6581442,4.121003
46,0.61009634,0.70015293,46,0.43919605,0.47151822,4.03201,4.5160766
47,0.6685116,0.7606016,47,0.39758265,0.45672113,4.812904,3.6746774
48,0.23016958,0.27193093,48,0.79363364,0.91785854,6.298306,6.6842284
49,0.8052205,0.8085304,49,0.36697906,0.4105037,3.2174869,2.570701
