,policy rate,reward rate,dec temp,subject,true policy rate,inferred policy rate,true reward rate,inferred reward rate,true dec temp,inferred dec temp
0,0.8073492,0.2149452,4.804756,0,0.6971745,0.6187,0.17627853,0.26424116,5.077299,4.695536
1,0.072324224,0.1421997,3.664831,1,0.07084012,0.101108536,0.29309905,0.3065295,2.9423692,3.2893724
2,0.5310816,0.31880498,6.248222,2,0.34435105,0.5177732,0.31821793,0.31612796,6.928856,6.320827
3,0.27550906,0.795455,1.7017171,3,0.2904817,0.270425,0.510046,0.5928638,1.7667166,2.2582865
4,0.78328496,0.76759976,1.5334321,4,0.68747807,0.66919875,0.7858152,0.684039,1.6070533,2.0569506
5,0.4038624,0.9297846,1.7387114,5,0.3034317,0.35481519,0.58498234,0.69564587,1.0753139,1.6400764
6,0.54035056,0.924467,6.6044717,6,0.3600334,0.60152894,0.79764354,0.8150281,4.2636766,3.9904292
7,0.7485512,0.6242817,7.67829,7,0.40414,0.6014927,0.42383015,0.56769806,4.4198127,6.846549
8,0.5999958,0.82466877,3.193572,8,0.47253203,0.6411166,0.91253066,0.77843994,6.501489,4.004082
9,0.36834314,0.718792,1.4393998,9,0.3487438,0.50000834,0.74206114,0.7029735,1.3109878,1.5726968
10,0.50826293,0.60341305,1.3962193,10,0.9967576,0.43737477,0.011845887,0.29175153,5.3628254,2.663221
11,0.68583465,0.80241114,5.233735,11,0.6332386,0.6903468,0.74142647,0.7717689,3.794489,4.0045023
12,0.064529695,0.23851009,1.4563972,12,0.14233154,0.10200143,0.8605047,0.48750317,1.1600052,1.8777729
13,0.81291825,0.54936546,2.2258613,13,0.6870218,0.69253004,0.47082806,0.50371546,2.3359947,3.291587
14,0.97191817,0.6616009,4.1399174,14,0.8686063,0.7219272,0.8195417,0.7249326,6.7158165,3.5587354
15,0.82070684,0.347712,3.350226,15,0.33104277,0.4622069,0.27946264,0.2869942,4.5387506,3.9882896
16,0.4145549,0.43963996,4.0462923,16,0.5624241,0.53130895,0.2613287,0.35905516,4.2250643,3.6735
17,0.2731108,0.569631,5.678325,17,0.36756974,0.3609532,0.6678158,0.6492838,6.2911143,5.8241005
18,0.66800094,0.5969144,6.005563,18,0.56673366,0.6295952,0.4935493,0.60347813,6.2266803,6.4541073
19,0.91362363,0.37470716,6.532302,19,0.36525118,0.78040326,0.4305175,0.34373844,5.7098384,5.619845
20,0.73851526,0.8965755,3.1903415,20,0.67734647,0.70582473,0.96837336,0.7479555,4.5827775,2.1799014
21,0.064770505,0.9204675,2.6902356,21,0.09924966,0.096345864,0.7254775,0.73035353,4.08434,2.6569047
22,0.6868543,0.6996365,1.8074268,22,0.7299479,0.44621384,0.9854353,0.77922225,3.2768192,1.7987816
23,0.26120225,0.4307799,0.92969066,23,0.3284108,0.30321735,0.38655478,0.6286366,1.4630959,3.2288675
24,0.5260046,0.53027755,6.0381193,24,0.34607595,0.5090811,0.46726388,0.50691444,5.474063,5.4075155
25,0.6591229,0.5406036,1.6207361,25,0.5266521,0.5915634,0.84565115,0.64665526,5.348172,2.1089911
26,0.3765946,0.33238703,3.9960754,26,0.34902954,0.4134656,0.5162457,0.59139675,3.834136,5.0258703
27,0.28478295,0.3496357,5.736239,27,0.34388322,0.2548347,0.24876046,0.32038558,4.2796106,5.437393
28,0.5412591,0.9081751,6.3520107,28,0.995737,0.60538954,0.56150687,0.5551975,3.2495072,4.1396747
29,0.85269547,0.664958,4.406739,29,0.78475845,0.7593632,0.40806723,0.40561286,2.2043447,3.2464824
30,0.29814026,0.5014552,1.4081663,30,0.34033376,0.20321324,0.8364211,0.5812186,1.4258704,1.9779475
31,0.216147,0.86544234,5.6452475,31,0.4354378,0.39045724,0.7419257,0.7244207,4.5399942,3.9464643
32,0.49404585,0.48381063,1.4828969,32,0.58802664,0.4883128,0.6615427,0.52319145,2.272096,2.8731792
33,0.22007681,0.6967787,2.9512312,33,0.18723273,0.21110709,0.9485334,0.72796524,1.5935553,2.683495
34,0.35587656,0.4826348,3.9288604,34,0.5300856,0.47392994,0.73607266,0.666891,3.984787,3.6869316
35,0.65834165,0.9254286,1.5734832,35,0.80511516,0.74999607,0.9745663,0.75919765,3.1375382,1.9975471
36,0.34967476,0.7909378,1.1200687,36,0.34631395,0.2880376,0.6624335,0.7779984,1.1217365,2.5272617
37,0.8243472,0.6780803,4.9424076,37,0.9483747,0.80326605,0.38666928,0.64046144,3.5569773,5.5378437
38,0.26156387,0.6030581,2.974036,38,0.2494002,0.27129602,0.26678115,0.68442273,1.9038326,1.8214405
39,0.2568749,0.62415683,7.7159386,39,0.30127484,0.45216668,0.6468541,0.6198478,6.9849954,6.7749844
40,0.06613606,0.59171546,8.876027,40,0.33862227,0.30939308,0.41997296,0.4537469,6.787513,7.047982
41,0.6028029,0.92370963,1.8270092,41,0.6023537,0.7130853,0.36571813,0.59555835,1.7365471,2.1936245
42,0.17901282,0.8721661,2.9787564,42,0.3311504,0.2670548,0.78031784,0.7087032,4.6335096,3.783626
43,0.2042167,0.93268543,1.5525664,43,0.28171265,0.22442697,0.6224529,0.7222512,2.7680154,1.8662585
44,0.32709146,0.03574147,5.9140134,44,0.57494056,0.5007792,0.026441514,0.032783527,6.2095337,5.5680604
45,0.5866779,0.07106161,6.9320483,45,0.4584371,0.5338301,0.06749129,0.07147739,6.3760443,6.4395165
46,0.813085,0.56985915,0.7488357,46,0.8965924,0.8751937,0.5256165,0.7546182,1.0306251,1.5118548
47,0.21841216,0.5803151,5.99073,47,0.20233399,0.22486126,0.6892997,0.6545867,6.498911,5.8668814
48,0.020889677,0.5117163,2.402957,48,0.0028330684,0.025565574,0.484596,0.6273521,3.0209198,3.9669642
49,0.66956544,0.72735244,5.993693,49,0.9930519,0.67713195,0.5519492,0.5224435,4.67476,4.794044
50,0.7840656,0.29174685,5.6077394,0,0.6971745,0.6187,0.17627853,0.26424116,5.077299,4.695536
51,0.040617853,0.59214246,4.3906403,1,0.07084012,0.101108536,0.29309905,0.3065295,2.9423692,3.2893724
52,0.62396425,0.24126704,5.3778067,2,0.34435105,0.5177732,0.31821793,0.31612796,6.928856,6.320827
53,0.2672774,0.344037,2.778531,3,0.2904817,0.270425,0.510046,0.5928638,1.7667166,2.2582865
54,0.14505063,0.5301515,3.305368,4,0.68747807,0.66919875,0.7858152,0.684039,1.6070533,2.0569506
55,0.44890332,0.23704086,1.0074536,5,0.3034317,0.35481519,0.58498234,0.69564587,1.0753139,1.6400764
56,0.63361055,0.8521941,3.8639424,6,0.3600334,0.60152894,0.79764354,0.8150281,4.2636766,3.9904292
57,0.5081719,0.53861874,5.932481,7,0.40414,0.6014927,0.42383015,0.56769806,4.4198127,6.846549
58,0.60094535,0.74802846,2.3080165,8,0.47253203,0.6411166,0.91253066,0.77843994,6.501489,4.004082
59,0.6219669,0.9761983,3.390517,9,0.3487438,0.50000834,0.74206114,0.7029735,1.3109878,1.5726968
60,0.6759663,0.07707259,3.3372567,10,0.9967576,0.43737477,0.011845887,0.29175153,5.3628254,2.663221
61,0.7635795,0.72650707,4.342458,11,0.6332386,0.6903468,0.74142647,0.7717689,3.794489,4.0045023
