,locs0,locs1,locs2,subject
0,-1.2470044,1.8826445,-1.8302652,0
1,1.0328217,-1.2192099,-1.3028646,1
2,1.2843305,0.97141254,-0.78420794,2
3,1.2126112,0.76717067,-1.2751778,3
4,1.461601,-1.4515257,-0.2440579,4
5,0.627121,0.29605412,-1.3417951,5
6,-0.9082895,-2.0710227,-0.87663484,6
7,-0.29200685,0.79213583,-0.04427582,7
8,1.0082072,-0.38968414,0.38977233,8
9,3.0481226,-1.6755937,0.20284364,9
10,1.898477,-1.4878421,-0.42380148,10
11,0.43881118,-0.43518615,0.49448517,11
12,-0.48921973,0.22608127,0.80041826,12
13,0.053151205,-0.43866402,0.44813967,13
14,-0.54090273,-0.111338854,-1.374901,14
15,1.0358686,0.4562021,-1.6493294,15
16,0.36621818,-0.3916477,0.65449756,16
17,0.9558402,3.2972636,-0.65726244,17
18,-1.2090938,2.1613414,0.9564194,18
19,-0.3211676,-1.7396617,-0.82875437,19
20,-0.92517436,1.8150024,-1.5986153,20
21,-3.5028641,-2.9217021,-1.0413164,21
22,-2.0054765,-0.07017256,0.97550267,22
23,-0.8684204,-0.27089667,-1.795206,23
24,1.2304959,-0.6402415,0.1326212,24
25,2.1268256,2.8122225,-0.15812796,25
26,-0.28430003,-3.2570124,-0.068124264,26
27,1.6403451,-1.1649925,-0.13705811,27
28,0.11684835,-0.602192,-0.025451124,28
29,-2.593484,-1.0487105,-0.5179737,29
30,-0.9301846,-2.2416224,0.3176492,30
31,-1.3089613,1.3004445,-0.30943498,31
32,0.31245303,1.579064,0.9739139,32
33,-2.6720538,-1.4020293,-0.35060462,33
34,-1.8509369,0.6213487,0.33537522,34
35,-0.73793435,1.5351734,-1.3592813,35
36,0.043253202,0.7411983,-1.5898967,36
37,1.0100795,1.5113286,-1.2727401,37
38,-1.7143775,2.7685,0.8805292,38
39,-1.5983573,0.41582996,-1.108587,39
40,1.9027028,-0.15806662,0.080584936,40
41,-2.2161834,1.2335358,-1.8909413,41
42,0.21335948,1.4651625,-0.84681123,42
43,-0.12384784,-1.5792768,-1.3554131,43
44,0.009373516,0.47681865,-1.5143323,44
45,0.9990253,-0.68375516,-0.899616,45
46,0.68858206,-0.7624468,-0.04055161,46
47,1.0182949,0.45712006,0.46641386,47
48,-1.5068887,-2.7529833,-0.85654145,48
49,1.6393237,-1.0370095,-0.27951387,49
50,0.44164562,-0.29300684,-0.58681554,50
51,2.3907392,-2.8003378,-0.96306485,51
52,-0.05158228,-2.0385823,-0.1917333,52
53,-0.78932965,0.018031389,0.67627716,53
54,0.6061419,-0.68403894,-0.8692489,54
55,-1.977116,0.16879453,-0.50904346,55
56,-0.005416274,0.68234015,0.3243875,56
57,-1.3135432,0.65169644,0.6005752,57
