,policy rate,reward rate,dec temp,subject
0,0.5096719,0.79273534,3.8223343,0
1,0.51910335,0.61963,5.961485,1
2,0.8371676,0.5384893,4.090828,2
3,0.20132501,0.35798562,1.8355415,3
4,0.19019881,0.84388256,2.740083,4
5,0.2296035,0.8267633,3.907522,5
6,0.6990471,0.42915326,3.7232656,6
7,0.29328176,0.17196697,2.3928158,7
8,0.25620818,0.8138619,5.053375,8
9,0.54380137,0.5365871,6.880189,9
10,0.8606233,0.775848,6.03708,10
11,0.41730818,0.39100945,2.0685253,11
12,0.31623438,0.08663629,4.1196694,12
13,0.12640171,0.45886263,2.203423,13
14,0.8339885,0.61372346,3.6459937,14
15,0.23708297,0.7399913,4.0766034,15
16,0.53271216,0.326602,4.755062,16
17,0.42042246,0.80645734,3.6332445,17
18,0.62031585,0.6097201,1.757787,18
19,0.41312358,0.7140607,4.2828445,19
20,0.0085817035,0.3546628,2.966104,0
21,0.6589712,0.59700567,5.8222537,1
22,0.83188295,0.70125324,3.1414733,2
23,0.21350278,0.76151276,6.647311,3
24,0.3330713,0.6059917,1.2995069,4
25,0.3370342,0.86471885,2.3090558,5
26,0.19767676,0.56298906,5.9928536,6
27,0.2631069,0.18187413,2.4270794,7
28,0.2666811,0.49020526,1.7664466,8
29,0.10616544,0.63898635,6.572881,9
30,0.6596096,0.460221,2.812417,10
31,0.540105,0.6715777,4.214894,11
32,0.33306968,0.2921947,3.7631254,12
33,0.17029132,0.60556024,2.2791007,13
34,0.73490846,0.40694097,3.6727672,14
35,0.39588845,0.6916643,2.8323016,15
36,0.7361575,0.3371886,5.431608,16
37,0.33374104,0.66204673,1.5985869,17
38,0.6267979,0.7239427,3.8357651,18
39,0.266642,0.5982878,2.8816578,19
40,0.5946563,0.6858831,3.3183277,0
41,0.6932296,0.49976647,5.629672,1
42,0.74301034,0.42661107,1.4966004,2
43,0.11239505,0.6747453,3.4460733,3
44,0.30850416,0.6001374,1.665545,4
45,0.29796213,0.7664331,4.071514,5
46,0.40364733,0.45618832,5.3210063,6
47,0.39567626,0.47273102,4.9432893,7
48,0.09422675,0.76433665,2.903422,8
49,0.52597547,0.5079041,5.5249434,9
50,0.65767187,0.55287385,6.316695,10
51,0.34665942,0.72013605,4.3887467,11
52,0.15718679,0.24973194,5.8948426,12
53,0.3461609,0.4869862,2.7705815,13
54,0.49269673,0.39644065,2.523281,14
55,0.055456813,0.41150406,3.189639,15
56,0.79653,0.411844,4.026829,16
57,0.05965054,0.68864393,3.1950295,17
58,0.61986077,0.53903455,3.0216072,18
59,0.47141197,0.61996806,6.301914,19
60,0.5343754,0.7396728,5.723531,0
61,0.3958212,0.64274776,7.5467224,1
62,0.75817513,0.40344483,3.951404,2
63,0.5686905,0.34729004,2.1229312,3
64,0.17400107,0.5975537,2.4809887,4
65,0.4917199,0.7672355,3.3655145,5
66,0.2796759,0.41556457,3.705394,6
67,0.4232856,0.5646098,2.4321244,7
68,0.16779673,0.6672489,1.6631137,8
69,0.2433726,0.52677363,5.7546687,9
70,0.64712024,0.42019323,5.4560575,10
71,0.40890846,0.68750864,1.8367453,11
72,0.47962666,0.18640362,4.9220033,12
73,0.19403097,0.73234195,1.9026916,13
74,0.85022783,0.6668393,4.848247,14
75,0.22371927,0.6984004,3.2665815,15
76,0.9113551,0.29489887,3.3628826,16
77,0.09962263,0.70935696,3.1610537,17
78,0.74786735,0.863576,2.3913372,18
79,0.39132532,0.5224926,5.325905,19
80,0.8000311,0.23045209,2.246171,0
81,0.80483675,0.69093883,7.8345594,1
82,0.5499884,0.68419546,5.2355294,2
83,0.2769298,0.39127117,3.3980885,3
84,0.23314518,0.6005216,0.9154529,4
85,0.6210992,0.43516266,1.9817185,5
86,0.4086307,0.65130115,4.8586946,6
87,0.30557021,0.59920573,5.979495,7
88,0.12399921,0.72844756,2.040452,8
89,0.7123511,0.42511934,5.0277376,9
90,0.85256594,0.3822267,3.5580215,10
91,0.6526353,0.8742698,4.711126,11
92,0.37052733,0.18998018,3.3947375,12
93,0.35558203,0.65430176,2.5361352,13
94,0.40707517,0.49746823,2.88231,14
95,0.21431908,0.62978303,2.580562,15
96,0.61527574,0.33926642,2.1984646,16
97,0.14940253,0.5381669,2.764831,17
98,0.7277445,0.6974029,2.6499395,18
99,0.2929427,0.48907536,3.947884,19
100,0.15926576,0.75854796,3.6441872,0
101,0.61302435,0.698305,7.887857,1
102,0.7647511,0.5579447,4.981653,2
103,0.46560088,0.7266848,5.2900295,3
104,0.26313162,0.6899159,5.321846,4
105,0.5591912,0.70797634,3.1007385,5
106,0.38420925,0.42902362,4.620063,6
107,0.27414,0.7082438,5.9793034,7
108,0.1413405,0.7249592,4.9174876,8
109,0.17333102,0.43865868,6.548095,9
110,0.56970036,0.6227633,5.9365425,10
111,0.37921402,0.4207512,1.471941,11
112,0.6344059,0.22074656,3.889847,12
113,0.20478392,0.4996149,2.126461,13
114,0.6249675,0.87719214,3.4084096,14
115,0.12971497,0.83758783,4.0333686,15
116,0.7597258,0.16645175,4.1912875,16
117,0.12700716,0.85881644,3.6013532,17
118,0.49059504,0.87280667,5.7306952,18
119,0.359147,0.6617044,6.4851565,19
120,0.21447143,0.5225284,3.6754842,0
121,0.42823556,0.50398856,5.125758,1
122,0.60683197,0.78402513,5.4708776,2
123,0.23659599,0.65479696,3.9435234,3
124,0.19430725,0.58210856,2.6277235,4
125,0.42963034,0.82971126,2.7883358,5
126,0.60501343,0.66078115,5.0479136,6
127,0.23400065,0.52328706,3.2540796,7
128,0.35293266,0.40893787,1.4427012,8
129,0.3901516,0.54216963,7.1504583,9
130,0.47768185,0.6575948,7.660572,10
131,0.4886843,0.78968203,2.4230793,11
132,0.28940067,0.2202507,4.524523,12
133,0.04669051,0.7744175,2.1429782,13
134,0.80755544,0.17053136,1.1440282,14
135,0.17355472,0.71630275,1.673639,15
136,0.91344804,0.5855044,4.580359,16
137,0.19892858,0.3982792,0.94364357,17
138,0.5164853,0.84064084,4.600057,18
139,0.44429708,0.7575534,6.471346,19
140,0.18248948,0.4812439,4.3202157,0
141,0.7238208,0.848711,7.836144,1
142,0.78138006,0.6493163,3.2339618,2
143,0.25814775,0.60206676,2.5566256,3
144,0.18245971,0.6691398,1.9691181,4
145,0.27793196,0.7815189,1.9664538,5
146,0.32241958,0.44937977,4.310791,6
147,0.4687011,0.40493917,3.010743,7
148,0.2701698,0.5381072,1.5499729,8
149,0.043145306,0.47431257,5.0937614,9
150,0.5484435,0.48828447,4.418325,10
151,0.29760993,0.6127069,1.8287628,11
152,0.37443402,0.16064377,5.2868896,12
153,0.2614034,0.87189144,2.4360578,13
154,0.87982595,0.63614386,6.21593,14
155,0.1927248,0.6708496,5.414032,15
156,0.7238917,0.23429136,2.9196475,16
157,0.18935338,0.6423014,1.5915304,17
158,0.4803614,0.50347286,2.0241427,18
159,0.4861888,0.78393316,5.465416,19
160,0.122426085,0.56233585,3.903674,0
161,0.62425256,0.4705703,7.2060294,1
162,0.73024666,0.5529862,3.0619514,2
163,0.059645444,0.7356617,7.2359734,3
164,0.395267,0.5244619,1.2769974,4
165,0.3693526,0.7191241,1.2132094,5
166,0.514241,0.48517838,3.8938808,6
167,0.57829314,0.27378395,3.7787416,7
168,0.12061501,0.5796887,2.026705,8
169,0.6677866,0.47463152,5.068025,9
170,0.8451791,0.17946267,2.205009,10
171,0.37566838,0.732191,2.0541165,11
172,0.2768855,0.18262346,4.9085946,12
173,0.10435278,0.6249658,1.6268346,13
174,0.39369196,0.20788708,1.4003944,14
175,0.34421325,0.5244732,2.8666968,15
176,0.65869105,0.49626696,3.6657062,16
177,0.3578919,0.7729363,2.3658981,17
178,0.47233492,0.894574,5.30647,18
179,0.26583225,0.45347425,1.9043067,19
180,0.091467686,0.6534907,4.2885695,0
181,0.81768167,0.5854876,6.6541615,1
182,0.7264291,0.726223,2.698338,2
183,0.2919521,0.7381062,3.145497,3
184,0.26404864,0.56421,1.7733142,4
185,0.4328013,0.7248892,3.0097876,5
186,0.4774919,0.50629604,5.049315,6
187,0.3103273,0.6551523,5.0294375,7
188,0.199735,0.68726146,2.2561667,8
189,0.16807638,0.49988773,5.4823394,9
190,0.55586195,0.7052562,8.306363,10
191,0.3049375,0.54378706,1.1443453,11
192,0.16727538,0.24541073,6.2610626,12
193,0.23914488,0.3703976,2.6442652,13
194,0.6327832,0.22125383,2.0131474,14
195,0.46412838,0.6865312,2.1389875,15
196,0.8107332,0.23695546,3.2513447,16
197,0.09319372,0.74851394,4.514099,17
198,0.5428096,0.78087765,1.8585925,18
199,0.41272447,0.88267857,6.74516,19
200,0.10670089,0.6969738,5.351169,0
201,0.7376159,0.5187371,6.7925205,1
202,0.76971316,0.65692115,3.9525719,2
203,0.17735314,0.5422144,3.5427504,3
204,0.17066641,0.62496686,3.9837706,4
205,0.4960213,0.6970286,2.7714,5
206,0.37963563,0.3990539,2.0526521,6
207,0.55342877,0.37677166,4.294009,7
208,0.14054339,0.8711856,6.0725145,8
209,0.3280809,0.59582895,6.4684067,9
210,0.4759778,0.54394203,5.2362576,10
211,0.53533655,0.8441566,1.6633343,11
212,0.241036,0.306921,5.737035,12
213,0.30319473,0.45225596,1.4229825,13
214,0.93493146,0.6406694,3.858858,14
215,0.06855299,0.7588195,2.9196093,15
216,0.7051822,0.4797364,4.554619,16
217,0.2806667,0.7442538,2.5022519,17
218,0.5139263,0.38118124,1.9078463,18
219,0.45244017,0.42842448,3.9836206,19
220,0.18326044,0.6785815,4.8740773,0
221,0.7988691,0.50922596,3.9989433,1
222,0.77706033,0.5896816,4.214955,2
223,0.4280597,0.7139079,3.1963418,3
224,0.2805065,0.70979375,3.4036722,4
225,0.34626627,0.6556168,1.943829,5
226,0.51520264,0.6139661,6.3907933,6
227,0.38198698,0.33118606,4.095574,7
228,0.17559196,0.71853846,4.661659,8
229,0.32610586,0.48362628,5.9035053,9
230,0.40803805,0.6833003,6.1598206,10
231,0.39997545,0.6509974,2.4821882,11
232,0.36681575,0.093548775,4.510141,12
233,0.20623393,0.26783705,1.7190673,13
234,0.54529226,0.61929506,4.631498,14
235,0.08682618,0.7836476,3.0539489,15
236,0.84436584,0.27342963,2.2142766,16
237,0.26815203,0.70017505,1.903646,17
238,0.7220894,0.73300445,3.2824693,18
239,0.23643975,0.7235669,5.832531,19
240,0.30443424,0.51664275,3.2166946,0
241,0.5065412,0.7339228,8.071808,1
242,0.8588796,0.7345095,4.174383,2
243,0.25070113,0.3235647,4.668837,3
244,0.29958355,0.8363219,3.3120775,4
245,0.21523482,0.7293865,3.974807,5
246,0.34875175,0.5937392,5.5046916,6
247,0.25186965,0.38937855,4.061065,7
248,0.29314163,0.8354692,2.6845975,8
249,0.7681383,0.7157578,8.8396845,9
250,0.68772227,0.62085176,8.311384,10
251,0.571868,0.88777554,5.121043,11
252,0.4361272,0.079980485,4.7744517,12
253,0.3197671,0.60913444,2.8697505,13
254,0.7555073,0.2723285,2.282439,14
255,0.09928772,0.37672412,1.498507,15
256,0.5154645,0.325852,3.5590396,16
257,0.27791882,0.8796256,5.9825377,17
258,0.4451535,0.5833422,3.3615713,18
259,0.43605644,0.6997055,4.0333514,19
260,0.07471125,0.40867043,1.8492954,0
261,0.7475521,0.5999644,7.2500477,1
262,0.58189565,0.37992525,1.7370787,2
263,0.2924761,0.49696487,2.3560622,3
264,0.19261318,0.80290663,3.6684184,4
265,0.27144676,0.7127642,5.7844205,5
266,0.28515497,0.4277014,4.7697864,6
267,0.20178415,0.46512446,4.238477,7
268,0.37633532,0.27976567,1.3817415,8
269,0.04259485,0.49998915,5.6078143,9
270,0.57105345,0.6714608,7.818199,10
271,0.20357952,0.6319954,2.944393,11
272,0.18994641,0.28359923,4.7658377,12
273,0.25385818,0.5693879,3.2552438,13
