,inferred policy rate,true policy rate,subject,inferred reward rate,true reward rate,inferred dec temp,true dec temp,inferred habitual tendency,true habitual tendency
0,0.55250114,0.38055998,0,0.34164602,0.1638133,4.221801,2.628158,4.4916787,9.421478
1,0.42611066,0.22854728,1,0.6482821,0.7701999,3.7756624,3.9458928,3.0342062,6.0021586
2,0.56758696,0.32515073,2,0.6890443,0.5311805,6.0431924,6.3490233,4.6614943,9.694816
3,0.7162827,0.85958743,3,0.4535187,0.44686937,7.588538,6.6818666,4.2104597,9.828804
4,0.4727478,0.8230572,4,0.7357349,0.82857984,2.5341117,1.449275,4.4131794,8.236394
5,0.44465056,0.43650568,5,0.65890723,0.7629619,3.0913417,3.3781796,3.9707394,3.0799472
6,0.52723956,0.9915763,6,0.14064434,0.111894965,5.9687953,4.7367725,4.687616,9.8800125
7,0.34108523,0.43674487,7,0.4824696,0.62746847,4.2177773,5.039481,2.2046044,1.6314971
8,0.2567304,0.05146849,8,0.2701845,0.29492044,5.253074,6.2344556,2.6609666,2.234395
9,0.49747664,0.8527679,9,0.70137084,0.9883594,2.1986969,2.891408,4.401409,8.661407
10,0.606343,0.7076398,10,0.59753525,0.7706192,3.482372,1.6701889,1.9621059,1.9665778
11,0.6452857,0.95239735,11,0.13013263,0.10968077,3.126856,3.8255897,5.4658146,9.085549
12,0.3776028,0.29440808,12,0.44303387,0.4178881,5.176165,5.120937,4.696988,2.7543688
13,0.36426824,0.033241212,13,0.18119629,0.13829291,6.026082,6.436542,3.1139488,4.372162
14,0.6797567,0.85150963,14,0.7125278,0.95552826,2.6119294,4.252355,3.9675844,9.831797
15,0.58076864,0.08479285,15,0.47857922,0.31447738,7.1945314,5.869341,4.904162,7.1178393
16,0.6360785,0.7106804,16,0.65068775,0.7105226,2.2464323,2.4208736,3.90325,5.357387
17,0.48849776,0.31903386,17,0.17633982,0.11981821,4.4807286,4.386422,2.077587,5.0490217
18,0.72947234,0.87702805,18,0.31990716,0.47416264,4.169615,3.5073426,3.3341484,2.7380908
19,0.7572857,0.8881186,19,0.1626553,0.13815832,4.0396953,4.343092,3.2928178,4.3994355
20,0.25827375,0.13012141,20,0.53393126,0.3306871,3.4191532,3.8146107,1.0881453,0.65916836
21,0.46002567,0.17197609,21,0.646573,0.6840852,4.834335,5.452821,5.158804,5.9696484
22,0.6103555,0.86334693,22,0.40497407,0.27974975,7.021256,5.5696898,2.0686364,2.633338
23,0.35620022,0.3394814,23,0.69789916,0.5940466,6.5985017,5.630135,3.0966518,2.178865
24,0.41207683,0.646658,24,0.6055738,0.574182,5.800055,3.894416,5.2981896,6.879268
