,policy rate,reward rate,dec temp,habitual tendency,subject
0,0.48624262,0.29233634,3.7860403,2.6659994,0
1,0.48023817,0.7224976,5.980847,6.7375345,1
2,0.76818895,0.6453165,5.724396,4.977103,2
3,0.65460813,0.4984708,7.877699,2.0385973,3
4,0.1290729,0.38463277,0.93943596,5.115425,4
5,0.23214807,0.37502465,1.9057577,5.158685,5
6,0.26005015,0.14527555,5.654836,2.180631,6
7,0.18418977,0.64145994,4.668576,1.8309481,7
8,0.15413392,0.25669113,5.6559076,4.5360174,8
9,0.57837176,0.80340403,1.8993981,5.432636,9
10,0.13561796,0.51946163,2.600987,2.1005564,10
11,0.9601288,0.23096505,4.2499504,7.671889,11
12,0.26965833,0.37897962,6.1192665,6.614892,12
13,0.5157608,0.1464582,5.9269896,3.9524949,13
14,0.96163,0.7801092,2.9616718,1.6979841,14
15,0.2071539,0.45903382,7.86289,4.391309,15
16,0.4254317,0.28079435,1.6945319,3.3129497,16
17,0.21012406,0.1393883,4.5508094,2.6119976,17
18,0.8313928,0.23736249,2.0391452,1.9494548,18
19,0.8408215,0.23673019,3.4330032,1.5947527,19
20,0.356306,0.3986615,3.2084432,0.51445234,20
21,0.5213556,0.6846068,3.8316517,7.0466447,21
22,0.5910144,0.30398428,6.649692,3.0621133,22
23,0.09266212,0.77509695,7.3537607,1.6771302,23
24,0.6587378,0.72355133,6.462368,7.886402,24
25,0.70636004,0.5384975,5.1729875,3.007494,0
26,0.19069397,0.7946347,5.4168234,2.2100477,1
27,0.29510012,0.733497,6.8402634,1.8211217,2
28,0.89775765,0.513492,8.288226,3.5826237,3
29,0.09366569,0.55744106,1.5132695,5.5516443,4
30,0.106978886,0.88168997,4.7273936,2.9485123,5
31,0.29610956,0.18868375,6.855318,7.010509,6
32,0.3544739,0.3160075,2.6985147,1.1804192,7
33,0.09226513,0.18990816,4.7159047,6.4717536,8
34,0.6969246,0.5227414,2.0631196,6.440379,9
35,0.8830477,0.5937584,5.5375776,1.2880104,10
36,0.12146421,0.16619343,3.490659,6.1393857,11
37,0.697008,0.43244207,3.9530988,5.548383,12
38,0.6490401,0.13635923,5.950428,1.674392,13
39,0.5576363,0.8125861,4.2648644,3.665343,14
40,0.3119835,0.36890242,5.463819,3.4695487,15
41,0.5344055,0.91212416,2.902497,3.7751315,16
42,0.26227725,0.2027391,4.6600404,1.2461143,17
43,0.93811214,0.1824953,2.6814163,2.484744,18
44,0.7851278,0.13701412,3.864028,4.8674865,19
45,0.22411159,0.62824357,4.636975,1.430083,20
46,0.03118623,0.74058014,3.016726,4.024079,21
47,0.43669638,0.49878857,6.22274,2.8306575,22
48,0.31579307,0.77210706,7.425808,1.8607445,23
49,0.52161175,0.52635396,5.2558956,1.9828855,24
50,0.5491824,0.27698675,3.3734593,3.426733,0
51,0.17173395,0.47403356,1.349863,3.0629432,1
52,0.8220096,0.44766644,3.4405107,3.668469,2
53,0.78156054,0.5489669,7.850402,4.2512803,3
54,0.28784174,0.81054443,2.799951,5.379127,4
55,0.8224464,0.55209017,3.5633242,3.6049013,5
56,0.81538975,0.1796035,5.751396,1.8738471,6
57,0.46705788,0.5298281,5.0679913,1.2236333,7
58,0.14834522,0.26461387,6.514761,4.1534967,8
59,0.4690504,0.60340744,1.7761731,4.150415,9
60,0.7183044,0.4198748,2.422336,1.997161,10
61,0.5683201,0.121253945,3.5638952,11.688242,11
62,0.34474742,0.3250854,4.178409,7.2006836,12
63,0.46845862,0.22056662,5.87092,2.089187,13
64,0.8385494,0.94847286,5.7706995,1.7217135,14
65,0.3835289,0.4794781,6.024657,6.7503996,15
66,0.70276785,0.7841853,3.6423793,3.3956175,16
67,0.48999292,0.25193852,4.995743,1.1375461,17
68,0.9694359,0.3581095,4.6479053,4.106924,18
69,0.7898332,0.15485677,4.223137,5.0061903,19
70,0.20532416,0.79644257,3.7270684,0.82523227,20
71,0.17918739,0.70588696,4.1400285,9.515763,21
72,0.7167344,0.3249034,5.305353,1.7242417,22
73,0.31020844,0.605297,5.333541,3.9469426,23
74,0.6181078,0.5177898,6.7492237,4.3767223,24
