,policy rate,reward rate,dec temp,habitual tendency,subject
0,0.3217269,0.7388179,6.911112,0.6516607,0
1,0.77671635,0.65945727,6.4372516,0.4973286,1
2,0.1890682,0.6105482,7.9213943,0.7654399,2
3,0.19346571,0.28459638,2.549161,0.2590472,3
4,0.22018358,0.48696065,4.2144184,0.47300616,4
5,0.60342026,0.7406639,1.0811447,0.37661842,5
6,0.564882,0.23182905,2.184295,0.5800954,6
7,0.33814207,0.4127265,3.9312701,0.58917814,7
8,0.79037803,0.89733636,4.9394913,0.71787125,8
9,0.88424724,0.20514455,3.4249876,0.36289236,9
10,0.63774896,0.7965758,1.074407,0.7953894,10
11,0.53172976,0.579106,4.965816,0.21580824,11
12,0.53717315,0.6351885,7.460656,0.18173657,12
13,0.25692776,0.63553804,2.3361704,0.551134,13
14,0.6436245,0.13667244,1.2330142,0.55914694,14
15,0.40678874,0.24104099,1.8819617,0.54295367,15
16,0.5351293,0.5553376,7.229361,0.30805075,16
17,0.8225433,0.70834273,4.1466627,0.66270643,17
18,0.27719727,0.56248486,2.6180582,0.806813,18
19,0.47931057,0.42208362,6.7574553,0.18585457,19
20,0.83702135,0.73988634,6.985211,0.8232529,20
21,0.42956725,0.50954366,4.095651,0.5042104,21
22,0.36590233,0.59695166,7.6746273,0.473099,22
23,0.33893332,0.47285172,6.0961747,0.359504,23
24,0.21535489,0.34297946,4.0689363,0.35492182,24
25,0.38410354,0.18594615,6.254836,0.68335056,25
26,0.7859071,0.3576237,6.907974,0.20792344,26
27,0.6473087,0.45257792,5.2038097,0.7460424,27
28,0.68430454,0.64634275,2.2190216,0.6949946,28
29,0.4715328,0.7929521,3.8982913,0.6318335,29
30,0.46752393,0.8392878,3.5982466,0.54601943,30
31,0.60342246,0.18814327,4.1641912,0.7433693,31
32,0.3501639,0.5651994,6.110954,0.6384825,32
33,0.49212846,0.6229119,8.569283,0.43945983,33
34,0.80867004,0.58739865,6.7045426,0.52207553,34
35,0.5564636,0.3364806,5.3051324,0.6131523,35
36,0.7352937,0.68200797,3.22163,0.4160337,36
