,inferred policy rate,true policy rate,subject,inferred reward rate,true reward rate,inferred dec temp,true dec temp,inferred habitual tendency,true habitual tendency
0,0.7453408,0.5088306,0,0.45050147,0.55520695,6.4849153,6.8476152,0.54384387,0.64526916
1,0.06927153,0.07160419,1,0.44708043,0.43645686,6.0430713,6.7998886,0.55941385,0.91788703
2,0.56139624,0.6230781,2,0.4666888,0.47597247,4.5606027,4.157652,0.1300249,0.17186332
3,0.3793518,0.32993323,3,0.6694692,0.7921569,6.139916,6.8707356,0.5201297,0.7418598
4,0.48979524,0.871076,4,0.4733386,0.45282704,3.5104632,4.766028,0.23646061,0.5665846
5,0.5356093,0.95644706,5,0.71507406,0.5962474,2.3249683,1.6938506,0.15627334,0.26881492
6,0.38221246,0.47109282,6,0.40123868,0.4348359,3.7860918,2.5333552,0.65980685,0.9459347
7,0.77813655,0.67818266,7,0.13604233,0.13626844,4.2042823,4.8732347,0.5802331,0.8252735
8,0.5133379,0.22232533,8,0.74219215,0.85936713,2.409751,2.881724,0.3497841,0.45228714
9,0.7421208,0.9638686,9,0.13680737,0.051255167,2.0766442,2.5340514,0.774793,0.5843457
10,0.57568944,0.67067367,10,0.61470395,0.7330191,2.1085112,1.7435337,0.26800653,0.16403306
11,0.43069598,0.07343465,11,0.37647456,0.47998857,5.499344,4.963618,0.5810398,0.7587969
12,0.6409655,0.50788516,12,0.77815235,0.70951563,4.7234263,5.2312117,0.30307567,0.18679905
13,0.57709193,0.5748695,13,0.41232416,0.4059074,7.6621356,6.936921,0.31990758,0.57831776
14,0.59517205,0.8081898,14,0.6230898,0.3880527,5.243463,4.627547,0.7183713,0.657779
15,0.26506573,0.27143764,15,0.46938774,0.41090232,5.9068966,4.580802,0.6417769,0.5514896
16,0.6381635,0.5483755,16,0.45129,0.46930265,6.5158653,5.748908,0.38878912,0.60189646
17,0.72719765,0.8458075,17,0.19837888,0.16123432,4.5479627,3.6135688,0.59871995,0.4432205
18,0.48808628,0.051122606,18,0.76183206,0.42107373,2.3914561,1.252987,0.42276654,0.26728904
19,0.45950764,0.36321056,19,0.4271923,0.21291983,3.184505,2.7189832,0.77233315,0.95476973
20,0.51462,0.5443757,20,0.7427373,0.84665716,6.5587745,6.814209,0.645755,0.55181384
21,0.45217976,0.78358346,21,0.6183844,0.55223125,2.8956037,3.0269866,0.58519477,0.37470102
22,0.2189822,0.22009897,22,0.13216744,0.1053794,4.199265,3.0968688,0.811029,0.950816
23,0.3786272,0.4773221,23,0.7167484,0.87468636,6.0116773,6.784756,0.7619026,0.8504458
24,0.20374572,0.050647795,24,0.6228227,0.6815756,1.8645253,1.9361907,0.6791854,0.46078736
25,0.816045,0.8537916,25,0.644329,0.5767186,6.5061445,6.228452,0.7562129,0.81721866
26,0.53235936,0.26239645,26,0.2628107,0.33311415,2.7767153,1.7191178,0.3140451,0.14447856
