,policy rate,reward rate,dec temp,habitual tendency,subject,true policy rate,inferred policy rate,true reward rate,inferred reward rate,true dec temp,inferred dec temp,true habitual tendency,inferred habitual tendency
0,0.7827484,0.29139674,6.833992,0.6109743,0,0.98047614,0.66714716,0.30027175,0.30494848,5.620175,6.1704307,0.99672043,0.5671383
1,0.554216,0.23280509,6.399362,0.27320257,1,0.8994869,0.5696964,0.17778534,0.1887155,6.78544,6.433534,0.05438757,0.28331172
2,0.3389594,0.123833865,1.4392335,0.19587527,2,0.0074812174,0.46573687,0.15166336,0.32847142,1.8363206,1.8798118,0.13155824,0.1251795
3,0.18222515,0.3678329,5.755033,0.25741825,3,0.14123952,0.19855353,0.27877098,0.2928381,5.8036156,4.479798,0.2628532,0.37561798
4,0.66256833,0.13481918,5.749789,0.17937443,4,0.6794396,0.4971858,0.14632678,0.16762073,5.4912496,5.9838467,0.2007314,0.10783836
5,0.2610248,0.12342243,3.1109595,0.4756148,5,0.2720065,0.27528712,0.15173405,0.119670674,4.0385313,3.5077837,0.44182074,0.35778606
6,0.9135508,0.75417674,5.1345987,0.82995594,6,0.7977013,0.7870802,0.64405155,0.54110837,6.709491,5.8046026,0.8318706,0.81506854
7,0.7157828,0.69979924,5.2286673,0.2673441,7,0.95341074,0.43515092,0.48618788,0.51693165,4.4326663,4.217945,0.25403094,0.21984111
8,0.6874603,0.049214438,6.8727083,0.08994289,8,0.64086664,0.38805363,0.05822158,0.057199493,6.244875,6.504492,0.4907726,0.3385503
9,0.08902193,0.21480307,3.1765149,0.49725285,9,0.28226596,0.30166444,0.106037974,0.20132154,2.3741941,2.3177886,0.19605684,0.18156637
10,0.08705991,0.82344484,4.1139565,0.855498,10,0.1035707,0.105204046,0.8395784,0.8108969,6.1162205,4.5680666,0.9994072,0.8028828
11,0.16987102,0.81991863,6.227598,0.62469584,11,0.13911098,0.2641311,0.6400395,0.71897656,6.248746,6.588124,0.24730092,0.5065347
12,0.72333515,0.59983623,4.5703077,0.34473014,12,0.96256316,0.5754629,0.5938967,0.45754167,3.2278204,3.9331305,0.11538762,0.25561556
13,0.684125,0.37274408,2.3503864,0.34949327,13,0.8927227,0.753492,0.45197308,0.44180194,2.7801743,2.5344775,0.1330983,0.657642
14,0.07853294,0.89716476,3.575292,0.5417932,14,0.168692,0.124886766,0.8498835,0.6513767,4.4226565,2.3637495,0.44764084,0.44634187
