,inferred policy rate,true policy rate,subject,inferred reward rate,true reward rate,inferred dec temp,true dec temp,inferred habitual tendency,true habitual tendency
0,0.4934138,0.050068796,0,0.51435375,0.9473626,4.9705615,1.9641551,0.49333718,0.25300312
1,0.49489382,0.34145176,1,0.50941247,0.21071488,5.141245,6.083721,0.5103412,0.6453866
2,0.5101414,0.46575093,2,0.5075874,0.47970515,4.7805285,1.0261619,0.5031068,0.65666854
3,0.48627564,0.90507585,3,0.49967155,0.34743404,4.7982326,3.6291866,0.48096064,0.1892528
4,0.5216191,0.5340756,4,0.5072822,0.943756,4.9603586,2.1742625,0.49544525,0.44099313
5,0.48650575,0.2353304,5,0.49982053,0.70171857,5.0209374,6.232602,0.5144626,0.6553017
6,0.5077041,0.3210442,6,0.49186817,0.7794304,4.7691326,5.899839,0.5097307,0.82923335
7,0.49795792,0.046564043,7,0.5055074,0.12431377,4.825298,3.8885746,0.47181123,0.12147659
8,0.5024919,0.6465356,8,0.5143622,0.8715617,4.9400697,6.8740044,0.50664556,0.94515747
9,0.50259197,0.7571626,9,0.5090556,0.9431872,4.867478,4.686882,0.51481724,0.42218047
10,0.48391443,0.5818158,10,0.4987801,0.8787375,4.892311,6.94468,0.5011424,0.24141097
11,0.5064407,0.1363172,11,0.48219007,0.1036275,5.1975913,6.769122,0.50749445,0.3290953
12,0.5057758,0.007382214,12,0.4806792,0.29218745,5.1048713,6.528633,0.4994231,0.79628474
13,0.5088515,0.8805145,13,0.51953584,0.17565054,4.8923006,2.654285,0.4835022,0.41796547
14,0.5033928,0.90428686,14,0.50804466,0.76222914,4.871717,6.9962883,0.4865503,0.3107643
15,0.48977137,0.48602682,15,0.50198513,0.59899724,5.110963,4.237565,0.5199065,0.91339225
16,0.5033105,0.17350644,16,0.49269792,0.30439138,4.985683,5.296262,0.48296228,0.3143996
17,0.5066294,0.7707188,17,0.50463015,0.379911,5.0442324,5.5172997,0.49392065,0.13810325
18,0.52292264,0.47406858,18,0.49824893,0.33356786,5.0357795,6.229282,0.48740026,0.26386523
19,0.48526415,0.09431481,19,0.50454485,0.6275958,4.8620205,5.7876463,0.50471926,0.6133008
20,0.50000185,0.1935265,20,0.5026773,0.117824614,5.0820518,5.293601,0.48030487,0.21498913
21,0.4933102,0.47525573,21,0.4814469,0.06217456,5.0051866,4.826809,0.50865954,0.42044806
22,0.49963647,0.69492865,22,0.49527875,0.058514833,4.968461,2.773529,0.5088364,0.3942076
23,0.50146955,0.73145086,23,0.52298933,0.18211722,4.839687,1.8220227,0.49831578,0.89672416
24,0.5204788,0.5595122,24,0.4849136,0.3533337,5.1280084,4.3623104,0.5235618,0.57780623
25,0.4841205,0.31057692,25,0.53117955,0.78792274,4.864936,5.279107,0.47612944,0.28939968
26,0.49260092,0.53022003,26,0.5022907,0.41004443,4.886173,1.9652791,0.50083476,0.3219248
27,0.4937702,0.21307516,27,0.50541526,0.5546512,4.7784896,2.975412,0.49615428,0.22174615
28,0.50209635,0.92215973,28,0.5099925,0.029744148,4.878382,2.9357767,0.49971625,0.19762456
29,0.50254375,0.69079894,29,0.49568784,0.7448479,4.827945,1.5625347,0.48427424,0.012333155
30,0.5028503,0.69945407,30,0.5133505,0.40439922,4.848111,5.2260323,0.5179058,0.65468794
31,0.5004198,0.80908436,31,0.5061233,0.43376338,4.9031825,1.953113,0.48673987,0.32881296
32,0.50250256,0.6442239,32,0.50100356,0.24012667,5.102186,2.7217379,0.4944646,0.6236019
33,0.5123856,0.8551691,33,0.49743882,0.18358755,5.3361044,6.0496693,0.4974516,0.5235907
34,0.49711162,0.6641963,34,0.51999193,0.76349145,4.8811827,3.1260097,0.48212868,0.5123261
35,0.49645233,0.22134489,35,0.51399696,0.6713319,4.96778,5.4115934,0.49598852,0.37920392
36,0.50837463,0.2992615,36,0.5251444,0.9473621,4.7816358,2.1585846,0.49645156,0.4990828
37,0.4937751,0.8494761,37,0.5093086,0.41883093,4.8408175,4.1800776,0.5011866,0.28622973
38,0.487309,0.21312809,38,0.52635914,0.4940167,4.8468637,1.3986843,0.4992041,0.6658347
39,0.5150854,0.5394608,39,0.5073155,0.55733234,5.1645536,5.6755,0.48084334,0.30855715
40,0.4954385,0.17188418,40,0.5031386,0.34528023,5.1202497,5.5485907,0.48560765,0.032686293
41,0.4945681,0.1442725,41,0.5027416,0.30086362,4.8379707,1.1689516,0.5056624,0.42615634
42,0.5154076,0.38393325,42,0.4845251,0.18248796,5.0951266,6.287586,0.49564287,0.05151862
43,0.51078564,0.7142667,43,0.50694406,0.24070948,4.7306914,1.57412,0.48967737,0.07861495
44,0.50841933,0.39184463,44,0.5181509,0.9534226,4.8841896,1.085781,0.509296,0.38785803
45,0.5073087,0.7986385,45,0.50882244,0.90189886,4.994,3.2007139,0.48825407,0.69086534
46,0.51378447,0.5130942,46,0.48355055,0.21446937,5.070973,6.297143,0.51656425,0.50026155
47,0.47797167,0.07303363,47,0.47601604,0.08176452,4.782946,2.6872032,0.48160127,0.5086328
48,0.50960094,0.7431571,48,0.5112436,0.635719,5.0077977,1.4205561,0.49346027,0.5368603
49,0.5070663,0.8439939,49,0.51996756,0.99069333,5.019686,1.8138098,0.50097245,0.91343075
