,inferred discount,true discount,subject,inferred learning rate,true learning rate,inferred mf weight,true mf weight,inferred mb weight,true mb weight
0,0.7781649,0.92978925,0,0.5994163,0.72846437,4.0602636,5.8300567,2.234756,2.053999
1,0.2527352,0.10158658,1,0.7195127,0.8516699,1.3285518,1.6539434,1.0999216,0.82444847
2,0.38142014,0.5100246,2,0.42196244,0.3487808,2.9351497,1.0886478,4.3760986,3.8731656
3,0.44793648,0.20072603,3,0.5720068,0.4966032,3.2221155,5.106858,2.3292866,1.2571095
4,0.38799602,0.5636237,4,0.60351235,0.5915639,2.456467,1.1047064,4.4491515,5.057411
5,0.21767676,0.08224088,5,0.33398578,0.2007947,1.671979,0.3191929,1.9610447,1.8089586
6,0.7900867,0.6974948,6,0.6918191,0.7855255,3.7889478,5.360653,1.6621732,2.7254667
7,0.22124189,0.010758042,7,0.37355137,0.15983975,1.9040129,4.6170077,2.19188,0.893319
8,0.35467902,0.2935878,8,0.55632097,0.5445034,2.5455537,3.1822925,4.865471,5.1143513
9,0.6146798,0.5453103,9,0.1602741,0.13225424,3.9091382,5.209705,4.141,2.3316028
10,0.48763207,0.46085912,10,0.63064426,0.64375603,2.7463427,3.4229932,4.1389747,5.552685
11,0.643012,0.5410338,11,0.14416733,0.043361664,4.042138,5.8079586,4.2848554,2.8920698
12,0.40925977,0.2832759,12,0.6271127,0.5831162,2.7200289,4.439723,2.8531075,0.9243032
13,0.19630575,0.04219389,13,0.24978222,0.24903256,1.8197899,5.5317655,3.0957017,2.523285
14,0.2715378,0.1154325,14,0.6312979,0.5955821,1.8181252,0.95203936,2.9030657,2.8950095
15,0.259899,0.055960655,15,0.70392436,0.9656323,1.1844382,0.64943147,1.0520493,1.2614079
16,0.42266333,0.98046404,16,0.7088202,0.75334513,1.6465317,0.7787311,1.3009104,1.4876801
17,0.7373739,0.53191257,17,0.66987014,0.7061634,3.7603354,5.435806,2.0166485,1.4676597
18,0.7294563,0.74617314,18,0.5007799,0.5468628,4.0590186,4.5158668,2.7994943,4.8820777
19,0.612896,0.65906227,19,0.15887858,0.10355556,4.0920043,2.9790888,4.2572727,1.6721281
20,0.2990586,0.1317761,20,0.44024187,0.3572244,2.068652,0.51346743,4.670158,4.579872
21,0.27564898,0.18148541,21,0.67754817,0.72801006,1.9436373,3.9245682,3.1614423,3.0931678
22,0.4950478,0.73351324,22,0.17002985,0.14316458,3.4643261,1.5965724,4.659054,5.654798
23,0.61941963,0.6785201,23,0.5241478,0.5490863,3.2641606,3.822877,4.3242135,5.6972275
24,0.47309643,0.33290517,24,0.60848695,0.5827464,3.4668157,4.74405,1.3765614,1.7128347
25,0.30453137,0.32370323,25,0.7086237,0.76958376,1.8254875,0.45333695,4.6024246,5.1483293
26,0.5076837,0.3787797,26,0.40296167,0.42750794,2.6889634,3.6476984,4.619749,5.7759023
27,0.34570396,0.33786625,27,0.5832559,0.5738422,2.0612364,1.8184544,1.4957212,1.0659735
28,0.60679466,0.6622398,28,0.15040612,0.07255471,4.0539465,3.6662445,4.2524004,4.6678104
29,0.6606325,0.6026847,29,0.13535191,0.013551712,4.1388555,4.815852,4.3366776,4.093859
30,0.2669016,0.20085877,30,0.3071192,0.31683046,2.695575,3.5731754,1.3333813,1.0855039
31,0.3964257,0.28801745,31,0.7231335,0.83391553,2.0462866,2.5248003,2.3959107,3.813152
32,0.6463242,0.98874456,32,0.1267757,0.061059773,4.0713387,2.2658393,4.3898973,3.0043058
33,0.5721722,0.63672537,33,0.42176935,0.40588617,3.2859828,2.7018304,4.6803713,5.830438
34,0.43819758,0.3341614,34,0.47239265,0.48286033,2.9389272,2.835773,4.304282,3.9866977
35,0.35946602,0.41077733,35,0.6760615,0.65266,2.100539,1.919069,3.3433414,3.3615708
36,0.61798316,0.733877,36,0.66869664,0.74258584,3.4457715,4.926414,2.7102344,5.643794
37,0.26282707,0.30139792,37,0.671989,0.6694874,1.6756577,1.3996736,2.5555904,2.4276152
38,0.340352,0.7226378,38,0.48588976,0.39211148,1.6585171,0.4595307,2.3351398,2.1772208
39,0.27622274,0.5337058,39,0.66858834,0.5798341,0.8935688,0.24203753,0.7533339,0.34667838
40,0.2980437,0.068210185,40,0.40652555,0.40949064,2.1749873,5.263585,4.9851885,5.10722
41,0.6268017,0.5762577,41,0.62427866,0.7048342,2.477862,3.3352942,1.681078,0.37677133
42,0.4513661,0.3977363,42,0.61878616,0.586761,2.7552216,2.9976969,3.6809967,3.272117
43,0.65604126,0.45615906,43,0.13134553,0.04345858,4.1256113,5.4495735,4.3810267,4.153381
44,0.55219644,0.5961824,44,0.72003245,0.986593,2.229616,3.0212722,1.3555614,1.872198
45,0.73041886,0.90195507,45,0.67984766,0.65988433,3.914273,3.8244696,1.8950714,0.20849097
46,0.47375482,0.124061644,46,0.16580263,0.10732764,3.6289966,4.0994177,3.7647827,0.005280733
47,0.25458807,0.06435162,47,0.72075266,0.860598,1.3763468,1.0809935,1.1473851,0.55274
48,0.49409002,0.22109681,48,0.6659275,0.89868003,2.4768755,5.815591,1.6581123,2.117046
49,0.64246416,0.9583124,49,0.24739118,0.31414592,3.8480327,5.165711,3.324436,4.4634795
